Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
<a href=wins.aspx?date=2050-01-01&team=total&dh=0>2050-01-01</a>,- - -,- - -,- - -,- - -,26,95,109,25,18,5,1,1,11,6,13,0,14,1,0,0,4,1,0,.263
<a href=wins.aspx?date=2017-04-30&team=Rockies&dh=0>2017-04-30</a>,COL,@ARI,2,2B,1,5,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-29&team=Rockies&dh=0>2017-04-29</a>,COL,@ARI,2,2B,1,4,5,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2017-04-28&team=Rockies&dh=0>2017-04-28</a>,COL,@ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-27&team=Rockies&dh=0>2017-04-27</a>,COL,WSN,2,2B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-26&team=Rockies&dh=0>2017-04-26</a>,COL,WSN,2,2B,1,4,5,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,.000
<a href=wins.aspx?date=2017-04-25&team=Rockies&dh=0>2017-04-25</a>,COL,WSN,2,2B,1,4,5,3,2,1,0,0,2,1,0,0,0,1,0,0,0,0,0,.750
<a href=wins.aspx?date=2017-04-24&team=Rockies&dh=0>2017-04-24</a>,COL,WSN,2,2B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
<a href=wins.aspx?date=2017-04-23&team=Rockies&dh=0>2017-04-23</a>,COL,SFG,2,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-22&team=Rockies&dh=0>2017-04-22</a>,COL,SFG,2,2B,1,4,5,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,.750
<a href=wins.aspx?date=2017-04-21&team=Rockies&dh=0>2017-04-21</a>,COL,SFG,2,2B,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-19&team=Rockies&dh=0>2017-04-19</a>,COL,@LAD,2,2B,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2017-04-18&team=Rockies&dh=0>2017-04-18</a>,COL,@LAD,2,2B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-16&team=Rockies&dh=0>2017-04-16</a>,COL,@SFG,2,2B,1,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2017-04-15&team=Rockies&dh=0>2017-04-15</a>,COL,@SFG,2,2B,1,4,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2017-04-14&team=Rockies&dh=0>2017-04-14</a>,COL,@SFG,2,2B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.500
<a href=wins.aspx?date=2017-04-13&team=Rockies&dh=0>2017-04-13</a>,COL,@SFG,2,2B,1,3,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.667
<a href=wins.aspx?date=2017-04-12&team=Rockies&dh=0>2017-04-12</a>,COL,SDP,2,2B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-11&team=Rockies&dh=0>2017-04-11</a>,COL,SDP,2,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-10&team=Rockies&dh=0>2017-04-10</a>,COL,SDP,2,2B,1,3,4,2,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,.667
<a href=wins.aspx?date=2017-04-09&team=Rockies&dh=0>2017-04-09</a>,COL,LAD,9,2B,1,2,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.000
<a href=wins.aspx?date=2017-04-08&team=Rockies&dh=0>2017-04-08</a>,COL,LAD,2,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-07&team=Rockies&dh=0>2017-04-07</a>,COL,LAD,2,2B,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,.250
<a href=wins.aspx?date=2017-04-06&team=Rockies&dh=0>2017-04-06</a>,COL,@MIL,2,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-05&team=Rockies&dh=0>2017-04-05</a>,COL,@MIL,2,2B,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-04&team=Rockies&dh=0>2017-04-04</a>,COL,@MIL,2,2B,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200
<a href=wins.aspx?date=2017-04-03&team=Rockies&dh=0>2017-04-03</a>,COL,@MIL,2,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
