pitch_type,pitch_id,game_date,start_speed,x0,z0,player_name,batter,pitcher,events,description,spin_dir,spin_rate,break_angle,break_length,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,px,pz,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs,tfs_zulu,catcher,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,hit_speed,hit_angle,effective_speed,release_spin_rate,release_extension,game_pk
FF,38,2016-09-25,98.79,-1.246,5.239,Kris Bryant,592178,593372,Forceout,In play out(s),224.352,2429.254,43.1,4.3,5,Kris Bryant grounds into a force out shortstop Jedd Gyorko to second baseman Matt Carpenter.   Dexter Fowler out at 2nd.    Kris Bryant to 1st.,R ,R,R,CHC,STL,X,6,4,0,0,2016,-8.08,8.23,0.204,2.497,null,null,451594,0,1,bot,113.7,156.49,1944,2016-09-26T00:19:44Z,425877,427090,160925_192010,7.07,-143.572,-5.11,-16.81,34.28,-14.98,3.4,1.62,128,101.2,-9.65,97.29,2207,5.63,449198
SL,149,2016-09-23,82.86,-1.757,5.715,Kris Bryant,592178,502190,Groundout,In play out(s),57.719,959.965,-11.6,10.4,14,Kris Bryant grounds out third baseman Jhonny Peralta to first baseman Matt Adams.  ,R ,R,R,CHC,STL,X,5,4,3,2,2016,4.61,-2.96,0.793,1.991,null,null,null,2,2,bot,104.05,170.23,185908,2016-09-23T18:59:08Z,425877,427044,160923_135935,4.63,-120.267,-1.15,6.73,23.87,-36.42,3.41,1.62,118,86.1,-1.77,80.63,2557,5.01,449168
SI,281,2016-09-23,91.97,-1.485,5.562,Kris Bryant,592178,502190,Single,In play no out,246.48,1853.025,28.8,6.7,4,Kris Bryant singles on a ground ball to center fielder Randal Grichuk deflected by second baseman Matt Carpenter.   Jake Arrieta to 2nd.,R ,R,R,CHC,STL,X,8,4,2,1,2016,-8.68,3.74,-0.325,2.251,null,null,453562,1,4,bot,132.48,86.81,193759,2016-09-23T19:37:59Z,425877,427044,160923_143827,6.03,-133.706,-3.92,-15.66,29.66,-25.36,3.41,1.62,149,87.6,8.35,90.9,2156,5.8,449168
FC,571,2016-09-23,86.1,-1.848,5.962,Kris Bryant,592178,425532,Flyout,In play out(s),154.95,624.754,-6,7.1,5,Kris Bryant flies out to left fielder Kolten Wong.  ,R ,R,R,CHC,STL,X,7,1,3,2,2016,1.42,2.99,-0.059,2.404,null,null,575929,1,8,bot,63.44,107.66,210132,2016-09-23T21:01:32Z,425877,427044,160923_160201,3.98,-125.038,-3.34,2.28,21.88,-27.3,3.41,1.62,285,79.9,35.19,85.22,2304,5.58,449168
SI,35,2016-09-23,90.34,-1.552,5.655,Kris Bryant,592178,502190,Single,In play no out,216.662,968.262,8.5,6,12,Kris Bryant singles on a ground ball to left fielder Kolten Wong.   Dexter Fowler to 3rd.,R ,R,R,CHC,STL,X,7,4,0,2,2016,-2.98,3.96,0.82,2.66,null,null,451594,0,1,bot,83.24,115.8,183136,2016-09-23T18:31:36Z,425877,427044,160923_133200,7.17,-131.387,-2.95,-5.24,26.61,-25.14,3.41,1.62,168,70.8,-1.34,88.65,2274,5.21,449168
FF,176,2016-09-21,93.54,-0.456,5.932,Kris Bryant,592178,596112,Pop Out,In play out(s),211.22,2388.83,35.9,3.9,6,Kris Bryant pops out to second baseman Brandon Phillips.  ,R ,R,R,CHC,CIN,X,4,2,2,0,2016,-6.22,10.23,0.69,2.661,null,null,458085,2,2,bot,171.57,121.4,5703,2016-09-22T00:57:03Z,571466,427534,160921_195739,5.23,-135.877,-6.33,-11.6,30.66,-13.04,3.41,1.67,225,90.9,57.86,93.54,2423,6.48,449135
FF,305,2016-09-21,95.66,-0.705,6.022,Kris Bryant,592178,596112,Flyout,In play out(s),216.691,2317.998,37,4.1,12,Kris Bryant flies out to right fielder Steve Selsky.  ,R ,R,R,CHC,CIN,X,9,1,1,2,2016,-6.83,9.13,0.903,3.344,null,null,null,0,4,bot,183.24,121.4,13555,2016-09-22T01:35:55Z,571466,427534,160921_203634,6.83,-138.998,-4.7,-13.27,33.36,-14.37,3.41,1.67,236,89.6,56.45,95.65,2389,6.56,449135
FF,412,2016-09-21,97.11,-1.436,6.042,Kris Bryant,592178,547179,Pop Out,In play out(s),221.84,2276.558,40.3,4.3,11,Kris Bryant pops out to shortstop Jose Peraza.  ,R ,R,R,CHC,CIN,X,6,2,2,2,2016,-7.26,8.07,-1.223,3.412,null,451594,null,2,5,bot,95.42,138.18,20759,2016-09-22T02:07:59Z,571466,427534,160921_210841,3.24,-141.064,-4.55,-14.77,29.17,-15.68,3.41,1.67,190,60.5,40.55,97.02,2109,6.17,449135
FF,531,2016-09-21,94.5,-1.939,6.616,Kris Bryant,592178,456027,Home Run,In play run(s),206.068,2570.977,36.1,3.3,2,Kris Bryant homers (38) on a fly ball to left field.   Dexter Fowler scores.,R ,R,R,CHC,CIN,X,7,1,3,1,2016,-5.64,11.5,0.176,2.857,null,null,451594,1,7,bot,27.4,45.1,24157,2016-09-22T02:41:57Z,541608,427534,160921_214238,7.69,-137.074,-8.23,-10.68,32,-10.35,3.41,1.67,411,108.7,31.28,92.95,2192,5.72,449135
SL,34,2016-09-20,88.2,-2.868,5.34,Kris Bryant,592178,595001,Double,In play no out,156.057,739.533,-8.3,6.5,2,Kris Bryant doubles (34) on a line drive to left fielder Adam Duvall.,R ,R,R,CHC,CIN,X,7,3,1,1,2016,1.593,3.542,-0.161,2.877,null,null,null,1,1,bot,55.83,125.47,1511,2016-09-21T00:15:11Z,541608,427224,160920_191527,6.32,-127.995,-1.05,2.65,25.87,-26.21,3.4,1.62,272,105.8,13.09,87.49,2620,6.01,449120
