Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Jose Abreu,White Sox,58,230,253,78,55,9,0,14,29,48,17,2,34,4,2,0,3,0,0,.339,15676
Mookie Betts,Red Sox,36,142,159,48,35,8,0,5,25,27,16,1,12,0,1,0,3,8,1,.338,13611
Starling Marte,Pirates,62,250,274,83,51,22,4,6,41,27,11,1,60,13,0,0,5,23,5,.332,9241
Daniel Murphy,Nationals,51,199,219,65,42,13,1,9,30,39,13,6,19,4,3,0,2,1,3,.327,4316
Curtis Granderson,Mets,23,81,100,26,16,3,1,6,24,18,17,1,15,1,1,0,0,1,0,.321,4747
Adrian Beltre,Rangers,121,461,504,147,94,25,0,28,76,85,38,5,51,4,1,0,6,1,1,.319,639
David Ortiz,Red Sox,95,356,418,111,49,35,1,26,51,86,57,13,59,1,4,0,14,2,0,.312,745
Carlos Gonzalez,Rockies,70,276,299,86,54,20,0,12,42,53,22,4,61,1,0,0,4,2,1,.312,7287
Steve Pearce,- - -,30,103,118,32,19,6,0,7,16,18,15,0,21,0,0,0,1,0,1,.311,9957
Jonathan Lucroy,Brewers,70,264,295,81,54,16,2,9,37,39,27,3,56,1,3,0,9,3,0,.307,7870
Maikel Franco,Phillies,43,165,176,50,37,4,0,9,25,26,10,0,31,1,0,0,4,0,1,.303,12179
Nolan Arenado,Rockies,69,259,301,78,42,12,3,21,54,63,39,6,42,1,2,0,7,0,1,.301,9777
Brian Dozier,Twins,35,132,149,39,19,8,3,9,24,26,12,1,28,1,4,0,4,3,0,.295,9810
Anthony Rizzo,Cubs,70,255,310,74,39,16,1,18,45,57,42,6,42,11,2,0,4,1,3,.290,3473
Yangervis Solarte,Padres,68,266,289,77,47,19,0,11,40,46,19,1,36,4,0,0,2,1,0,.289,5352
C.J. Cron,Angels,30,114,122,33,19,5,1,8,13,22,7,0,23,0,1,0,3,1,0,.289,12546
Carlos Correa,Astros,91,339,388,98,59,27,0,12,48,64,44,4,71,2,3,0,8,5,0,.289,14162
