Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
<a href=wins.aspx?date=2050-01-01&team=total&dh=0>2050-01-01</a>,- - -,- - -,- - -,- - -,153,583,640,175,111,31,1,32,89,104,48,6,66,6,3,0,10,1,1,.300
<a href=wins.aspx?date=2016-10-02&team=Rangers&dh=0>2016-10-02</a>,TEX,TBR,4,3B,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-30&team=Rangers&dh=0>2016-09-30</a>,TEX,TBR,4,3B,1,4,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-28&team=Rangers&dh=0>2016-09-28</a>,TEX,MIL,4,3B,1,4,4,2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-27&team=Rangers&dh=0>2016-09-27</a>,TEX,MIL,4,DH,1,3,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-26&team=Rangers&dh=0>2016-09-26</a>,TEX,MIL,4,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-25&team=Rangers&dh=0>2016-09-25</a>,TEX,@OAK,4,3B,1,3,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-09-23&team=Rangers&dh=0>2016-09-23</a>,TEX,@OAK,4,3B,1,4,4,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-21&team=Rangers&dh=0>2016-09-21</a>,TEX,LAA,4,DH,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-20&team=Rangers&dh=0>2016-09-20</a>,TEX,LAA,4,3B,1,3,4,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-09-19&team=Rangers&dh=0>2016-09-19</a>,TEX,LAA,4,3B,1,3,4,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.667
