Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
<a href=wins.aspx?date=2016-08-27&team=Angels&dh=0>2016-08-27</a>,LAA,@DET,2,CF,1,2,5,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-26&team=Angels&dh=0>2016-08-26</a>,LAA,@DET,2,CF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-25&team=Angels&dh=0>2016-08-25</a>,LAA,@TOR,2,CF,1,4,4,3,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,.750
<a href=wins.aspx?date=2016-08-24&team=Angels&dh=0>2016-08-24</a>,LAA,@TOR,2,CF,1,5,6,3,1,1,0,1,2,1,1,1,1,0,0,0,0,0,0,.600
<a href=wins.aspx?date=2016-08-23&team=Angels&dh=0>2016-08-23</a>,LAA,@TOR,2,CF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,.333
<a href=wins.aspx?date=2016-08-21&team=Angels&dh=0>2016-08-21</a>,LAA,NYY,2,CF,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,.333
<a href=wins.aspx?date=2016-08-20&team=Angels&dh=0>2016-08-20</a>,LAA,NYY,2,CF,1,3,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-19&team=Angels&dh=0>2016-08-19</a>,LAA,NYY,3,CF,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-08-18&team=Angels&dh=0>2016-08-18</a>,LAA,SEA,3,CF,1,2,4,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-17&team=Angels&dh=0>2016-08-17</a>,LAA,SEA,3,CF,1,4,5,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-08-16&team=Angels&dh=0>2016-08-16</a>,LAA,SEA,3,CF,1,1,4,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-15&team=Angels&dh=0>2016-08-15</a>,LAA,SEA,3,CF,1,2,4,1,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,.500
<a href=wins.aspx?date=2016-08-13&team=Angels&dh=0>2016-08-13</a>,LAA,@CLE,3,DH,1,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,.000
<a href=wins.aspx?date=2016-08-12&team=Angels&dh=0>2016-08-12</a>,LAA,@CLE,3,CF,1,4,4,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-08-11&team=Angels&dh=0>2016-08-11</a>,LAA,@CLE,3,CF,1,2,3,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-08-10&team=Angels&dh=0>2016-08-10</a>,LAA,@CHC,3,CF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.250
<a href=wins.aspx?date=2016-08-09&team=Angels&dh=0>2016-08-09</a>,LAA,@CHC,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-07&team=Angels&dh=0>2016-08-07</a>,LAA,@SEA,2,CF,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-06&team=Angels&dh=0>2016-08-06</a>,LAA,@SEA,3,CF,1,3,4,2,0,0,1,1,2,4,1,0,0,0,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-08-05&team=Angels&dh=0>2016-08-05</a>,LAA,@SEA,3,CF,1,4,4,1,0,0,0,1,1,3,0,0,3,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-08-04&team=Angels&dh=0>2016-08-04</a>,LAA,OAK,8,PH-CF,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-03&team=Angels&dh=0>2016-08-03</a>,LAA,OAK,3,CF,1,5,5,3,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0,.600
<a href=wins.aspx?date=2016-08-02&team=Angels&dh=0>2016-08-02</a>,LAA,OAK,3,CF,1,2,4,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,.500
<a href=wins.aspx?date=2016-07-31&team=Angels&dh=0>2016-07-31</a>,LAA,BOS,3,CF,1,3,4,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-07-30&team=Angels&dh=0>2016-07-30</a>,LAA,BOS,2,CF,1,3,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-07-29&team=Angels&dh=0>2016-07-29</a>,LAA,BOS,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-07-28&team=Angels&dh=0>2016-07-28</a>,LAA,BOS,3,CF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-07-27&team=Angels&dh=0>2016-07-27</a>,LAA,@KCR,3,CF,1,3,5,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-07-26&team=Angels&dh=0>2016-07-26</a>,LAA,@KCR,3,CF,1,5,6,2,1,1,0,0,1,3,1,0,2,0,0,0,0,0,0,.400
<a href=wins.aspx?date=2016-07-25&team=Angels&dh=0>2016-07-25</a>,LAA,@KCR,3,CF,1,2,5,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-07-24&team=Angels&dh=0>2016-07-24</a>,LAA,@HOU,3,CF,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-07-23&team=Angels&dh=0>2016-07-23</a>,LAA,@HOU,3,CF,1,3,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-07-22&team=Angels&dh=0>2016-07-22</a>,LAA,@HOU,3,CF,1,3,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-07-20&team=Angels&dh=0>2016-07-20</a>,LAA,TEX,3,CF,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.333
<a href=wins.aspx?date=2016-07-19&team=Angels&dh=0>2016-07-19</a>,LAA,TEX,3,CF,1,3,4,1,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,.333
<a href=wins.aspx?date=2016-07-18&team=Angels&dh=0>2016-07-18</a>,LAA,TEX,3,CF,1,3,4,2,1,0,0,1,2,3,0,0,0,1,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-07-17&team=Angels&dh=0>2016-07-17</a>,LAA,CHW,3,CF,1,3,4,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-07-16&team=Angels&dh=0>2016-07-16</a>,LAA,CHW,3,CF,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-07-15&team=Angels&dh=0>2016-07-15</a>,LAA,CHW,3,CF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-07-10&team=Angels&dh=0>2016-07-10</a>,LAA,@BAL,3,CF,1,4,4,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-07-09&team=Angels&dh=0>2016-07-09</a>,LAA,@BAL,3,CF,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-07-08&team=Angels&dh=0>2016-07-08</a>,LAA,@BAL,3,CF,1,3,5,2,2,0,0,0,3,1,1,0,0,0,1,0,0,0,0,.667
<a href=wins.aspx?date=2016-07-07&team=Angels&dh=0>2016-07-07</a>,LAA,@TBR,3,CF,1,2,4,0,0,0,0,0,2,0,2,1,1,0,0,0,0,1,0,.000
<a href=wins.aspx?date=2016-07-06&team=Angels&dh=0>2016-07-06</a>,LAA,@TBR,3,CF,1,4,5,1,0,0,0,1,2,2,1,0,1,0,0,0,0,1,0,.250
<a href=wins.aspx?date=2016-07-05&team=Angels&dh=0>2016-07-05</a>,LAA,@TBR,9,PR-CF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-07-04&team=Angels&dh=0>2016-07-04</a>,LAA,@TBR,2,CF,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-07-03&team=Angels&dh=0>2016-07-03</a>,LAA,@BOS,3,CF,1,2,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,.000
<a href=wins.aspx?date=2016-07-02&team=Angels&dh=0>2016-07-02</a>,LAA,@BOS,3,CF,1,5,6,2,1,1,0,0,3,0,0,0,1,1,0,0,0,0,0,.400
<a href=wins.aspx?date=2016-07-01&team=Angels&dh=0>2016-07-01</a>,LAA,@BOS,2,CF,1,4,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,.500
<a href=wins.aspx?date=2016-06-29&team=Angels&dh=0>2016-06-29</a>,LAA,HOU,3,CF,1,3,5,2,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-06-28&team=Angels&dh=0>2016-06-28</a>,LAA,HOU,2,CF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.333
<a href=wins.aspx?date=2016-06-27&team=Angels&dh=0>2016-06-27</a>,LAA,HOU,2,CF,1,4,4,3,0,2,0,1,2,1,0,0,0,0,0,0,1,0,0,.750
<a href=wins.aspx?date=2016-06-26&team=Angels&dh=0>2016-06-26</a>,LAA,OAK,2,CF,1,5,5,3,2,0,0,1,3,2,0,0,1,0,0,0,0,0,0,.600
<a href=wins.aspx?date=2016-06-25&team=Angels&dh=0>2016-06-25</a>,LAA,OAK,3,CF,1,5,5,3,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.600
<a href=wins.aspx?date=2016-06-24&team=Angels&dh=0>2016-06-24</a>,LAA,OAK,3,CF,1,4,5,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-06-23&team=Angels&dh=0>2016-06-23</a>,LAA,OAK,3,CF,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-06-22&team=Angels&dh=0>2016-06-22</a>,LAA,@HOU,3,DH,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-06-21&team=Angels&dh=0>2016-06-21</a>,LAA,@HOU,3,CF,1,4,4,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,.500
<a href=wins.aspx?date=2016-06-20&team=Angels&dh=0>2016-06-20</a>,LAA,@HOU,3,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-06-19&team=Angels&dh=0>2016-06-19</a>,LAA,@OAK,3,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
