pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value
CH,2017-05-12,86.1,1.5851,5.8668,Danny Duffy,430945,518633,field_out,hit_into_play,,,,,8,R,R,L,KC,BAL,X,6,ground_ball,0,0,2017,-0.6764,0.6898,0.1634,1.7442,null,null,null,2,7,Top,121.26,173.65,,,521692,,170513_020708,,,,,,,3.7902,1.5698,null,82.9,-20.699,87.822,2341,7.35,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,53.1482,0.075,0.069,0,1,0,0
FT,2017-05-12,93.1,1.4846,5.9108,Danny Duffy,572073,518633,strikeout,swinging_strike,,,,,12,R,R,L,KC,BAL,S,null,null,2,2,2017,-0.4402,1.1838,0.7576,3.8541,null,null,null,1,7,Top,null,null,,,521692,,170513_020623,,,,,,,3.2544,1.4748,null,null,null,94.805,2296,7.097,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,53.4017,0,0,0,1,0,0
SL,2017-05-12,82.9,1.7299,5.8692,Danny Duffy,572073,518633,null,ball,,,,,14,R,R,L,KC,BAL,B,null,null,1,2,2017,0.9367,0.0738,0.8743,2.0348,null,null,null,1,7,Top,null,null,,,521692,,170513_020605,,,,,,,3.4113,1.6836,null,null,null,83.589,2374,6.525,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,53.9737,0,0,null,null,null,null
SL,2017-05-12,83.6,1.8898,5.8472,Danny Duffy,572073,518633,null,called_strike,,,,,5,R,R,L,KC,BAL,S,null,null,1,1,2017,1.0749,-0.164,-0.0814,2.2139,null,null,null,1,7,Top,null,null,,,521692,,170513_020544,,,,,,,3.2544,1.4121,null,null,null,83.739,2579,6.254,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,54.2449,0,0,null,null,null,null
SL,2017-05-12,83.7,1.6244,5.7923,Danny Duffy,572073,518633,null,swinging_strike,,,,,13,R,R,L,KC,BAL,S,null,null,1,0,2017,0.8931,-0.5845,-1.646,0.4027,543376,null,null,1,7,Top,null,null,,,521692,,170513_020507,,,,,,,3.2544,1.4748,null,null,null,84.32,2211,6.613,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,53.8858,0,0,null,null,null,null
SL,2017-05-12,83.4,1.8206,5.8681,Danny Duffy,572073,518633,null,ball,,,,,14,R,R,L,KC,BAL,B,null,null,0,0,2017,0.6828,-0.2312,0.8952,2.5214,543376,null,null,1,7,Top,null,null,,,521692,,170513_020451,,,,,,,3.5156,1.7462,null,null,null,83.991,2361,6.603,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,53.8952,0,0,null,null,null,null
FT,2017-05-12,92.6,1.69,5.9571,Danny Duffy,502226,518633,sac_bunt,hit_into_play,,,,,5,R,R,L,KC,BAL,X,5,ground_ball,2,1,2017,-0.4742,1.3469,-0.1087,2.4089,null,543376,null,0,7,Top,116.69,183.31,,,521692,,170513_020413,,,,,,,3.8692,1.6057,null,41,-39,93.758,2197,6.787,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,53.7119,0.139,0.128,0,1,0,0
FT,2017-05-12,93.4,1.5239,5.9409,Danny Duffy,502226,518633,null,foul,,,,,6,R,R,L,KC,BAL,S,null,null,2,0,2017,-0.4446,1.3751,0.4167,2.3434,null,543376,null,0,7,Top,null,null,,,521692,,170513_020347,,,,,,,3.4643,1.5648,null,null,null,94.435,2185,6.768,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,53.7308,0,0,null,null,null,null
FT,2017-05-12,93.6,1.4986,5.9233,Danny Duffy,502226,518633,null,ball,,,,,11,R,R,L,KC,BAL,B,null,null,1,0,2017,-0.438,1.3712,-1.4056,2.9196,null,543376,null,0,7,Top,null,null,,,521692,,170513_020323,,,,,,,3.819,1.8983,null,null,null,95.316,2199,7.11,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,53.3886,0,0,null,null,null,null
CH,2017-05-12,84.6,1.7914,5.9251,Danny Duffy,502226,518633,null,ball,,,,,14,R,R,L,KC,BAL,B,null,null,0,0,2017,-0.5663,1.3862,0.9236,1.0609,null,543376,null,0,7,Top,null,null,,,521692,,170513_020259,,,,,,,3.7772,1.961,null,null,null,85.633,2395,6.969,490625,518633,521692,543333,593160,519058,444876,460086,456715,624585,53.5292,0,0,null,null,null,null
