Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
<a href=wins.aspx?date=2050-01-01&team=total&dh=0>2050-01-01</a>,- - -,- - -,- - -,- - -,146,552,635,192,141,32,8,11,104,66,66,2,80,3,6,8,19,11,7,.348
<a href=wins.aspx?date=2016-09-30&team=Rockies&dh=0>2016-09-30</a>,COL,MIL,2,2B,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-27&team=Rockies&dh=0>2016-09-27</a>,COL,@SFG,2,2B,1,4,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-25&team=Rockies&dh=0>2016-09-25</a>,COL,@LAD,2,2B,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400
<a href=wins.aspx?date=2016-09-23&team=Rockies&dh=0>2016-09-23</a>,COL,@LAD,2,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-22&team=Rockies&dh=0>2016-09-22</a>,COL,@LAD,2,2B,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-21&team=Rockies&dh=0>2016-09-21</a>,COL,STL,2,2B,1,3,4,2,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,.667
<a href=wins.aspx?date=2016-09-20&team=Rockies&dh=0>2016-09-20</a>,COL,STL,2,2B,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-09-19&team=Rockies&dh=0>2016-09-19</a>,COL,STL,2,2B,1,4,5,2,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-18&team=Rockies&dh=0>2016-09-18</a>,COL,SDP,2,2B,1,4,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-17&team=Rockies&dh=0>2016-09-17</a>,COL,SDP,2,2B,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-09-16&team=Rockies&dh=0>2016-09-16</a>,COL,SDP,2,2B,1,5,5,3,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,.600
<a href=wins.aspx?date=2016-09-14&team=Rockies&dh=0>2016-09-14</a>,COL,@ARI,2,2B,1,5,5,3,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.600
<a href=wins.aspx?date=2016-09-13&team=Rockies&dh=0>2016-09-13</a>,COL,@ARI,2,2B,1,4,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-12&team=Rockies&dh=0>2016-09-12</a>,COL,@ARI,2,2B,1,4,5,2,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-11&team=Rockies&dh=0>2016-09-11</a>,COL,@SDP,2,2B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-10&team=Rockies&dh=0>2016-09-10</a>,COL,@SDP,2,2B,1,4,4,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-09&team=Rockies&dh=0>2016-09-09</a>,COL,@SDP,2,2B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-08&team=Rockies&dh=0>2016-09-08</a>,COL,@SDP,2,2B,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-07&team=Rockies&dh=0>2016-09-07</a>,COL,SFG,2,2B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-06&team=Rockies&dh=0>2016-09-06</a>,COL,SFG,2,2B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-05&team=Rockies&dh=0>2016-09-05</a>,COL,SFG,2,2B,1,3,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.333
<a href=wins.aspx?date=2016-09-04&team=Rockies&dh=0>2016-09-04</a>,COL,ARI,2,2B,1,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.200
<a href=wins.aspx?date=2016-09-03&team=Rockies&dh=0>2016-09-03</a>,COL,ARI,2,2B,1,4,4,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.750
<a href=wins.aspx?date=2016-09-02&team=Rockies&dh=0>2016-09-02</a>,COL,ARI,2,2B,1,4,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,.000
<a href=wins.aspx?date=2016-08-31&team=Rockies&dh=2>2016-08-31</a>,COL,LAD,2,2B,1,3,5,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,1,.333
<a href=wins.aspx?date=2016-08-31&team=Rockies&dh=1>2016-08-31</a>,COL,LAD,2,2B,1,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
<a href=wins.aspx?date=2016-08-29&team=Rockies&dh=0>2016-08-29</a>,COL,LAD,2,2B,1,5,5,2,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,.400
<a href=wins.aspx?date=2016-08-28&team=Rockies&dh=0>2016-08-28</a>,COL,@WSN,2,2B,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-27&team=Rockies&dh=0>2016-08-27</a>,COL,@WSN,2,2B,1,5,6,3,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.600
