Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
<a href=wins.aspx?date=2050-01-01&team=total&dh=0>2050-01-01</a>,- - -,- - -,- - -,- - -,161,640,717,216,145,42,5,24,108,96,60,11,70,7,7,3,15,30,10,.338
<a href=wins.aspx?date=2016-10-02&team=Astros&dh=0>2016-10-02</a>,HOU,@LAA,3,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-10-01&team=Astros&dh=0>2016-10-01</a>,HOU,@LAA,3,DH,1,4,5,2,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,.500
<a href=wins.aspx?date=2016-09-30&team=Astros&dh=0>2016-09-30</a>,HOU,@LAA,3,2B,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-09-28&team=Astros&dh=0>2016-09-28</a>,HOU,SEA,3,2B,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,.000
<a href=wins.aspx?date=2016-09-27&team=Astros&dh=0>2016-09-27</a>,HOU,SEA,3,2B,1,3,4,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-09-26&team=Astros&dh=0>2016-09-26</a>,HOU,SEA,3,2B,1,5,5,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.400
<a href=wins.aspx?date=2016-09-25&team=Astros&dh=0>2016-09-25</a>,HOU,LAA,3,2B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-24&team=Astros&dh=0>2016-09-24</a>,HOU,LAA,3,2B,1,4,5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-23&team=Astros&dh=0>2016-09-23</a>,HOU,LAA,3,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
<a href=wins.aspx?date=2016-09-22&team=Astros&dh=0>2016-09-22</a>,HOU,LAA,3,2B,1,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.750
<a href=wins.aspx?date=2016-09-21&team=Astros&dh=0>2016-09-21</a>,HOU,@OAK,3,2B,1,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
<a href=wins.aspx?date=2016-09-20&team=Astros&dh=0>2016-09-20</a>,HOU,@OAK,3,2B,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.200
<a href=wins.aspx?date=2016-09-19&team=Astros&dh=0>2016-09-19</a>,HOU,@OAK,3,2B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-18&team=Astros&dh=0>2016-09-18</a>,HOU,@SEA,3,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-17&team=Astros&dh=0>2016-09-17</a>,HOU,@SEA,3,2B,1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-16&team=Astros&dh=0>2016-09-16</a>,HOU,@SEA,3,2B,1,5,5,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.600
<a href=wins.aspx?date=2016-09-14&team=Astros&dh=0>2016-09-14</a>,HOU,TEX,3,2B,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.500
<a href=wins.aspx?date=2016-09-13&team=Astros&dh=0>2016-09-13</a>,HOU,TEX,3,2B,1,4,4,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.750
<a href=wins.aspx?date=2016-09-12&team=Astros&dh=0>2016-09-12</a>,HOU,TEX,3,2B,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-11&team=Astros&dh=0>2016-09-11</a>,HOU,CHC,3,2B,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-10&team=Astros&dh=0>2016-09-10</a>,HOU,CHC,3,DH,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-09-09&team=Astros&dh=0>2016-09-09</a>,HOU,CHC,3,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-08&team=Astros&dh=0>2016-09-08</a>,HOU,@CLE,3,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-07&team=Astros&dh=0>2016-09-07</a>,HOU,@CLE,3,2B,1,5,5,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.400
<a href=wins.aspx?date=2016-09-06&team=Astros&dh=0>2016-09-06</a>,HOU,@CLE,3,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-05&team=Astros&dh=0>2016-09-05</a>,HOU,@CLE,3,2B,1,5,5,2,1,1,0,0,1,1,0,0,2,0,0,0,1,1,0,.400
<a href=wins.aspx?date=2016-09-04&team=Astros&dh=0>2016-09-04</a>,HOU,@TEX,3,DH,1,3,5,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-03&team=Astros&dh=0>2016-09-03</a>,HOU,@TEX,3,2B,1,4,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.250
<a href=wins.aspx?date=2016-09-02&team=Astros&dh=0>2016-09-02</a>,HOU,@TEX,3,2B,1,4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-31&team=Astros&dh=0>2016-08-31</a>,HOU,OAK,3,2B,1,4,4,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-08-30&team=Astros&dh=0>2016-08-30</a>,HOU,OAK,3,2B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-29&team=Astros&dh=0>2016-08-29</a>,HOU,OAK,3,2B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-08-28&team=Astros&dh=0>2016-08-28</a>,HOU,TBR,3,2B,1,5,5,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.200
<a href=wins.aspx?date=2016-08-27&team=Astros&dh=0>2016-08-27</a>,HOU,TBR,3,2B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
<a href=wins.aspx?date=2016-08-26&team=Astros&dh=0>2016-08-26</a>,HOU,TBR,3,2B,1,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.000
