Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Tyler Saladino,White Sox,48,162,174,57,41,10,0,6,21,30,8,0,30,2,2,0,3,4,3,.352,10807
Jackie Bradley Jr.,Red Sox,38,132,147,45,26,10,3,6,24,31,11,0,34,1,3,0,1,2,0,.341,12984
Darwin Barney,Blue Jays,49,136,154,37,28,6,0,3,20,7,15,1,27,1,0,2,3,1,1,.272,2430
Danny Santana,Twins,44,152,161,40,30,7,2,1,22,11,8,0,37,0,1,0,1,6,4,.263,10322
Ronald Torreyes,Yankees,41,118,129,31,22,6,2,1,13,7,8,0,14,1,1,1,2,1,1,.263,11400
Gregorio Petit,Angels,45,131,143,34,21,11,0,2,14,13,9,0,32,1,0,2,4,1,1,.260,3812
Austin Jackson,White Sox,33,109,120,28,18,8,2,0,12,11,9,0,24,1,0,1,2,1,1,.257,9848
Robinson Chirinos,Rangers,36,107,121,27,10,8,0,9,19,16,10,0,31,3,0,1,2,0,1,.252,3142
Shawn O'Malley,Mariners,34,108,121,27,20,4,1,2,13,9,11,0,34,1,0,1,2,5,0,.250,9629
Ketel Marte,Mariners,64,231,242,57,48,9,0,0,27,15,6,0,43,1,2,2,7,5,1,.247,13613
Andrew Romine,Tigers,34,118,126,29,23,4,1,1,11,9,5,0,25,2,0,1,5,6,0,.246,1159
Bobby Wilson,- - -,55,175,193,43,33,4,0,6,22,23,8,0,50,1,3,6,5,0,0,.246,6564
Peter Bourjos,Phillies,53,139,149,34,23,7,2,2,14,14,5,0,36,2,0,3,2,4,3,.245,2578
Jarrod Dyson,Royals,45,137,153,33,22,7,3,1,13,13,10,0,22,2,1,3,0,9,5,.241,4866
J.B. Shuck,White Sox,33,104,109,25,16,4,2,3,9,9,4,0,9,1,0,0,4,0,2,.240,6677
Jose Iglesias,Tigers,97,319,349,74,53,19,0,2,36,24,14,0,33,8,2,6,9,5,4,.232,10231
Byron Buxton,Twins,79,263,293,60,31,17,6,6,34,32,20,0,99,3,3,4,2,9,2,.228,14161
Marcus Semien,Athletics,32,102,114,23,13,1,0,9,13,15,12,0,25,0,0,0,0,2,0,.225,12533
Jason Castro,Astros,56,172,199,38,22,9,3,4,23,15,26,0,67,1,0,0,4,2,1,.221,8722
Ryan Flaherty,Orioles,35,100,112,21,16,3,0,2,11,12,11,1,28,0,1,0,0,2,0,.210,7888
Leonys Martin,Mariners,29,91,105,19,15,1,0,3,13,9,9,0,25,1,2,2,0,5,2,.209,11846
Roberto Perez,Indians,47,132,158,25,17,6,0,2,11,14,20,0,39,0,2,4,3,0,0,.189,2900
Hank Conger,Rays,36,99,104,18,13,4,0,1,4,5,5,0,32,0,0,0,2,0,0,.182,2505
Jake Marisnick,Astros,76,211,231,38,23,12,0,3,25,16,15,0,70,1,1,3,3,6,3,.180,11339
Aaron Hicks,Yankees,38,112,119,20,12,5,1,2,9,9,7,0,18,0,0,0,3,0,0,.179,5297
Curt Casali,Rays,58,164,185,28,17,5,0,6,17,16,17,0,58,2,0,2,2,0,0,.171,12510
Raul Mondesi,Royals,37,112,124,19,13,1,3,2,12,11,4,0,43,2,0,6,1,7,1,.170,13769
Josh Thole,Blue Jays,34,97,113,15,11,3,0,1,7,7,11,0,24,1,2,2,4,0,0,.155,9689
