Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Yoenis Cespedes,Mets,88,335,380,94,60,17,0,17,46,51,34,5,76,6,5,0,8,2,0,.281,13110
Gary Sanchez,Yankees,40,151,176,42,18,9,0,15,24,31,21,2,45,2,2,0,5,1,0,.278,11442
Kris Bryant,Cubs,62,239,275,66,33,15,0,18,49,50,27,3,64,7,2,0,1,3,0,.276,15429
Evan Longoria,Rays,159,629,680,172,92,41,4,35,80,97,41,5,144,3,7,0,13,0,3,.273,9368
Joe Mauer,Twins,66,246,289,67,48,9,3,7,37,25,42,7,48,1,0,0,8,2,0,.272,1857
Stephen Vogt,Athletics,51,199,217,54,33,13,1,7,23,28,16,0,36,1,1,0,4,0,0,.271,5000
Andrew McCutchen,Pirates,90,347,395,93,62,14,2,15,44,54,42,4,75,3,3,0,12,5,4,.268,9847
Brandon Phillips,Reds,35,143,154,38,31,7,0,0,19,8,7,1,20,3,0,1,5,1,2,.266,791
Jose Abreu,White Sox,88,342,387,90,60,19,1,10,33,49,28,5,80,11,6,0,16,0,1,.263,15676
Matt Kemp,Padres,99,408,430,107,60,24,0,23,54,69,16,3,100,0,6,0,8,0,0,.262,5631
Yangervis Solarte,Padres,29,108,119,28,21,3,1,3,14,16,7,0,21,1,3,0,5,0,1,.259,5352
Edwin Encarnacion,Blue Jays,103,383,454,99,50,20,0,29,67,80,60,2,91,4,7,0,17,1,0,.258,2151
Michael Conforto,Mets,36,133,148,34,16,9,1,8,23,22,13,1,38,1,1,0,2,2,0,.256,16376
Nomar Mazara,Rangers,36,145,159,37,30,4,0,3,14,12,8,1,24,3,3,0,1,0,0,.255,14553
Bryce Harper,Nationals,96,334,420,84,52,15,1,16,55,56,75,16,75,3,8,0,8,11,7,.251,11579
Wil Myers,Padres,33,124,141,31,20,6,0,5,19,20,14,1,33,2,1,0,2,7,2,.250,10047
Carlos Correa,Astros,61,237,271,59,40,9,3,7,27,29,31,1,68,3,0,0,4,8,3,.249,14162
Brandon Belt,Giants,51,201,234,50,24,17,3,6,27,28,31,0,71,1,1,0,4,0,0,.249,10264
Eric Hosmer,Royals,71,270,299,67,44,8,0,15,41,51,26,2,66,1,2,0,7,0,2,.248,3516
Stephen Piscotty,Cardinals,31,123,132,30,20,6,1,3,14,19,4,0,37,2,2,1,5,0,0,.244,13367
Matt Duffy,- - -,37,141,160,34,26,5,2,1,22,6,14,0,18,3,1,1,5,6,2,.241,13836
Maikel Franco,Phillies,95,373,408,89,55,18,1,15,38,57,28,6,68,3,4,0,9,1,0,.239,12179
Martin Prado,Marlins,28,103,114,24,15,8,0,1,11,14,7,0,15,2,2,0,5,1,1,.233,3312
Matt Holliday,Cardinals,86,322,361,75,41,17,1,16,39,53,31,0,62,7,1,0,8,0,0,.233,1873
Adrian Beltre,Rangers,32,122,136,28,17,6,1,4,13,19,10,1,15,2,2,0,4,0,0,.230,639
Jose Bautista,Blue Jays,41,141,178,32,13,11,1,7,24,28,34,0,33,1,2,0,7,1,1,.227,1887
Adam Jones,Orioles,28,112,121,25,17,3,0,5,16,14,9,0,23,0,0,0,4,0,0,.223,6368
Prince Fielder,Rangers,27,103,116,20,11,6,0,3,8,17,11,0,21,0,2,0,6,0,0,.194,4613
Miguel Sano,Twins,43,169,189,31,19,5,0,7,20,21,20,0,70,0,0,0,4,1,0,.183,12164
