Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Albert Pujols,Angels,34,142,150,49,37,4,0,8,18,23,6,0,18,1,1,0,9,1,0,.345,1177
Daniel Murphy,Nationals,58,225,251,77,42,23,2,10,37,45,17,4,24,4,5,0,2,3,0,.342,4316
Jose Altuve,Astros,98,390,429,133,94,21,4,14,61,58,30,7,44,3,4,2,8,12,9,.341,5417
Joey Votto,Reds,126,443,541,146,96,24,2,24,80,86,86,14,90,4,8,0,15,5,1,.330,4314
David Ortiz,Red Sox,45,173,197,56,31,13,0,12,28,39,20,2,23,1,3,0,8,0,0,.324,745
Miguel Cabrera,Tigers,156,593,677,187,117,31,1,38,92,107,75,15,116,4,5,0,26,0,0,.315,1744
Xander Bogaerts,Red Sox,105,441,482,139,99,25,0,15,80,68,34,0,78,4,3,0,11,13,3,.315,12161
Ryan Braun,Brewers,129,502,555,155,100,22,3,30,80,89,46,10,97,4,3,0,19,16,5,.309,3410
David Freese,Pirates,36,137,155,42,29,11,0,2,19,15,14,0,42,4,0,0,6,0,0,.307,9549
Christian Yelich,Marlins,121,470,534,144,94,33,2,15,67,76,57,0,113,3,4,0,16,6,3,.306,11477
Danny Valencia,Athletics,29,105,115,32,21,5,0,6,21,13,8,0,31,1,1,0,1,0,1,.305,6364
Mike Trout,Angels,124,434,533,132,82,23,4,23,95,81,89,9,104,5,5,0,2,21,3,.304,10155
Melky Cabrera,White Sox,55,218,242,66,40,20,1,5,23,33,20,0,28,0,2,2,7,1,0,.303,4022
Francisco Lindor,Indians,152,593,671,179,131,30,3,15,99,78,55,3,85,5,15,3,18,18,5,.302,12916
Paul Goldschmidt,Diamondbacks,147,543,659,163,104,32,3,24,102,91,102,12,137,6,7,0,14,30,5,.300,9218
Gregory Polanco,Pirates,29,114,128,34,17,12,1,4,22,20,11,0,30,0,3,0,2,6,1,.298,12907
Josh Reddick,Athletics,62,235,263,70,50,11,1,8,33,27,27,5,33,0,1,0,7,5,0,.298,3892
Robinson Cano,Mariners,161,655,715,195,121,33,2,39,107,103,47,8,100,8,5,0,18,0,1,.298,3269
Carlos Beltran,- - -,110,431,464,128,80,26,0,22,58,76,27,4,74,2,4,0,17,1,0,.297,589
Anthony Rizzo,Cubs,80,324,359,96,52,27,3,14,49,52,29,2,64,5,1,0,9,2,2,.296,3473
Freddie Freeman,Braves,154,574,676,170,89,42,6,33,100,90,87,18,167,10,5,0,12,6,1,.296,5361
Nolan Arenado,Rockies,90,358,394,104,58,23,3,20,62,70,29,4,60,1,6,0,10,2,2,.291,9777
Buster Posey,Giants,52,198,228,57,41,11,1,4,23,27,25,1,24,1,4,0,5,1,1,.288,9166
Corey Seager,Dodgers,26,98,108,28,18,6,2,2,15,6,7,0,21,3,0,0,3,0,1,.286,13624
Manny Machado,Orioles,114,466,499,133,84,22,1,26,71,70,26,3,86,2,5,0,13,0,0,.285,11493
Justin Turner,Dodgers,109,428,477,122,69,28,2,23,65,76,33,1,84,10,6,0,13,4,1,.285,5235
Lorenzo Cain,Royals,72,276,305,78,59,12,1,6,41,40,25,1,60,1,3,0,7,11,2,.283,9077
Carlos Gonzalez,Rockies,69,284,307,80,49,19,1,11,41,38,22,2,62,0,1,0,6,0,1,.282,7287
