Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
J.D. Martinez,Tigers,72,274,305,96,63,21,0,12,40,39,26,2,67,2,3,0,4,1,0,.350,6184
David Dahl,Rockies,31,111,120,38,22,10,3,3,21,15,9,0,26,0,0,0,2,2,0,.342,13744
Brandon Phillips,Reds,42,162,171,54,38,11,0,5,26,25,4,0,14,1,3,1,5,8,2,.333,791
Yadier Molina,Cardinals,66,250,270,83,60,18,0,5,22,26,18,0,27,2,0,0,8,2,1,.332,7007
Yasmany Tomas,Diamondbacks,44,173,187,57,33,10,1,13,29,35,13,1,29,1,0,0,7,1,2,.329,17171
Starling Marte,Pirates,31,123,127,40,30,7,1,2,14,12,4,2,23,0,0,0,2,11,5,.325,9241
Jose Ramirez,Indians,79,313,345,101,65,28,2,6,55,42,27,1,25,2,3,0,3,13,2,.323,13510
Mark Reynolds,Rockies,28,103,116,33,25,7,0,1,15,9,12,0,30,1,0,0,2,1,0,.320,7619
Wilson Ramos,Nationals,40,157,171,50,36,7,0,7,21,27,10,0,23,2,2,0,8,0,0,.318,1433
Jung Ho Kang,Pirates,33,107,134,34,15,7,0,12,23,34,21,1,23,6,0,0,4,0,0,.318,17182
Melky Cabrera,White Sox,45,169,188,53,38,11,2,2,23,17,18,1,15,0,0,1,2,0,0,.314,4022
Alex Dickerson,Padres,28,101,114,31,18,8,0,5,18,19,11,2,14,1,1,0,1,3,0,.307,12649
Ben Zobrist,Cubs,43,149,183,45,29,9,0,7,34,31,30,3,21,1,2,1,4,2,1,.302,7435
Justin Upton,Tigers,27,102,114,30,18,6,0,6,16,18,10,0,34,2,0,0,3,3,1,.294,5222
Hanley Ramirez,Red Sox,122,462,521,134,83,26,1,24,68,92,48,4,100,7,4,0,12,8,3,.290,8001
Matt Duffy,- - -,27,104,111,30,25,3,0,2,13,13,4,0,19,0,2,1,4,2,3,.288,13836
Stephen Vogt,Athletics,36,139,146,40,25,9,1,5,16,13,5,0,24,0,2,0,0,0,0,.288,5000
Brandon Belt,Giants,47,160,199,46,25,15,3,3,22,24,37,2,32,1,1,0,0,0,3,.288,10264
Andrelton Simmons,Angels,30,108,117,31,26,5,0,0,8,12,7,0,10,1,1,0,2,2,0,.287,10847
Brandon Crawford,Giants,65,251,280,72,48,12,7,5,30,45,22,3,50,2,5,0,3,5,0,.287,5343
Brian McCann,Yankees,29,98,117,28,18,4,0,6,20,16,15,1,19,4,0,0,6,0,0,.286,4810
Melvin Upton Jr.,- - -,52,203,216,58,43,6,1,8,27,25,10,0,58,1,2,0,3,12,3,.286,5015
Yonder Alonso,Athletics,35,124,137,35,23,10,0,2,16,17,12,0,16,0,1,0,3,1,0,.282,2530
Carlos Ruiz,- - -,25,89,102,25,20,4,0,1,9,5,12,1,13,1,0,0,2,2,0,.281,2579
Justin Morneau,White Sox,37,143,153,40,25,11,0,4,11,17,8,1,36,1,1,0,3,0,0,.280,1737
Nick Markakis,Braves,73,277,315,77,55,14,0,8,35,43,30,8,47,3,5,0,7,0,2,.278,5930
