Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Mark Trumbo,Orioles,97,378,407,105,53,19,1,32,59,80,27,1,96,2,0,0,7,1,0,.278,6876
Khris Davis,Athletics,40,144,163,40,19,8,0,13,28,27,10,0,39,6,3,0,6,1,1,.278,9112
Ryan Schimpf,Padres,26,90,108,25,7,5,4,9,19,23,15,2,29,2,1,0,1,0,1,.278,9953
Jay Bruce,- - -,48,177,196,49,25,9,3,12,26,36,17,3,44,0,2,0,3,0,0,.277,9892
Gerardo Parra,Rockies,38,159,162,44,27,13,2,2,23,19,2,1,27,1,0,0,6,3,4,.277,8553
Neil Walker,Mets,31,113,123,31,24,1,0,6,13,15,10,1,30,0,0,0,2,0,0,.274,7539
Nick Castellanos,Tigers,62,241,258,66,37,18,2,9,30,31,13,1,65,2,2,0,2,0,1,.274,11737
Rougned Odor,Rangers,65,257,272,70,37,17,0,16,30,39,12,0,63,1,2,0,4,6,3,.272,12282
Kyle Seager,Mariners,109,417,475,111,65,24,2,20,61,68,54,8,75,3,1,0,14,3,0,.266,9785
Yasiel Puig,Dodgers,32,113,132,30,22,1,2,5,18,22,13,0,26,4,2,0,5,3,0,.265,14225
Trevor Story,Rockies,39,147,164,39,21,8,0,10,29,30,15,1,49,2,0,0,3,5,1,.265,12564
Starlin Castro,Yankees,41,164,175,43,28,9,0,6,21,17,6,0,35,1,4,0,3,0,0,.262,4579
Carlos Santana,Indians,59,216,248,56,33,10,1,12,27,37,26,0,30,2,4,0,7,1,0,.259,2396
Justin Bour,Marlins,36,117,135,30,17,5,0,8,15,22,16,2,27,0,2,0,2,0,0,.256,9744
Marcell Ozuna,Marlins,50,188,204,48,28,12,2,6,26,22,14,1,35,2,0,0,4,0,2,.255,10324
Trevor Plouffe,Twins,27,102,109,26,19,3,1,3,12,12,5,0,18,2,0,0,4,1,0,.255,7462
Jhonny Peralta,Cardinals,29,110,114,28,15,9,0,4,16,14,4,0,18,0,0,0,0,0,0,.255,1738
Adam Duvall,Reds,51,202,219,51,23,10,2,16,35,49,12,0,59,2,3,0,1,0,3,.252,10950
Adonis Garcia,Braves,26,103,107,26,13,7,0,6,12,16,3,0,11,1,0,0,3,0,0,.252,13777
Matt Adams,Cardinals,31,107,115,27,14,7,0,6,11,19,6,0,22,1,1,0,2,0,0,.252,9393
Anthony Rendon,Nationals,41,151,176,38,21,13,0,4,21,32,16,1,28,5,4,0,2,1,1,.252,12861
Welington Castillo,Diamondbacks,54,212,232,53,32,12,0,9,21,38,15,3,63,2,3,0,5,2,0,.250,3256
James Loney,Mets,27,104,108,26,22,3,0,1,10,7,1,0,17,2,0,1,4,0,0,.250,4556
Francisco Cervelli,Pirates,39,136,165,34,28,5,1,0,15,19,25,0,30,2,2,0,5,2,2,.250,5275
Steven Souza Jr.,Rays,39,152,160,38,25,8,1,4,19,16,7,0,58,1,0,0,2,2,3,.250,5667
Evan Gattis,Astros,55,200,228,50,27,8,0,15,24,32,24,3,63,1,3,0,5,1,0,.250,11003
Giancarlo Stanton,Marlins,32,114,126,28,16,3,1,8,17,19,10,0,37,1,1,0,3,0,0,.246,4949
David Freese,Pirates,29,107,117,26,22,1,0,3,14,14,8,0,34,2,0,0,5,0,0,.243,9549
Kendrys Morales,Royals,63,235,259,57,40,9,0,8,24,26,21,1,54,1,2,0,9,0,0,.243,8610
C.J. Cron,Angels,44,165,184,40,26,11,0,3,17,26,8,0,31,6,4,0,3,0,2,.242,12546
Cameron Rupp,Phillies,54,194,216,47,25,15,1,6,19,29,18,0,57,4,0,0,3,1,0,.242,11146
Jeff Francoeur,- - -,28,108,113,26,18,5,0,3,12,16,3,1,29,0,2,0,1,0,0,.241,4792
Addison Russell,Cubs,48,183,200,44,24,9,0,11,26,34,12,1,36,3,2,0,5,1,1,.240,14106
Kirk Nieuwenhuis,Brewers,31,104,123,25,12,9,0,4,13,14,18,1,45,1,0,0,3,5,3,.240,6400
Colby Rasmus,Astros,26,100,108,24,18,2,0,4,11,11,8,0,33,0,0,0,1,0,0,.240,9893
Max Kepler,Twins,36,143,159,33,18,5,2,8,20,23,13,0,28,1,2,0,1,1,0,.231,12144
Prince Fielder,Rangers,31,106,126,24,17,4,0,3,11,13,15,0,19,5,0,0,5,0,0,.226,4613
Jefry Marte,Angels,31,107,116,24,11,6,0,7,10,21,6,0,21,2,1,0,5,0,1,.224,5107
Troy Tulowitzki,Blue Jays,67,244,278,54,34,7,0,13,26,39,28,1,64,4,2,0,8,1,0,.221,3531
Salvador Perez,Royals,66,249,267,54,34,12,0,8,25,23,10,3,64,7,1,0,5,0,0,.217,7304
Todd Frazier,White Sox,49,179,205,38,20,6,0,12,28,25,20,0,54,2,4,0,4,6,1,.212,785
Ryan Zimmerman,Nationals,29,105,116,22,13,3,1,5,13,11,9,0,25,1,1,0,6,1,0,.210,4220
Chris Carter,Brewers,94,332,390,69,30,18,1,20,45,56,45,0,124,5,8,0,9,0,1,.208,9911
Ryan Howard,Phillies,30,92,103,19,6,2,0,11,14,22,9,0,33,1,1,0,2,0,1,.207,2154
Russell Martin,Blue Jays,48,167,199,34,21,5,0,8,23,31,26,1,52,4,2,0,3,2,0,.204,4616
Yasmani Grandal,Dodgers,38,139,156,27,10,8,0,9,18,23,16,0,46,0,1,0,6,0,1,.194,11368
Dae-Ho Lee,Mariners,29,96,102,18,13,3,0,2,7,10,5,0,28,1,0,0,3,0,0,.188,18722
Desmond Jennings,Rays,27,95,107,17,11,3,0,3,10,9,9,0,31,2,1,0,1,2,0,.179,1965
Mark Teixeira,Yankees,33,115,127,20,9,6,0,5,10,12,11,1,34,0,1,0,1,0,0,.174,1281
Trayce Thompson,Dodgers,27,92,108,16,11,2,0,3,9,6,16,0,27,0,0,0,0,5,0,.174,9952
