"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Jesus Anguamea","Mexican (AAA)","23","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa737569"
"Jorge Gonzalez","Mexican (AAA)","19","6","9","9","5","4","0","0","1","5","4","0","0","2","0","0","0","0","0","0",".556","sa3002580"
"Michael Wing","Mexican (AAA)","28","7","19","24","10","6","2","0","2","3","8","2","0","2","1","2","0","2","0","1",".526","sa392185"
"Julian Ornelas","Mexican (AAA)","20","10","27","30","11","8","3","0","0","3","6","3","0","8","0","0","0","0","0","0",".407","sa3002601"
"Chris Roberson","Mexican (AAA)","37","59","250","285","99","62","21","3","13","56","45","23","6","35","4","6","2","5","11","6",".396","3577"
"Yadir Drake","Mexican (AAA)","27","66","244","280","96","59","21","2","14","44","57","27","3","38","4","5","0","7","6","4",".393","sa869674"
"Asael Sanchez","Mexican (AAA)","23","11","28","32","11","9","2","0","0","6","5","3","0","5","1","0","0","0","0","0",".393","sa868927"
"Jesus Valdez","Mexican (AAA)","32","55","205","223","80","55","18","0","7","37","31","15","2","26","2","1","0","3","2","3",".390","sa244229"
"Oscar Sanay","Mexican (AAA)","25","35","71","81","27","25","1","0","1","17","8","7","0","9","0","0","3","0","2","2",".380","sa830476"
"Jesus Castillo","Mexican (AAA)","34","66","255","300","96","63","19","0","14","53","58","44","7","42","0","1","0","6","8","3",".376","sa508184"
"Carlos Mendivil","Mexican (AAA)","23","15","32","35","12","7","4","0","1","4","8","3","0","5","0","0","0","1","0","1",".375","sa737687"
"Jasson Atondo","Mexican (AAA)","21","15","27","28","10","9","1","0","0","3","2","1","0","2","0","0","0","1","0","1",".370","sa868933"
"Said Gutierrez","Mexican (AAA)","37","34","114","129","42","33","4","0","5","15","28","7","0","14","5","1","2","6","0","0",".368","sa198297"
"Zoilo Almonte","Mexican (AAA)","28","64","262","295","96","57","27","1","11","49","46","25","4","56","5","3","0","5","0","0",".366","6732"
"Max Ramirez","Mexican (AAA)","32","47","170","201","62","43","11","0","8","26","27","28","0","27","2","1","0","7","1","1",".365","5039"
"Justin Greene","Mexican (AAA)","31","60","239","272","87","66","11","1","9","57","25","27","0","47","4","1","1","6","34","13",".364","sa455434"
"Carlos Valencia","Mexican (AAA)","37","14","44","46","16","11","1","0","4","9","12","1","0","6","1","0","0","1","0","1",".364","sa185137"
"Hans Wilson","Mexican (AAA)","31","13","33","34","12","12","0","0","0","2","5","0","0","4","0","0","1","2","1","0",".364","sa507241"
"Daniel Mayora","Mexican (AAA)","31","66","259","289","94","71","15","0","8","45","37","25","0","40","3","2","0","10","8","0",".363","sa291160"
"Jibran Castro","Mexican (AAA)","21","10","14","17","5","3","2","0","0","2","6","2","0","0","0","0","1","0","1","0",".357","sa914045"
"Antonio Lamas","Mexican (AAA)","27","56","188","212","67","52","9","2","4","43","33","18","2","16","3","2","1","5","8","4",".356","sa502224"
"Alberto Callaspo","Mexican (AAA)","34","15","59","67","21","16","5","0","0","10","10","6","1","7","1","1","0","2","0","2",".356","3336"
"Francisco Lugo","Mexican (AAA)","25","50","180","197","64","52","7","1","4","37","29","9","0","21","3","0","5","6","5","2",".356","sa505990"
"Jesus Rivera","Mexican (AAA)","39","39","124","138","44","35","9","0","0","10","20","11","1","14","1","0","2","5","3","0",".355","sa205255"
"Victor Mendoza","Mexican (AAA)","26","24","62","66","22","12","4","0","6","9","21","3","0","11","0","0","1","2","0","0",".355","sa722315"
"Ivan Terrazas","Mexican (AAA)","33","62","240","257","85","59","23","0","3","31","48","13","2","28","1","0","3","9","0","1",".354","sa254504"
"Luis Borges","Mexican (AAA)","36","60","215","234","76","61","14","0","1","29","26","13","2","15","0","0","6","10","1","1",".353","sa199621"
"Jose Augusto Figueroa","Mexican (AAA)","24","40","117","123","41","30","7","3","1","18","14","4","0","26","1","0","1","4","1","2",".350","sa597028"
"Alex Romero","Mexican (AAA)","33","63","252","281","88","80","5","1","2","38","23","20","3","15","3","1","5","4","3","3",".349","3129"
"Amadeo Zazueta","Mexican (AAA)","31","58","230","243","80","55","18","1","6","41","36","10","0","26","1","2","0","7","5","3",".348","sa328602"
"Endy Chavez","Mexican (AAA)","39","54","236","260","82","68","9","0","5","34","35","20","1","18","0","0","4","2","1","5",".347","768"
"Carlos Figueroa","Mexican (AAA)","25","62","256","283","88","77","8","2","1","59","21","21","2","39","1","1","4","5","22","5",".344","sa659614"
"Ramon Urias","Mexican (AAA)","23","64","236","285","81","50","20","1","10","59","54","24","0","52","19","3","3","10","7","4",".343","sa597169"
"Humberto Castro","Mexican (AAA)","26","45","120","132","41","36","3","0","2","19","12","8","0","16","3","0","1","7","1","2",".342","sa633745"
"Alan Sanchez","Mexican (AAA)","28","59","238","261","81","62","12","2","5","34","31","19","5","40","1","0","3","5","2","4",".340","sa545731"
"Sandy Madera","Mexican (AAA)","36","63","239","269","81","60","15","0","6","29","33","26","2","19","2","2","0","5","0","0",".339","sa208622"
"Jordany Valdespin","- - -","29","60","219","259","74","57","10","3","4","42","34","33","3","28","4","1","2","6","12","6",".338","5098"
"Erick Rodriguez","Mexican (AAA)","37","58","172","184","58","52","4","1","1","14","20","9","0","13","0","0","3","3","1","2",".337","sa509641"
"Jesus Arredondo","Mexican (AAA)","26","63","236","270","79","53","17","1","8","43","50","28","4","40","2","3","1","8","5","3",".335","sa635035"
"Hector Garanzuay","Mexican (AAA)","36","4","3","3","1","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0",".333","sa502223"
"Carlos Garzon","Mexican (AAA)","25","5","9","10","3","2","1","0","0","1","2","0","0","0","0","0","1","1","0","0",".333","sa595969"
"Marco Chicuate","Mexican (AAA)","24","16","39","42","13","10","1","0","2","4","6","1","0","6","0","1","1","2","0","0",".333","sa653586"
"Ramon Ulises Villa","Mexican (AAA)","21","6","9","11","3","3","0","0","0","1","1","1","0","3","0","1","0","0","0","0",".333","sa920967"
"Saul Soto","Mexican (AAA)","38","65","233","288","77","57","12","0","8","37","42","51","3","39","0","4","0","10","0","0",".330","sa211076"
"Jairo Perez","Mexican (AAA)","29","59","227","245","75","53","14","0","8","36","44","11","0","29","5","1","1","10","6","3",".330","sa504599"
"Julio Borbon","Mexican (AAA)","31","46","179","205","59","47","8","2","2","35","13","17","3","18","3","2","4","4","8","2",".330","3209"
"Ricky Alvarez","Mexican (AAA)","28","66","267","290","88","50","23","2","13","49","75","13","2","35","6","4","0","12","5","2",".330","sa462415"
"Juan Carlos Gamboa","Mexican (AAA)","26","29","85","101","28","20","6","0","2","14","12","14","1","15","1","1","0","2","3","1",".329","sa542553"
"Diego Madero","Mexican (AAA)","25","48","167","182","55","41","11","2","1","27","20","10","0","21","3","0","2","2","6","2",".329","sa651307"
"Brian Hernandez","Mexican (AAA)","28","60","225","252","74","56","13","1","4","33","43","21","1","31","3","2","1","13","1","1",".329","sa503330"
"Cesar Tapia","Mexican (AAA)","34","59","213","250","70","50","13","0","7","38","34","31","4","25","3","3","0","8","4","0",".329","sa508485"
"Tim Torres","Mexican (AAA)","33","17","55","70","18","16","1","0","1","9","10","12","1","15","0","3","0","0","2","1",".327","sa328090"
"Welington Dotel","Mexican (AAA)","31","63","248","269","81","55","13","4","9","52","37","16","1","52","2","1","2","5","12","12",".327","sa328836"
"Ramon Rios","Mexican (AAA)","29","56","227","248","74","62","9","0","3","36","18","15","0","20","1","2","3","10","0","0",".326","sa509434"
"Carlos Lopez","Mexican (AAA)","20","21","40","43","13","9","3","0","1","5","7","2","0","12","0","1","0","0","0","0",".325","sa3002056"
"Paul Leon","Mexican (AAA)","28","54","191","213","62","43","12","0","7","32","30","15","0","37","3","1","3","3","1","0",".325","sa546826"
"Balbino Fuenmayor","Mexican (AAA)","27","46","182","200","59","39","8","0","12","30","42","15","1","24","1","2","0","5","0","0",".324","sa356978"
"Jesus Fabela","Mexican (AAA)","22","42","130","155","42","29","7","1","5","29","20","17","0","11","4","1","3","5","3","1",".323","sa3001061"
"Leo Heras","Mexican (AAA)","27","60","223","258","72","48","14","7","3","46","34","30","3","46","1","3","1","0","12","6",".323","sa508065"
"Anderson Hernandez","Mexican (AAA)","34","66","267","291","86","58","20","5","3","52","46","19","1","39","0","2","2","6","6","1",".322","3366"
"Carlos Alberto Gastelum","Mexican (AAA)","37","59","227","258","73","61","10","1","1","31","22","16","0","24","7","2","6","8","3","3",".322","sa198097"
"Ivan Araujo","Mexican (AAA)","33","44","140","153","45","40","4","0","1","19","13","11","0","27","1","1","0","3","5","0",".321","sa509253"
"Jaime Brena","Mexican (AAA)","36","42","150","178","48","38","9","0","1","18","11","16","0","17","5","0","7","5","1","0",".320","sa508052"
"Roberto Lopez","Mexican (AAA)","31","52","147","169","47","33","5","1","8","29","25","20","2","35","1","0","1","1","2","2",".320","sa454598"
"Jose Carlos Urena","Mexican (AAA)","22","49","147","169","47","31","9","0","7","23","21","18","3","44","3","1","0","4","0","0",".320","sa657491"
"Alejandro Ortiz","Mexican (AAA)","27","39","119","132","38","25","11","0","2","18","17","10","2","22","2","1","0","3","0","3",".319","sa508095"
"Yordanys Linares","Mexican (AAA)","28","27","110","121","35","26","5","3","1","17","9","5","1","16","4","0","2","1","6","6",".318","sa3002576"
"Ronnier Mustelier","Mexican (AAA)","32","47","176","194","56","47","7","1","1","25","22","16","2","17","1","1","0","4","3","0",".318","sa601536"
"Leo German","Mexican (AAA)","24","61","192","215","61","51","10","0","0","32","16","12","1","41","3","2","6","7","13","5",".318","sa728813"
"Alfredo Amezaga","- - -","39","50","189","217","60","50","9","0","1","26","27","20","0","34","4","1","3","10","4","4",".317","1"
"Domingo Castro","Mexican (AAA)","37","16","38","42","12","12","0","0","0","3","8","1","0","6","1","0","2","1","1","0",".316","sa185832"
"Agustin Murillo","Mexican (AAA)","35","31","114","127","36","28","4","0","4","18","14","12","1","11","0","0","1","3","1","2",".316","sa244092"
"Jesus Navarro","Mexican (AAA)","29","14","19","20","6","4","1","0","1","1","1","1","0","6","0","0","0","0","0","0",".316","sa456098"
"Cyle Hankerd","Mexican (AAA)","32","60","216","247","68","41","13","1","13","48","50","19","1","38","11","1","0","10","0","0",".315","sa326676"
"Dave Sappelt","- - -","30","50","210","236","66","43","16","2","5","38","22","24","1","32","1","1","0","4","2","2",".314","6898"
"Willy Taveras","Mexican (AAA)","35","63","258","296","81","56","9","6","10","52","44","18","2","49","16","2","2","2","12","2",".314","1876"
"Corey Brown","Mexican (AAA)","31","65","230","280","72","38","13","4","17","51","61","46","2","73","0","3","1","1","10","2",".313","2650"
"Manny Rodriguez","Mexican (AAA)","34","61","230","267","72","46","18","0","8","40","58","33","1","31","0","4","0","3","11","1",".313","sa509273"
"Abel Martinez","Mexican (AAA)","40","27","96","107","30","26","2","0","2","14","11","9","0","17","1","1","0","5","0","1",".313","sa203950"
"Gilberto Galaviz","Mexican (AAA)","25","34","80","87","25","23","2","0","0","8","8","5","0","3","1","0","1","5","0","1",".313","sa597945"
"Issmael Salas","Mexican (AAA)","34","62","250","282","78","53","16","0","9","32","33","26","1","23","5","0","1","8","2","1",".312","sa201344"
"Frank Diaz","Mexican (AAA)","33","63","247","273","77","50","15","1","11","36","44","24","1","37","1","1","0","6","2","0",".312","sa200361"
"Esteban Quiroz","Mexican (AAA)","25","54","174","216","54","28","18","0","8","37","33","38","8","30","1","0","3","4","4","0",".310","sa596560"
"Julian Castro","Mexican (AAA)","28","31","113","125","35","27","5","1","2","18","11","6","0","17","0","0","6","3","3","2",".310","sa546293"
"Christian Zazueta","Mexican (AAA)","32","63","256","269","79","58","16","1","4","44","30","7","1","39","3","2","1","4","19","6",".309","sa508617"
"Carlos Rodriguez","Mexican (AAA)","35","62","240","256","74","44","17","2","11","33","46","14","1","69","1","1","0","10","0","0",".308","sa509441"
"Angel Erro","Mexican (AAA)","22","14","13","15","4","2","2","0","0","3","3","0","0","2","1","0","1","0","0","0",".308","sa824919"
"Diory Hernandez","- - -","33","34","137","147","42","26","9","2","5","28","18","8","1","26","0","2","0","3","1","0",".307","4950"
"Jaime Pedroza","Mexican (AAA)","30","45","147","183","45","32","10","0","3","22","21","30","3","39","2","2","2","1","4","3",".306","sa389397"
"Juan Miranda","Mexican (AAA)","34","13","36","49","11","7","3","0","1","7","13","10","0","9","2","1","0","1","0","0",".306","7783"
"Emmanuel Avila","Mexican (AAA)","28","56","220","236","67","43","14","2","8","30","36","11","3","14","3","1","1","7","0","0",".305","sa393008"
"Ramon R Ramirez","Mexican (AAA)","26","42","102","112","31","18","8","0","5","9","18","6","0","27","1","0","3","1","2","2",".304","sa509254"
"Alberto Carreon","Mexican (AAA)","29","65","257","290","78","61","11","2","4","52","31","17","0","34","5","4","7","13","11","5",".304","sa508493"
"Juan Martinez","Mexican (AAA)","30","60","234","257","71","52","10","3","6","29","30","20","1","44","0","1","2","7","1","1",".303","sa502541"
"Robert Vasquez","- - -","30","21","66","80","20","16","2","1","1","13","9","11","1","21","2","0","1","1","2","2",".303","sa396251"
"Sergio Burruel","Mexican (AAA)","25","53","162","183","49","40","8","0","1","12","27","16","0","20","0","1","4","5","0","3",".302","sa502070"
"Samar Leyva","Mexican (AAA)","22","60","209","225","63","48","12","1","2","30","23","9","0","30","5","0","2","6","6","3",".301","sa824634"
