"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Yosmany Guerra","Mexican (AAA)","34","63","256","288","77","55","13","8","1","36","24","28","1","33","3","1","0","9","3","5",".301","sa714135"
"Miguel Torrero","Mexican (AAA)","33","58","200","216","60","53","4","1","2","21","24","9","1","17","5","1","1","4","4","1",".300","sa508490"
"Marco Guzman","Mexican (AAA)","22","30","90","98","27","19","6","0","2","11","8","3","0","21","0","1","4","2","1","0",".300","sa657485"
"Fabricio Macias","Mexican (AAA)","19","43","90","95","27","22","2","3","0","19","9","5","0","18","0","0","0","1","10","1",".300","sa927338"
"Eliezer Ortiz","Mexican (AAA)","29","54","191","207","57","44","10","2","1","19","24","9","0","43","4","1","2","7","5","3",".298","sa508491"
"Gerson Manzanillo","Mexican (AAA)","31","58","208","223","62","49","9","4","0","29","13","12","0","27","1","0","2","3","9","3",".298","sa393018"
"Jose Ruiz","Mexican (AAA)","32","64","255","277","76","50","12","2","12","35","49","19","3","54","2","1","0","10","5","1",".298","sa523975"
"Luis Mauricio Suarez","Mexican (AAA)","38","53","198","229","59","49","7","1","2","27","20","25","4","26","3","0","3","11","3","1",".298","sa508488"
"Carlos Lopez","Mexican (AAA)","27","59","235","255","70","60","10","0","0","33","22","18","1","34","0","2","0","3","0","2",".298","sa550060"
"Ricardo Vazquez","Mexican (AAA)","32","23","37","39","11","8","3","0","0","3","3","1","0","13","0","1","0","1","0","0",".297","sa509432"
"Daniel Cornejo","Mexican (AAA)","26","17","44","47","13","12","1","0","0","5","1","1","0","9","1","1","0","1","2","0",".295","sa977260"
"Alfredo Lopez","Mexican (AAA)","27","24","61","67","18","16","2","0","0","8","2","3","0","6","0","0","3","1","2","0",".295","sa549427"
"Eduardo Revilla","Mexican (AAA)","24","38","112","123","33","26","6","0","1","12","12","6","0","28","2","0","2","8","0","0",".295","sa870576"
"Niko Vasquez","Mexican (AAA)","28","28","102","114","30","19","8","0","3","16","11","8","0","30","3","1","0","1","5","1",".294","sa454460"
"Cristhian Presichi","Mexican (AAA)","36","60","225","258","66","55","10","1","0","36","30","26","1","26","0","4","3","7","10","3",".293","sa184892"
"Dan Johnson","Mexican (AAA)","37","26","93","114","27","16","5","1","5","15","17","16","1","21","4","1","0","0","0","1",".290","2167"
"Rainel Rosario","Mexican (AAA)","28","64","248","281","72","48","8","1","15","49","59","28","0","43","2","3","0","8","7","1",".290","sa396238"
"Ivan Jimenez","Mexican (AAA)","24","45","131","152","38","29","7","1","1","18","10","17","0","34","2","0","2","2","7","1",".290","sa652169"
"Alex Valdez","Mexican (AAA)","32","61","221","261","64","42","10","1","11","42","39","34","6","42","1","5","0","1","1","1",".290","sa254456"
"Donald Lutz","Mexican (AAA)","28","10","38","45","11","10","1","0","0","8","5","5","3","13","1","1","0","0","2","1",".289","10154"
"J.P. Ramirez","Mexican (AAA)","27","40","114","120","33","27","6","0","0","15","12","3","0","22","2","1","0","6","3","0",".289","sa455310"
"Yuniesky Betancourt","Mexican (AAA)","35","21","83","92","24","19","4","0","1","11","15","4","0","4","0","4","1","2","0","0",".289","8585"
"Nate Freiman","- - -","30","36","128","160","37","22","7","1","7","24","22","28","2","26","3","1","0","4","0","0",".289","6582"
"Enrique Osorio","Mexican (AAA)","32","54","180","202","52","37","15","0","0","29","22","14","1","26","4","3","1","7","2","1",".289","sa509128"
"Alejandro Flores","Mexican (AAA)","21","58","187","209","54","32","15","2","5","32","33","16","0","65","2","0","4","2","1","3",".289","sa736822"
"Ricky Rodriguez","Mexican (AAA)","24","60","215","243","62","44","10","1","7","35","41","20","2","64","5","3","0","5","2","3",".288","sa977119"
"Oscar Williams","Mexican (AAA)","25","49","118","132","34","29","3","1","1","19","16","10","0","30","1","0","2","3","1","0",".288","sa510244"
"Jose Amador","Mexican (AAA)","37","54","188","220","54","41","8","0","5","29","39","28","1","30","2","2","0","8","1","0",".287","sa509117"
"Hector Hernandez","- - -","34","52","171","193","49","41","8","0","0","20","21","16","1","18","1","2","3","6","1","1",".287","sa509125"
"Rene Reyes","Mexican (AAA)","39","21","70","81","20","14","2","0","4","9","18","8","0","15","1","0","2","1","0","1",".286","1774"
"Jon Del Campo","- - -","29","23","77","88","22","20","2","0","0","13","7","8","2","12","1","2","0","1","3","1",".286","sa328104"
"Eduardo Arredondo","Mexican (AAA)","32","27","98","112","28","24","2","1","1","11","6","9","0","7","0","1","2","2","0","2",".286","sa508008"
"Roberto Valencia","Mexican (AAA)","28","27","42","51","12","7","4","0","1","5","3","5","1","4","2","0","2","1","0","0",".286","sa509655"
"Matt Clark","Mexican (AAA)","30","63","239","276","68","41","14","0","13","40","55","36","6","59","0","1","0","6","0","1",".285","8793"
"Felix Perez","Mexican (AAA)","32","28","102","117","29","20","2","1","6","19","23","9","2","22","4","2","0","3","0","1",".284","sa547904"
"Chris Valencia","Mexican (AAA)","30","48","74","77","21","19","2","0","0","10","8","2","1","11","1","0","0","1","5","1",".284","sa294215"
"Quincy Latimore","Mexican (AAA)","28","17","67","75","19","15","0","0","4","12","11","7","0","16","0","1","0","1","0","2",".284","sa389676"
"Cole Gillespie","- - -","33","51","198","225","56","40","14","0","2","38","29","22","2","41","1","3","1","7","5","2",".283","5888"
"Henry Alejandro Rodriguez","Mexican (AAA)","27","65","269","289","76","57","15","1","3","36","26","13","1","40","4","2","1","6","3","0",".283","7983"
"C.J. Retherford","Mexican (AAA)","31","59","220","250","62","44","10","0","8","33","26","21","1","49","5","4","0","9","2","0",".282","sa393409"
"Jorge Vazquez","Mexican (AAA)","35","34","114","138","32","21","3","0","8","18","24","22","3","29","1","1","0","9","0","0",".281","sa491894"
"Rogelio Noris","Mexican (AAA)","28","43","136","146","38","28","4","1","5","14","19","6","0","25","2","1","1","2","2","2",".279","sa503032"
"Daniel Sanchez","Mexican (AAA)","24","25","68","72","19","15","1","0","3","9","9","3","0","12","0","1","0","3","0","0",".279","sa736483"
"Refugio Cervantes","Mexican (AAA)","38","26","86","97","24","15","5","0","4","7","19","8","0","17","1","1","1","6","0","0",".279","sa185724"
"Engel Beltre","Mexican (AAA)","27","63","251","282","70","55","8","2","5","34","23","18","1","39","7","0","6","5","9","4",".279","4918"
"Luis Juarez","Mexican (AAA)","27","61","251","271","70","40","17","1","12","44","56","14","0","24","3","3","0","9","2","2",".279","sa509384"
"Walter Ibarra","Mexican (AAA)","29","48","183","196","51","40","10","1","0","21","15","10","1","39","0","1","2","6","1","0",".279","sa314143"
"Jose Vargas","Mexican (AAA)","29","48","158","173","44","26","7","1","10","27","28","11","0","49","1","1","2","0","4","6",".278","sa455452"
"Daniel Hinojosa","- - -","32","26","79","93","22","20","2","0","0","16","6","13","0","23","0","0","1","1","1","1",".278","sa509451"
"Deibinson Romero","Mexican (AAA)","30","56","202","236","56","43","8","0","5","25","33","24","1","34","5","5","0","6","1","1",".277","sa328505"
"Moises Gutierrez","Mexican (AAA)","22","37","83","96","23","19","3","0","1","13","15","8","0","19","1","3","1","3","0","0",".277","sa595706"
"Santiago Gonzalez","Mexican (AAA)","33","48","141","152","39","26","12","0","1","19","16","8","0","25","3","0","0","4","1","1",".277","sa509127"
"Alejandro Gonzalez","Mexican (AAA)","31","57","203","233","56","39","9","5","3","28","31","19","2","54","7","3","1","5","3","1",".276","sa509640"
"Carlos Penuelas","- - -","29","43","116","126","32","29","2","1","0","8","13","6","0","12","2","1","1","3","0","1",".276","sa547125"
"Jonathan Salazar","Mexican (AAA)","23","18","29","33","8","7","0","1","0","4","1","3","0","3","0","0","1","0","1","0",".276","sa977561"
"Raymundo Torres","- - -","23","50","149","177","41","30","8","0","3","23","15","25","0","37","0","0","3","6","0","2",".275","sa739643"
"Gabriel Gutierrez","Mexican (AAA)","33","17","40","45","11","7","4","0","0","6","4","4","0","5","0","0","1","2","0","0",".275","sa286640"
"Jose Aguilar","Mexican (AAA)","27","49","179","202","49","33","11","0","5","29","16","12","0","35","4","1","5","4","8","2",".274","sa546354"
"Juan Francisco","Mexican (AAA)","30","6","22","23","6","4","2","0","0","0","3","1","0","7","0","0","0","0","0","0",".273","6978"
"Carlos Eduardo Gonzalez","Mexican (AAA)","32","20","33","42","9","4","3","0","2","6","7","7","0","6","0","1","1","0","0","1",".273","sa509268"
"Victor Santos","Mexican (AAA)","22","34","44","48","12","7","3","0","2","11","2","1","0","12","1","0","2","3","1","1",".273","sa977112"
"Heber Gomez","- - -","39","39","140","156","38","32","6","0","0","22","14","12","0","22","1","0","3","4","1","0",".271","sa203954"
"Ethan Chapman","Mexican (AAA)","27","59","199","224","54","42","7","1","4","35","18","18","3","54","1","4","2","0","15","6",".271","sa658802"
"Maxwell Leon","Mexican (AAA)","33","58","218","246","59","39","15","1","4","36","31","18","2","53","5","3","2","3","4","1",".271","sa326041"
"Luis Flores","Mexican (AAA)","30","20","52","53","14","8","3","0","3","7","4","0","0","8","0","0","1","1","0","0",".269","sa454795"
"Valentin Gamez","Mexican (AAA)","34","27","56","69","15","13","2","0","0","9","6","9","2","8","1","0","3","3","0","0",".268","sa508053"
"Brad Snyder","Mexican (AAA)","35","65","228","262","61","32","17","0","12","35","41","31","1","66","1","2","0","4","0","1",".268","6052"
"Yancarlo Angulo","Mexican (AAA)","30","42","131","154","35","23","10","1","1","19","13","17","0","19","2","1","3","5","0","2",".267","sa329105"
"Jose Guadalupe Chavez","Mexican (AAA)","32","52","176","228","47","36","8","0","3","40","17","46","0","32","4","1","1","5","4","2",".267","sa288775"
"Eduardo Santos","Mexican (AAA)","24","14","30","31","8","8","0","0","0","2","2","0","0","6","0","0","1","3","0","0",".267","sa592344"
"Fernando Flores","Mexican (AAA)","25","60","214","230","57","37","15","1","4","22","35","9","2","37","0","5","2","4","0","2",".266","sa594366"
"Juan Apodaca","Mexican (AAA)","30","49","169","187","45","36","5","1","3","25","27","17","0","33","0","1","0","4","0","0",".266","sa286639"
"Jorge Cantu","Mexican (AAA)","35","57","192","223","51","29","14","1","7","29","32","24","1","52","3","3","1","4","1","0",".266","2521"
"Pedro Ciriaco","Mexican (AAA)","31","33","128","133","34","22","10","0","2","8","15","2","1","23","1","2","0","6","1","1",".266","5278"
"Jose Martinez","Mexican (AAA)","27","58","215","238","57","28","20","3","6","23","27","17","0","53","2","4","0","4","1","1",".265","sa541954"
"Jose Luna","Mexican (AAA)","24","35","72","72","19","15","3","0","1","6","9","0","0","11","0","0","0","1","0","0",".264","sa688550"
"Alex Liddi","Mexican (AAA)","28","64","235","270","62","38","7","1","16","47","53","29","0","64","2","3","1","8","7","1",".264","5411"
"Sergio Contreras","Mexican (AAA)","37","50","171","188","45","39","5","0","1","16","16","12","0","25","2","2","1","3","2","2",".263","sa199023"
"Omar Renteria","Mexican (AAA)","27","25","38","41","10","8","1","0","1","4","3","2","0","10","0","0","1","2","0","0",".263","sa549398"
"Isaac Rodriguez Salazar","Mexican (AAA)","26","40","152","173","40","33","3","1","3","25","15","16","0","16","3","1","1","5","3","2",".263","sa878470"
"Alfredo Marte","Mexican (AAA)","28","44","156","177","41","30","4","1","6","26","25","15","1","33","5","1","0","2","5","1",".263","5212"
"Ricardo Serrano","Mexican (AAA)","31","55","198","212","52","39","9","1","3","20","24","12","0","42","0","1","1","5","1","5",".263","sa508489"
"Dustin Martin","Mexican (AAA)","33","64","225","276","59","36","15","0","8","45","41","46","7","64","2","2","1","13","17","6",".262","sa328277"
"Freddy Guzman","Mexican (AAA)","36","44","164","198","43","36","4","3","0","33","7","31","0","30","0","2","1","3","19","5",".262","2162"
"Oscar Robles","Mexican (AAA)","41","28","84","99","22","21","1","0","0","13","9","14","2","4","0","0","1","10","1","2",".262","8975"
"Sergio Gastelum","Mexican (AAA)","38","33","84","97","22","18","4","0","0","7","9","10","1","12","1","0","2","5","0","0",".262","sa185600"
"Leandro Castro","Mexican (AAA)","28","64","252","271","66","39","14","0","13","34","40","14","2","34","2","3","0","12","6","6",".262","sa455746"
"Carlos Alvarez","Mexican (AAA)","29","46","123","146","32","23","8","1","0","13","14","17","1","25","3","1","2","1","4","2",".260","sa509271"
"Greg Golson","Mexican (AAA)","31","27","100","114","26","22","4","0","0","11","9","12","1","26","2","0","0","2","5","3",".260","8074"
"Rolando Acosta","- - -","34","35","127","141","33","24","7","0","2","10","10","7","0","20","5","1","1","5","0","1",".260","sa291449"
"Francisco Rivera","Mexican (AAA)","28","37","77","91","20","16","4","0","0","8","5","14","1","15","0","0","0","7","0","0",".260","sa452248"
"Jesus Alberto Vega","Mexican (AAA)","35","37","104","121","27","16","7","0","4","14","21","10","0","23","4","1","2","2","0","0",".260","sa199032"
"Edson Garcia","- - -","24","47","166","190","43","29","7","3","4","26","15","11","0","27","5","0","8","2","3","2",".259","sa691751"
"Rodolfo Amador","Mexican (AAA)","24","51","85","88","22","17","3","0","2","9","10","0","0","6","2","1","0","3","0","2",".259","sa652484"
"Jose Manuel Orozco","- - -","26","49","156","174","40","32","4","1","3","22","19","16","2","37","1","0","1","0","4","1",".256","sa505268"
"Ricardo Valenzuela","Mexican (AAA)","26","44","121","138","31","28","2","0","1","15","11","14","0","15","0","1","2","5","0","3",".256","sa550659"
"Israel Nunez","- - -","31","30","82","93","21","15","4","0","2","9","10","6","0","11","0","0","4","0","0","0",".256","sa392885"
"Mario Valenzuela","Mexican (AAA)","40","59","211","248","54","41","7","0","6","26","27","33","1","48","2","2","0","10","0","2",".256","sa206418"
"Daniel Nunez","Mexican (AAA)","35","62","192","231","49","46","1","2","0","25","12","29","0","29","7","1","2","4","3","7",".255","sa509257"
"Luis Alfonso Garcia","Mexican (AAA)","38","16","51","62","13","9","1","0","3","11","9","7","0","10","2","2","0","3","0","0",".255","sa205818"
"Christian Marrero","Mexican (AAA)","30","47","161","193","41","26","7","1","7","20","23","23","2","30","8","1","0","9","0","1",".255","sa326115"
"Carlos Orrantia","Mexican (AAA)","35","18","55","58","14","10","3","0","1","7","4","2","0","11","0","0","1","2","2","2",".255","sa509454"
"Pedro Diaz","Mexican (AAA)","38","26","67","71","17","14","2","0","1","1","12","2","0","11","1","1","0","2","0","1",".254","sa185697"
"Rico Noel","Mexican (AAA)","28","10","48","51","12","8","2","0","2","5","5","3","1","15","0","0","0","1","5","2",".250","10585"
"Ryohei Shimabukuro","Mexican (AAA)","27","3","12","15","3","2","1","0","0","2","5","2","0","2","1","0","0","0","0","0",".250","sa392825"
