"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Paolo Espino","Brewers (AAA)","30","5","9","12","4","3","1","0","0","1","3","0","0","2","0","0","3","0","0","0",".444","8246"
"Christian Bethancourt","Padres (AAA)","25","11","7","7","3","2","1","0","0","1","1","0","0","2","0","0","0","0","0","0",".429","10028"
"Barry Enright","Rockies (AAA)","31","3","7","7","3","2","1","0","0","1","1","0","0","2","0","0","0","0","0","0",".429","2412"
"Eduardo de Oleo","Astros (AAA)","24","2","7","7","3","2","1","0","0","0","0","0","0","2","0","0","0","0","0","0",".429","sa597686"
"Eliezer Zambrano","Giants (AAA)","30","4","12","14","5","5","0","0","0","2","1","2","0","2","0","0","0","0","0","0",".417","sa393574"
"River Stevens","Padres (AAA)","25","5","12","14","5","4","1","0","0","3","2","1","0","2","1","0","0","0","0","0",".417","sa658130"
"Tom Murphy","Rockies (AAA)","26","7","29","31","12","6","4","1","1","6","7","1","0","9","0","1","0","0","0","0",".414","13499"
"Whit Merrifield","Royals (AAA)","28","9","34","37","14","7","4","0","3","6","9","1","0","4","1","1","0","0","1","1",".412","11281"
"Christian Arroyo","Giants (AAA)","22","23","89","98","36","25","7","0","4","18","16","5","1","10","4","0","0","1","2","0",".404","16434"
"Gregor Blanco","Diamondbacks (AAA)","33","1","5","6","2","2","0","0","0","2","0","1","0","1","0","0","0","0","0","0",".400","3123"
"Andre Rienzo","Padres (AAA)","28","13","5","6","2","2","0","0","0","1","0","0","0","1","0","0","1","0","0","0",".400","3507"
"John Polonius","Giants (AAA)","26","3","5","6","2","1","0","1","0","2","1","0","0","0","0","0","1","0","0","0",".400","sa599310"
"Brayan Hernandez","Mariners (AAA)","19","3","5","6","2","2","0","0","0","0","0","0","0","0","0","0","1","0","1","0",".400","sa876536"
"Tyler Pill","Mets (AAA)","27","7","13","17","5","5","0","0","0","3","2","0","0","1","0","1","3","0","0","0",".385","12751"
"Nick Buss","Padres (AAA)","30","49","145","163","55","42","8","1","4","24","22","14","0","24","2","2","0","2","3","1",".379","6835"
"Rey Fuentes","Diamondbacks (AAA)","26","34","133","144","50","39","8","3","0","25","13","8","1","25","0","3","0","2","9","0",".376","10329"
"Jermaine Curtis","Athletics (AAA)","29","3","8","11","3","2","1","0","0","0","0","2","0","1","0","0","1","0","0","0",".375","7765"
"Carlos Perez","Angels (AAA)","26","29","110","126","41","29","8","2","2","18","22","13","0","20","1","2","0","0","2","1",".373","10642"
"Juan Centeno","Astros (AAA)","27","36","129","139","48","37","9","1","1","13","19","7","0","22","0","1","2","3","0","1",".372","7168"
"Jhonny Peralta","Cardinals (AAA)","35","3","11","12","4","3","1","0","0","2","2","1","0","1","0","0","0","0","0","0",".364","1738"
"Oswaldo Arcia","Diamondbacks (AAA)","26","55","205","242","74","36","18","5","15","49","65","25","1","50","6","6","0","1","0","0",".361","10306"
"Drew Maggi","Dodgers (AAA)","28","31","103","123","37","28","6","0","3","23","17","18","0","21","0","2","0","1","3","3",".359","sa549144"
"Raimel Tapia","Rockies (AAA)","23","34","156","166","56","36","15","4","1","29","23","10","1","26","0","0","0","0","11","2",".359","14350"
"Matt Flemer","Rockies (AAA)","26","9","14","17","5","3","2","0","0","1","3","0","0","1","0","0","3","1","0","0",".357","sa580429"
"Ketel Marte","Diamondbacks (AAA)","23","62","276","297","98","68","18","7","5","55","37","19","1","28","2","0","0","4","7","2",".355","13613"
"Eric Young Jr.","Angels (AAA)","32","44","178","201","63","45","10","3","5","42","26","18","0","29","2","0","3","5","15","7",".354","7158"
"Rangel Ravelo","Cardinals (AAA)","25","33","103","119","36","24","9","0","3","21","19","11","1","20","3","2","0","3","0","1",".350","sa548335"
"Garrett Cooper","Brewers (AAA)","26","54","206","232","72","45","16","0","11","42","54","22","2","33","1","3","0","9","0","0",".350","sa737833"
"Cory Spangenberg","Padres (AAA)","26","17","66","72","23","18","3","1","1","8","7","4","0","8","2","0","0","2","3","2",".348","12294"
"Jamie Romak","Padres (AAA)","31","25","95","102","33","13","8","1","11","24","25","6","0","25","1","0","0","2","2","1",".347","5552"
"Victor Caratini","Cubs (AAA)","23","60","217","237","75","50","17","2","6","34","47","17","3","37","0","3","0","12","0","0",".346","sa737618"
"Cody Bellinger","Dodgers (AAA)","21","18","67","77","23","14","4","0","5","15","15","9","1","22","1","0","0","0","7","0",".343","15998"
"C.J. Cron","Angels (AAA)","27","12","47","53","16","6","6","0","4","8","18","3","0","8","2","1","0","1","0","0",".340","12546"
"Noel Cuevas","Rockies (AAA)","25","64","253","267","86","63","5","8","10","46","52","9","0","41","3","2","0","11","12","2",".340","sa549566"
"Max Muncy","Dodgers (AAA)","26","45","139","160","47","29","10","1","7","28","27","18","1","36","2","1","0","0","0","3",".338","13301"
"Mike Freeman","- - -","29","29","104","113","35","28","4","2","1","21","11","9","1","23","0","0","0","1","4","0",".337","11241"
"Derek Fisher","Astros (AAA)","23","60","245","275","82","47","19","0","16","42","45","25","1","53","3","1","1","8","13","10",".335","16192"
"Brett Nicholas","Rangers (AAA)","28","44","174","188","58","40","11","2","5","22","30","9","1","37","4","1","0","5","2","1",".333","11192"
