Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
<a href=wins.aspx?date=2013-05-21&team=Padres&dh=0>2013-05-21</a>,SDP,STL,1,0,1,7.50,1,1,0,0,0,0,0,6.0,26,8,5,5,0,1,0,0,0,0,5,45
<a href=wins.aspx?date=2013-05-16&team=Padres&dh=0>2013-05-16</a>,SDP,WSN,1,0,1,9.00,1,1,0,0,0,0,0,5.0,23,5,5,5,1,4,0,0,0,0,7,35
<a href=wins.aspx?date=2013-05-10&team=Padres&dh=0>2013-05-10</a>,SDP,@TBR,1,0,0,3.00,1,1,0,0,0,0,0,6.0,25,3,2,2,0,4,0,0,1,0,3,56
<a href=wins.aspx?date=2013-05-05&team=Padres&dh=0>2013-05-05</a>,SDP,ARI,1,1,0,1.35,1,1,0,0,0,0,0,6.2,27,4,1,1,1,3,0,0,0,0,3,57
<a href=wins.aspx?date=2013-04-30&team=Padres&dh=0>2013-04-30</a>,SDP,@CHC,1,1,0,6.35,1,1,0,0,0,0,0,5.2,26,7,4,4,2,3,0,0,0,0,3,30
<a href=wins.aspx?date=2013-04-24&team=Padres&dh=0>2013-04-24</a>,SDP,MIL,1,1,0,0.00,1,1,0,0,0,0,0,7.0,26,5,0,0,0,0,0,0,0,0,3,72
<a href=wins.aspx?date=2013-04-19&team=Padres&dh=0>2013-04-19</a>,SDP,@SFG,1,0,0,3.00,1,1,0,0,0,0,0,6.0,28,8,2,2,0,3,0,0,2,0,3,48
<a href=wins.aspx?date=2013-04-13&team=Padres&dh=0>2013-04-13</a>,SDP,COL,1,0,1,16.20,1,1,0,0,0,0,0,3.1,21,6,7,6,1,3,1,0,1,0,4,16
<a href=wins.aspx?date=2013-04-07&team=Padres&dh=0>2013-04-07</a>,SDP,@COL,1,0,1,6.00,1,1,0,0,0,0,0,6.0,27,9,4,4,1,1,0,0,2,0,1,36
<a href=wins.aspx?date=2013-04-01&team=Padres&dh=0>2013-04-01</a>,SDP,@NYM,1,0,1,18.00,1,1,0,0,0,0,0,3.0,19,6,6,6,0,3,0,0,0,0,4,23
<a href=wins.aspx?date=2012-09-30&team=Padres&dh=0>2012-09-30</a>,SDP,SFG,1,0,0,4.50,1,1,0,0,0,0,0,4.0,20,6,2,2,0,3,0,1,0,0,4,42
<a href=wins.aspx?date=2012-09-25&team=Padres&dh=0>2012-09-25</a>,SDP,LAD,1,1,0,0.00,1,1,0,0,0,0,0,7.0,28,6,0,0,0,2,0,1,0,0,4,68
<a href=wins.aspx?date=2012-09-19&team=Padres&dh=0>2012-09-19</a>,SDP,@ARI,1,0,1,6.00,1,1,0,0,0,0,0,6.0,27,8,4,4,0,0,0,1,0,1,5,51
<a href=wins.aspx?date=2012-09-11&team=Padres&dh=0>2012-09-11</a>,SDP,STL,1,1,0,3.38,1,1,0,0,0,0,0,5.1,27,4,3,2,0,6,0,0,0,0,6,47
<a href=wins.aspx?date=2012-09-01&team=Padres&dh=0>2012-09-01</a>,SDP,@COL,1,0,1,9.64,1,1,0,0,0,0,0,4.2,25,9,5,5,1,3,1,0,0,0,5,26
<a href=wins.aspx?date=2012-08-26&team=Padres&dh=0>2012-08-26</a>,SDP,@ARI,1,1,0,2.57,1,1,0,0,0,0,0,7.0,27,4,2,2,0,2,0,1,0,0,7,69
<a href=wins.aspx?date=2012-08-20&team=Padres&dh=0>2012-08-20</a>,SDP,PIT,1,1,0,1.35,1,1,0,0,0,0,0,6.2,29,5,1,1,0,3,0,1,0,0,10,69
<a href=wins.aspx?date=2012-08-15&team=Padres&dh=0>2012-08-15</a>,SDP,@ATL,1,0,1,14.73,1,1,0,0,0,0,0,3.2,21,7,6,6,1,2,0,1,1,0,5,23
<a href=wins.aspx?date=2012-08-10&team=Padres&dh=0>2012-08-10</a>,SDP,@PIT,1,0,0,16.20,1,1,0,0,0,0,0,3.1,21,7,6,6,2,4,0,0,1,0,3,9
<a href=wins.aspx?date=2012-08-04&team=Padres&dh=0>2012-08-04</a>,SDP,NYM,1,0,1,21.60,1,1,0,0,0,0,0,1.2,11,2,4,4,0,4,0,0,0,0,3,27
<a href=wins.aspx?date=2012-07-30&team=Padres&dh=0>2012-07-30</a>,SDP,@CIN,1,1,0,9.00,1,1,0,0,0,0,0,5.0,24,6,5,5,2,3,0,0,1,0,5,28
<a href=wins.aspx?date=2012-07-24&team=Padres&dh=0>2012-07-24</a>,SDP,@SFG,1,0,0,2.57,1,1,0,0,0,0,0,7.0,27,3,2,2,0,3,0,0,0,0,8,70
<a href=wins.aspx?date=2012-07-19&team=Padres&dh=0>2012-07-19</a>,SDP,HOU,1,1,0,0.00,1,1,1,1,0,0,0,9.0,30,1,0,0,0,3,0,0,0,0,5,89
<a href=wins.aspx?date=2012-07-14&team=Padres&dh=0>2012-07-14</a>,SDP,@LAD,1,0,0,5.40,1,1,0,0,0,0,0,5.0,27,7,4,3,0,4,1,0,0,0,6,40
<a href=wins.aspx?date=2012-07-05&team=Padres&dh=0>2012-07-05</a>,SDP,CIN,1,0,0,1.29,1,1,0,0,0,0,0,7.0,27,5,1,1,0,3,1,0,0,0,10,71
<a href=wins.aspx?date=2012-06-30&team=Padres&dh=0>2012-06-30</a>,SDP,@COL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,25,3,2,1,1,6,0,1,0,0,8,52
<a href=wins.aspx?date=2012-06-24&team=Padres&dh=0>2012-06-24</a>,SDP,SEA,1,1,0,0.00,1,1,0,0,0,0,0,6.2,27,4,0,0,0,3,0,0,0,0,4,68
<a href=wins.aspx?date=2012-06-19&team=Padres&dh=0>2012-06-19</a>,SDP,TEX,1,0,1,10.80,1,1,0,0,0,0,0,5.0,23,5,6,6,0,4,0,0,0,0,6,38
<a href=wins.aspx?date=2012-06-14&team=Padres&dh=0>2012-06-14</a>,SDP,@SEA,1,1,0,1.35,1,1,0,0,0,0,0,6.2,29,4,1,1,0,4,0,1,0,0,6,65
<a href=wins.aspx?date=2012-06-08&team=Padres&dh=0>2012-06-08</a>,SDP,@MIL,1,0,1,10.80,1,1,0,0,0,0,0,5.0,24,6,6,6,3,4,0,0,3,0,4,16
<a href=wins.aspx?date=2012-06-02&team=Padres&dh=0>2012-06-02</a>,SDP,ARI,1,0,0,3.00,1,1,0,0,0,0,0,6.0,26,4,2,2,1,5,0,0,0,0,5,49
<a href=wins.aspx?date=2012-05-27&team=Padres&dh=0>2012-05-27</a>,SDP,@NYM,1,0,1,3.18,1,1,0,0,0,0,0,5.2,25,5,2,2,0,3,0,0,2,0,5,55
<a href=wins.aspx?date=2012-05-22&team=Padres&dh=0>2012-05-22</a>,SDP,@STL,1,0,1,4.50,1,1,0,0,0,0,0,6.0,27,5,3,3,0,4,1,1,0,0,1,48
<a href=wins.aspx?date=2012-05-17&team=Padres&dh=0>2012-05-17</a>,SDP,LAD,1,0,1,9.00,1,1,0,0,0,0,0,5.0,25,8,5,5,0,3,0,0,0,0,6,37
<a href=wins.aspx?date=2012-05-12&team=Padres&dh=0>2012-05-12</a>,SDP,@PHI,1,1,0,1.50,1,1,0,0,0,0,0,6.0,26,6,1,1,0,2,0,0,0,0,5,60
<a href=wins.aspx?date=2012-05-07&team=Padres&dh=0>2012-05-07</a>,SDP,COL,1,1,0,3.38,1,1,0,0,0,0,0,5.1,22,5,2,2,1,4,0,0,0,0,5,45
<a href=wins.aspx?date=2012-05-01&team=Padres&dh=0>2012-05-01</a>,SDP,MIL,1,0,0,0.00,1,1,0,0,0,0,0,7.0,26,3,0,0,0,2,0,0,0,0,4,74
<a href=wins.aspx?date=2012-04-26&team=Padres&dh=0>2012-04-26</a>,SDP,WSN,1,0,0,1.29,1,1,0,0,0,0,0,7.0,25,3,1,1,1,1,0,0,0,0,7,70
<a href=wins.aspx?date=2012-04-20&team=Padres&dh=0>2012-04-20</a>,SDP,PHI,1,0,1,4.50,1,1,0,0,0,0,0,6.0,25,5,3,3,0,3,0,0,0,0,5,54
<a href=wins.aspx?date=2012-04-15&team=Padres&dh=0>2012-04-15</a>,SDP,@LAD,1,0,0,7.20,1,1,0,0,0,0,0,5.0,26,6,4,4,1,5,1,0,0,0,2,30
<a href=wins.aspx?date=2012-04-10&team=Padres&dh=0>2012-04-10</a>,SDP,ARI,1,0,0,2.57,1,1,0,0,0,0,0,7.0,28,5,2,2,0,3,1,0,0,0,8,66
<a href=wins.aspx?date=2012-04-05&team=Padres&dh=0>2012-04-05</a>,SDP,LAD,1,0,1,3.60,1,1,0,0,0,0,0,5.0,22,3,3,2,0,4,0,0,1,0,7,52
<a href=wins.aspx?date=2011-09-28&team=Reds&dh=0>2011-09-28</a>,CIN,@NYM,1,0,1,3.86,1,1,0,0,0,0,0,7.0,28,6,3,3,1,1,0,0,0,0,5,56
<a href=wins.aspx?date=2011-09-23&team=Reds&dh=0>2011-09-23</a>,CIN,@PIT,1,0,0,5.40,1,1,0,0,0,0,0,5.0,22,6,3,3,1,2,0,0,0,0,5,42
<a href=wins.aspx?date=2011-09-17&team=Reds&dh=0>2011-09-17</a>,CIN,MIL,1,0,1,6.75,1,1,0,0,0,0,0,6.2,29,6,5,5,1,3,1,1,1,0,6,45
<a href=wins.aspx?date=2011-09-11&team=Reds&dh=0>2011-09-11</a>,CIN,@COL,1,0,1,3.60,1,1,0,0,0,0,0,5.0,23,4,2,2,1,4,0,0,0,0,3,43
<a href=wins.aspx?date=2011-07-05&team=Reds&dh=0>2011-07-05</a>,CIN,@STL,1,0,1,10.13,1,1,0,0,0,0,0,5.1,26,7,7,6,3,2,0,0,0,0,3,16
<a href=wins.aspx?date=2011-06-29&team=Reds&dh=0>2011-06-29</a>,CIN,@TBR,1,1,0,4.26,1,1,0,0,0,0,0,6.1,24,4,3,3,1,3,0,0,0,0,7,54
<a href=wins.aspx?date=2011-06-24&team=Reds&dh=0>2011-06-24</a>,CIN,@BAL,1,0,0,8.31,1,1,0,0,0,0,0,4.1,24,7,4,4,1,5,0,0,0,0,4,26
<a href=wins.aspx?date=2011-06-18&team=Reds&dh=0>2011-06-18</a>,CIN,TOR,1,0,1,7.20,1,1,0,0,0,0,0,5.0,25,7,4,4,1,2,1,0,0,1,8,40
<a href=wins.aspx?date=2011-06-12&team=Reds&dh=0>2011-06-12</a>,CIN,@SFG,1,0,0,3.00,1,1,0,0,0,0,0,6.0,25,5,2,2,0,3,0,0,0,0,5,57
<a href=wins.aspx?date=2011-06-07&team=Reds&dh=0>2011-06-07</a>,CIN,CHC,1,1,0,1.29,1,1,0,0,0,0,0,7.0,28,7,1,1,0,2,0,0,0,0,5,64
<a href=wins.aspx?date=2011-05-22&team=Reds&dh=0>2011-05-22</a>,CIN,@CLE,1,0,1,20.25,1,1,0,0,0,0,0,2.2,20,7,7,6,1,4,0,1,1,0,3,8
<a href=wins.aspx?date=2011-05-17&team=Reds&dh=0>2011-05-17</a>,CIN,CHC,1,0,0,4.50,1,1,0,0,0,0,0,6.0,24,3,3,3,1,1,0,1,0,0,9,60
<a href=wins.aspx?date=2011-05-11&team=Reds&dh=0>2011-05-11</a>,CIN,@HOU,1,0,0,6.75,1,1,0,0,0,0,0,4.0,20,3,3,3,0,5,0,0,0,0,3,40
<a href=wins.aspx?date=2011-05-06&team=Reds&dh=0>2011-05-06</a>,CIN,@CHC,1,1,0,5.40,1,1,0,0,0,0,0,5.0,25,6,4,3,0,4,0,0,2,0,3,39
<a href=wins.aspx?date=2011-04-30&team=Reds&dh=0>2011-04-30</a>,CIN,FLA,1,0,0,1.80,1,1,0,0,0,0,0,5.0,21,2,1,1,0,5,0,0,0,0,4,55
<a href=wins.aspx?date=2011-04-24&team=Reds&dh=0>2011-04-24</a>,CIN,@STL,1,0,1,4.76,1,1,0,0,0,0,0,5.2,26,6,3,3,1,3,1,0,0,0,7,46
<a href=wins.aspx?date=2011-04-17&team=Reds&dh=0>2011-04-17</a>,CIN,PIT,1,0,0,9.53,1,1,0,0,0,0,0,5.2,26,5,6,6,3,6,0,0,0,0,6,20
<a href=wins.aspx?date=2011-04-11&team=Reds&dh=0>2011-04-11</a>,CIN,@SDP,1,1,0,3.00,1,1,0,0,0,0,0,6.0,22,3,2,2,0,3,0,1,0,0,5,61
<a href=wins.aspx?date=2011-04-06&team=Reds&dh=0>2011-04-06</a>,CIN,HOU,1,1,0,7.20,1,1,0,0,0,0,0,5.0,24,5,4,4,0,5,0,0,0,1,8,44
<a href=wins.aspx?date=2011-03-31&team=Reds&dh=0>2011-03-31</a>,CIN,MIL,1,0,0,7.50,1,1,0,0,0,0,0,6.0,27,7,5,5,3,2,0,0,1,0,5,28
<a href=wins.aspx?date=2010-09-28&team=Reds&dh=0>2010-09-28</a>,CIN,HOU,1,0,0,3.00,1,1,0,0,0,0,0,6.0,25,7,2,2,0,1,0,0,1,0,8,60
<a href=wins.aspx?date=2010-09-21&team=Reds&dh=0>2010-09-21</a>,CIN,@MIL,1,1,0,1.13,1,1,0,0,0,0,0,8.0,27,3,1,1,0,4,0,0,0,0,6,75
<a href=wins.aspx?date=2010-09-16&team=Reds&dh=0>2010-09-16</a>,CIN,ARI,1,0,1,4.05,1,1,0,0,0,0,0,6.2,28,6,3,3,0,2,0,0,2,0,7,60
<a href=wins.aspx?date=2010-09-11&team=Reds&dh=0>2010-09-11</a>,CIN,PIT,1,0,0,0.00,1,1,0,0,0,0,0,7.0,23,1,0,0,0,1,0,0,0,0,10,86
<a href=wins.aspx?date=2010-08-23&team=Reds&dh=0>2010-08-23</a>,CIN,@SFG,1,0,1,67.50,1,1,0,0,0,0,0,0.2,10,5,5,5,0,3,0,0,1,0,1,12
<a href=wins.aspx?date=2010-08-18&team=Reds&dh=0>2010-08-18</a>,CIN,@ARI,1,0,0,9.64,1,1,0,0,0,0,0,4.2,22,6,5,5,1,3,0,0,0,0,5,32
<a href=wins.aspx?date=2010-08-13&team=Reds&dh=0>2010-08-13</a>,CIN,FLA,1,1,0,1.50,1,1,0,0,0,0,0,6.0,27,8,1,1,1,2,0,1,1,0,6,51
<a href=wins.aspx?date=2010-08-07&team=Reds&dh=0>2010-08-07</a>,CIN,@CHC,1,0,0,1.35,1,1,0,0,0,0,0,6.2,28,6,1,1,0,4,0,0,0,0,2,57
<a href=wins.aspx?date=2010-08-01&team=Reds&dh=0>2010-08-01</a>,CIN,ATL,1,1,0,1.80,1,1,0,0,0,0,0,5.0,24,3,1,1,1,5,0,1,0,0,6,49
<a href=wins.aspx?date=2010-07-27&team=Reds&dh=0>2010-07-27</a>,CIN,@MIL,1,0,0,9.82,1,1,0,0,0,0,0,3.2,22,6,4,4,2,4,0,1,0,0,3,19
<a href=wins.aspx?date=2010-07-22&team=Reds&dh=0>2010-07-22</a>,CIN,WSN,1,0,1,23.14,1,1,0,0,0,0,0,2.1,16,5,6,6,1,4,0,0,0,0,4,14
<a href=wins.aspx?date=2010-07-17&team=Reds&dh=0>2010-07-17</a>,CIN,COL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,23,3,1,1,0,2,0,0,0,0,9,70
<a href=wins.aspx?date=2009-06-01&team=Reds&dh=0>2009-06-01</a>,CIN,@STL,1,0,0,9.00,1,1,0,0,0,0,0,1.0,6,2,1,1,0,1,0,0,0,0,2,39
<a href=wins.aspx?date=2009-05-16&team=Reds&dh=0>2009-05-16</a>,CIN,@SDP,1,0,0,3.18,1,1,0,0,0,0,0,5.2,24,4,2,2,1,3,0,0,0,0,2,50
<a href=wins.aspx?date=2009-05-10&team=Reds&dh=0>2009-05-10</a>,CIN,STL,1,0,0,9.45,1,1,0,0,0,0,0,6.2,31,6,7,7,1,3,0,1,0,0,8,43
<a href=wins.aspx?date=2009-05-05&team=Reds&dh=0>2009-05-05</a>,CIN,@FLA,1,1,0,0.00,1,1,0,0,0,0,0,8.0,29,3,0,0,0,4,0,1,1,0,7,81
<a href=wins.aspx?date=2009-04-29&team=Reds&dh=0>2009-04-29</a>,CIN,HOU,1,1,0,0.00,1,1,0,0,0,0,0,8.0,27,1,0,0,0,1,0,1,0,0,6,90
<a href=wins.aspx?date=2009-04-24&team=Reds&dh=0>2009-04-24</a>,CIN,ATL,1,0,1,5.40,1,1,0,0,0,0,0,5.0,24,1,3,3,1,7,0,1,0,0,7,46
<a href=wins.aspx?date=2009-04-19&team=Reds&dh=0>2009-04-19</a>,CIN,@HOU,1,1,0,1.50,1,1,0,0,0,0,0,6.0,27,4,1,1,0,5,0,0,0,0,7,62
<a href=wins.aspx?date=2009-04-13&team=Reds&dh=0>2009-04-13</a>,CIN,@MIL,1,1,0,10.80,1,1,0,0,0,0,0,5.0,27,7,6,6,2,4,0,1,0,1,4,22
<a href=wins.aspx?date=2009-04-08&team=Reds&dh=0>2009-04-08</a>,CIN,NYM,1,0,1,8.31,1,1,0,0,0,0,0,4.1,23,6,5,4,1,4,0,0,1,0,4,29
<a href=wins.aspx?date=2008-09-23&team=Reds&dh=0>2008-09-23</a>,CIN,@HOU,1,1,0,1.23,1,1,0,0,0,0,0,7.1,28,6,1,1,1,1,1,1,0,0,9,70
<a href=wins.aspx?date=2008-09-18&team=Reds&dh=0>2008-09-18</a>,CIN,STL,1,0,1,5.14,1,1,0,0,0,0,0,7.0,29,3,4,4,1,6,0,0,0,0,5,51
<a href=wins.aspx?date=2008-09-13&team=Reds&dh=0>2008-09-13</a>,CIN,@ARI,1,0,0,3.00,1,1,0,0,0,0,0,6.0,27,5,2,2,0,6,0,1,1,0,8,56
<a href=wins.aspx?date=2008-09-08&team=Reds&dh=0>2008-09-08</a>,CIN,@MIL,1,0,0,6.35,1,1,0,0,0,0,0,5.2,25,5,4,4,2,3,0,0,0,0,10,44
<a href=wins.aspx?date=2008-09-03&team=Reds&dh=0>2008-09-03</a>,CIN,PIT,1,0,0,5.14,1,1,0,0,0,0,0,7.0,29,6,4,4,0,1,1,1,0,0,13,69
<a href=wins.aspx?date=2008-08-29&team=Reds&dh=0>2008-08-29</a>,CIN,SFG,1,1,0,10.13,1,1,0,0,0,0,0,5.1,26,8,6,6,0,3,0,0,0,0,6,38
<a href=wins.aspx?date=2008-08-23&team=Reds&dh=0>2008-08-23</a>,CIN,@COL,1,0,0,4.50,1,1,0,0,0,0,0,6.0,25,6,3,3,0,3,0,0,1,0,5,54
<a href=wins.aspx?date=2008-08-17&team=Reds&dh=0>2008-08-17</a>,CIN,STL,1,1,0,0.00,1,1,0,0,0,0,0,7.0,27,3,0,0,0,4,0,1,0,0,4,72
<a href=wins.aspx?date=2008-08-12&team=Reds&dh=0>2008-08-12</a>,CIN,@PIT,1,1,0,1.35,1,1,0,0,0,0,0,6.2,27,5,1,1,0,3,0,0,0,0,5,66
<a href=wins.aspx?date=2008-08-05&team=Reds&dh=0>2008-08-05</a>,CIN,MIL,1,0,1,9.00,1,1,0,0,0,0,0,5.0,24,9,5,5,0,1,1,0,0,0,2,37
<a href=wins.aspx?date=2008-07-30&team=Reds&dh=0>2008-07-30</a>,CIN,@HOU,1,1,0,1.42,1,1,0,0,0,0,0,6.1,27,6,5,1,2,1,0,0,0,0,5,42
<a href=wins.aspx?date=2008-07-25&team=Reds&dh=0>2008-07-25</a>,CIN,COL,1,0,1,11.25,1,1,0,0,0,0,0,4.0,22,7,5,5,2,2,0,1,0,0,5,24
<a href=wins.aspx?date=2008-07-20&team=Reds&dh=0>2008-07-20</a>,CIN,NYM,1,0,0,7.20,1,1,0,0,0,0,0,5.0,26,8,4,4,1,3,0,1,1,0,3,33
<a href=wins.aspx?date=2008-07-12&team=Reds&dh=0>2008-07-12</a>,CIN,@MIL,1,1,0,1.29,1,1,0,0,0,0,0,7.0,29,6,2,1,1,2,0,0,0,0,10,64
<a href=wins.aspx?date=2008-07-06&team=Reds&dh=0>2008-07-06</a>,CIN,WSN,1,1,0,4.50,1,1,0,0,0,0,0,6.0,26,5,3,3,0,3,0,1,0,0,3,54
<a href=wins.aspx?date=2008-07-01&team=Reds&dh=0>2008-07-01</a>,CIN,PIT,1,0,0,5.06,1,1,0,0,0,0,0,5.1,24,7,3,3,0,3,1,0,0,0,3,46
<a href=wins.aspx?date=2008-06-26&team=Reds&dh=0>2008-06-26</a>,CIN,@TOR,1,0,1,10.38,1,1,0,0,0,0,0,4.1,24,6,7,5,1,3,0,1,1,0,0,21
<a href=wins.aspx?date=2008-06-20&team=Reds&dh=0>2008-06-20</a>,CIN,@NYY,1,1,0,2.57,1,1,0,0,0,0,0,7.0,26,7,2,2,0,1,0,0,1,1,5,65
<a href=wins.aspx?date=2008-06-14&team=Reds&dh=0>2008-06-14</a>,CIN,BOS,1,0,0,2.57,1,1,0,0,0,0,0,7.0,29,7,3,2,0,1,0,0,2,0,9,66
<a href=wins.aspx?date=2008-06-09&team=Reds&dh=0>2008-06-09</a>,CIN,@FLA,1,1,0,4.50,1,1,0,0,0,0,0,6.0,27,3,3,3,0,5,0,0,0,0,5,56
<a href=wins.aspx?date=2008-06-04&team=Reds&dh=0>2008-06-04</a>,CIN,@PHI,1,1,0,0.00,1,1,0,0,0,0,0,7.0,28,2,0,0,0,2,0,2,1,0,8,82
<a href=wins.aspx?date=2008-05-30&team=Reds&dh=0>2008-05-30</a>,CIN,ATL,1,0,0,3.00,1,1,0,0,0,0,0,6.0,25,5,2,2,0,3,0,0,0,0,7,61
<a href=wins.aspx?date=2008-05-25&team=Reds&dh=0>2008-05-25</a>,CIN,@SDP,0,0,1,0.00,1,0,0,0,0,0,0,1.2,8,1,3,0,1,1,0,0,0,0,2,
<a href=wins.aspx?date=2008-05-23&team=Reds&dh=0>2008-05-23</a>,CIN,@SDP,1,0,0,1.50,1,1,0,0,0,0,0,6.0,23,2,1,1,0,2,0,1,0,0,12,77
<a href=wins.aspx?date=2008-05-18&team=Reds&dh=0>2008-05-18</a>,CIN,CLE,1,1,0,3.00,1,1,0,0,0,0,0,6.0,26,4,2,2,1,4,1,2,0,0,5,53
<a href=wins.aspx?date=2008-05-13&team=Reds&dh=0>2008-05-13</a>,CIN,FLA,1,1,0,1.50,1,1,0,0,0,0,0,6.0,27,7,1,1,0,2,0,0,0,0,5,60
<a href=wins.aspx?date=2008-05-07&team=Reds&dh=0>2008-05-07</a>,CIN,CHC,1,1,0,0.00,1,1,0,0,0,0,0,7.0,30,4,0,0,0,6,0,0,0,0,10,72
<a href=wins.aspx?date=2008-05-02&team=Reds&dh=0>2008-05-02</a>,CIN,@ATL,1,0,1,1.50,1,1,0,0,0,0,0,6.0,24,4,2,1,1,2,0,0,0,0,9,61
<a href=wins.aspx?date=2008-04-27&team=Reds&dh=0>2008-04-27</a>,CIN,@SFG,1,1,0,1.29,1,1,0,0,0,0,0,7.0,30,5,1,1,0,3,0,1,2,0,10,73
<a href=wins.aspx?date=2008-04-22&team=Reds&dh=0>2008-04-22</a>,CIN,LAD,1,1,0,1.29,1,1,0,0,0,0,0,7.0,26,3,1,1,0,4,0,0,0,0,7,72
<a href=wins.aspx?date=2008-04-17&team=Reds&dh=0>2008-04-17</a>,CIN,@CHC,1,1,0,1.80,1,1,0,0,0,0,0,5.0,22,4,1,1,0,4,0,0,0,0,7,58
<a href=wins.aspx?date=2008-04-11&team=Reds&dh=0>2008-04-11</a>,CIN,@PIT,1,0,0,0.00,1,1,0,0,0,0,0,5.0,19,3,0,0,0,3,0,0,0,0,1,59
<a href=wins.aspx?date=2008-04-06&team=Reds&dh=0>2008-04-06</a>,CIN,PHI,1,1,0,1.69,1,1,0,0,0,0,0,5.1,23,5,1,1,0,2,0,0,0,0,8,63
<a href=wins.aspx?date=2007-09-28&team=Rangers&dh=0>2007-09-28</a>,TEX,@SEA,1,0,0,5.06,1,1,0,0,0,0,0,5.1,25,6,3,3,0,3,0,0,0,0,3,49
<a href=wins.aspx?date=2007-09-22&team=Rangers&dh=0>2007-09-22</a>,TEX,BAL,1,0,0,7.94,1,1,0,0,0,0,0,5.2,26,7,5,5,1,2,0,0,0,0,5,41
<a href=wins.aspx?date=2007-09-17&team=Rangers&dh=0>2007-09-17</a>,TEX,@MIN,1,0,0,1.50,1,1,0,0,0,0,0,6.0,24,5,2,1,1,1,0,1,0,0,6,59
<a href=wins.aspx?date=2007-09-12&team=Rangers&dh=0>2007-09-12</a>,TEX,@DET,1,0,1,7.50,1,1,0,0,0,0,0,6.0,27,7,5,5,2,4,0,0,0,0,6,34
<a href=wins.aspx?date=2007-09-07&team=Rangers&dh=0>2007-09-07</a>,TEX,OAK,1,1,0,0.00,1,1,0,0,0,0,0,6.0,22,2,0,0,0,3,0,0,0,0,5,72
<a href=wins.aspx?date=2007-09-01&team=Rangers&dh=0>2007-09-01</a>,TEX,@LAA,1,1,0,5.40,1,1,0,0,0,0,0,5.0,25,7,3,3,0,2,0,1,0,0,4,48
<a href=wins.aspx?date=2006-09-25&team=Rangers&dh=0>2006-09-25</a>,TEX,@LAA,1,0,1,15.00,1,1,0,0,0,0,0,3.0,18,9,5,5,2,0,0,1,0,0,1,16
<a href=wins.aspx?date=2006-09-19&team=Rangers&dh=0>2006-09-19</a>,TEX,SEA,1,0,0,9.00,1,1,0,0,0,0,0,4.0,23,8,5,4,1,3,0,0,0,0,1,24
<a href=wins.aspx?date=2006-09-14&team=Rangers&dh=0>2006-09-14</a>,TEX,LAA,1,0,1,3.60,1,1,0,0,0,0,0,5.0,20,6,2,2,1,0,0,0,0,0,2,50
<a href=wins.aspx?date=2006-09-02&team=Rangers&dh=0>2006-09-02</a>,TEX,CLE,1,0,1,32.40,1,1,0,0,0,0,0,1.2,13,5,6,6,2,3,0,0,0,0,1,7
<a href=wins.aspx?date=2006-08-25&team=Rangers&dh=0>2006-08-25</a>,TEX,OAK,1,0,1,6.75,1,1,0,0,0,0,0,4.0,20,7,3,3,0,3,0,0,0,0,2,39
<a href=wins.aspx?date=2006-08-17&team=Rangers&dh=0>2006-08-17</a>,TEX,@DET,1,0,1,7.36,1,1,0,0,0,0,0,3.2,20,8,3,3,0,3,0,0,0,0,1,34
<a href=wins.aspx?date=2006-08-12&team=Rangers&dh=0>2006-08-12</a>,TEX,SEA,1,1,0,0.00,1,1,0,0,0,0,0,7.0,28,4,0,0,0,3,0,0,0,0,3,73
<a href=wins.aspx?date=2006-08-07&team=Rangers&dh=0>2006-08-07</a>,TEX,@OAK,1,0,1,7.20,1,1,0,0,0,0,0,5.0,22,5,4,4,1,2,0,0,0,0,4,44
