"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"SL","2017-06-09","81.8","-2.8997","5.2062","Brad Peacock",458913,502748,"field_out","hit_into_play",,,,,"13","Eric Young Jr.   lines out to left fielder Norichika Aoki.  ","R","L","R","HOU","LAA","X","7","line_drive",1,2,2017,"-0.9473","0.2007","-0.9452","1.8386","null","472528.00","455117.00",1,3,"Top","59.97","97.37",,,"null",,"170610_011840",,,,,,,"3.2464","1.3877","296","86.9","23.6175","null","null","5.7597",491011,"null","null","null","null","null","null","null","null","null","54.7389","0.142","0.162","0.00",1,0,0,3,491011,26,"5"
"SL","2017-06-09","82.0","-1.6365","5.1837","Brad Peacock",455117,502748,"single","hit_into_play_no_out",,,,,"6","Martin Maldonado singles on a ground ball to left fielder Norichika Aoki.   Luis Valbuena to 2nd.  ","R","R","R","HOU","LAA","X","null","ground_ball",2,2,2017,"-0.4343","0.6753","0.6199","2.2603","null","null","472528.00",1,3,"Top","78.50","116.86",,,"null",,"170610_011520",,,,,,,"3.2263","1.2770","41","91.4","-0.1632","null","null","5.6764",491011,"null","null","null","null","null","null","null","null","null","54.8222","0.370","0.347","0.90",1,1,0,2,491011,25,"5"
"SL","2017-06-09","80.4","-1.8915","5.1671","Brad Peacock",592743,502748,"field_out","hit_into_play",,,,,"9","Andrelton Simmons lines out to left fielder Norichika Aoki.  ","R","R","R","HOU","LAA","X","7","line_drive",2,1,2017,"-0.9406","0.5786","0.2891","2.0369","null","null","472528.00",0,3,"Top","79.41","76.86",,,"null",,"170610_011245",,,,,,,"3.3671","1.4380","311","88.0","17.5362","null","null","5.7299",491011,"null","null","null","null","null","null","null","null","null","54.7687","0.579","0.573","0.00",1,0,0,4,491011,24,"4"
"CH","2017-06-09","81.1","-3.0527","5.1392","Brad Peacock",472528,502748,"single","hit_into_play_score",,,,,"13","Luis Valbuena singles on a line drive to center fielder Jake Marisnick.   Yunel Escobar scores.  ","R","L","R","HOU","LAA","X","null","line_drive",1,2,2017,"1.7116","0.0577","-1.2988","2.1450","null","488862.00","null",0,3,"Top","149.23","80.97",,,"null",,"170610_011042",,,,,,,"3.1358","1.3877","248","98.5","11.5878","null","2094","6.0786",491011,"null","null","null","null","null","null","null","null","null","54.4200","0.824","0.816","0.90",1,1,0,4,491011,23,"5"
"SL","2017-06-09","80.8","-1.9693","5.0810","Brad Peacock",488862,502748,"double","hit_into_play_no_out",,,,,"5","Yunel Escobar doubles (10) on a ground ball to left fielder Norichika Aoki.  ","R","R","R","HOU","LAA","X","null","ground_ball",1,0,2017,"-0.4297","0.3104","-0.2680","2.3365","null","null","null",0,3,"Top","71.02","138.06",,,"null",,"170610_010730",,,,,,,"3.1257","1.3173","null","90.0","-13.0000","null","2655","5.8077",491011,"null","null","null","null","null","null","null","null","null","54.6909","0.155","0.144","1.25",1,1,1,2,491011,22,"2"
"SL","2017-06-09","82.3","-1.7868","5.1403","Brad Peacock",405395,502748,"grounded_into_double_play","hit_into_play",,,,,"6","Albert Pujols grounds into a double play, shortstop Carlos Correa to second baseman Jose Altuve to first baseman Marwin Gonzalez.   Kole Calhoun out at 2nd.  ","R","R","R","HOU","LAA","X","6","ground_ball",0,0,2017,"-0.7219","0.2434","0.3709","2.0469","null","null","594777.00",1,2,"Top","102.45","154.03",,,"null",,"170610_004958",,,,,,,"3.1659","1.3776","55","78.9","3.0933","null","2503","5.8607",491011,"null","null","null","null","null","null","null","null","null","54.6379","0.279","0.263","0.00",1,0,0,2,491011,15,"1"
"FT","2017-06-09","92.5","-2.9233","4.9880","Brad Peacock",594777,502748,"single","hit_into_play_score",,,,,"8","Kole Calhoun singles on a sharp line drive to right fielder Josh Reddick.   Danny Espinosa scores.    Cameron Maybin scores.  ","R","L","R","HOU","LAA","X","null","line_drive",2,0,2017,"1.6828","0.4175","-0.2515","1.3535","457787.00","457727.00","null",1,2,"Top","185.62","119.29",,,"null",,"170610_004906",,,,,,,"2.9346","1.2670","164","100.9","9.0094","null","2392","6.2879",491011,"null","null","null","null","null","null","null","null","null","54.2107","0.787","0.756","0.90",1,1,0,4,491011,14,"3"
"FF","2017-06-09","92.3","-1.7337","5.1742","Brad Peacock",457727,502748,"double","hit_into_play_no_out",,,,,"7","Cameron Maybin hits a ground-rule double (10) on a line drive to right field.   Danny Espinosa to 3rd.  ","R","R","R","HOU","LAA","X","null","line_drive",1,1,2017,"1.0974","1.2101","-0.5490","1.9749","null","null","457787.00",1,2,"Top","189.77","86.19",,,"null",,"170610_004717",,,,,,,"3.5884","1.4883","342","101.4","18.8122","null","2406","6.2812",491011,"null","null","null","null","null","null","null","null","null","54.2174","0.536","0.699","1.25",1,1,1,5,491011,13,"3"
"FF","2017-06-09","92.7","-2.9880","5.0183","Brad Peacock",458913,502748,"single","hit_into_play_no_out",,,,,"5","Eric Young Jr.   singles on a sharp ground ball to right fielder Josh Reddick.  ","R","L","R","HOU","LAA","X","null","ground_ball",2,1,2017,"0.9840","0.9633","-0.0274","2.2322","null","null","null",0,2,"Top","172.28","108.98",,,"null",,"170610_003700",,,,,,,"3.2464","1.3877","129","105.2","6.0534","null","2324","6.2015",491011,"null","null","null","null","null","null","null","null","null","54.2971","0.660","0.627","0.90",1,1,0,4,491011,11,"4"
"SL","2017-06-09","81.3","-1.8085","5.0873","Brad Peacock",455117,502748,"field_out","hit_into_play",,,,,"6","Martin Maldonado flies out to right fielder Josh Reddick.  ","R","R","R","HOU","LAA","X","9","fly_ball",1,2,2017,"-1.1681","0.2355","0.7453","2.1300","488862.00","472528.00","592743.00",2,1,"Top","164.21","122.13",,,"null",,"170610_002625",,,,,,,"3.2263","1.2770","208","74.3","53.2897","null","2761","5.8540",491011,"null","null","null","null","null","null","null","null","null","54.6446","0.080","0.086","0.00",1,0,0,3,491011,7,"4"
