Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
Andrew Miller,Indians,3,0,0.34,23,0,0,0,0,13,0,26.1,100,13,2,1,0,5,0,2,1,0,37,6785
Felipe Rivero,Pirates,2,1,0.65,28,0,0,0,0,12,0,27.2,108,17,6,2,2,6,0,2,0,0,29,12076
Raisel Iglesias,Reds,1,0,0.68,21,0,0,0,9,0,0,26.1,102,14,3,2,1,12,0,0,0,0,30,17130
Craig Kimbrel,Red Sox,2,0,0.75,23,0,0,0,15,1,1,24.0,83,6,2,2,1,3,0,1,3,0,45,6655
Josh Fields,Dodgers,2,0,0.84,21,0,0,0,1,3,0,21.1,80,14,2,2,1,4,0,0,1,0,26,5070
Carl Edwards Jr.,Cubs,1,0,0.90,22,0,0,0,0,6,0,20.0,73,6,2,2,2,8,0,0,1,0,27,13607
Corey Knebel,Brewers,0,0,1.08,26,0,0,0,3,11,2,25.0,98,13,3,3,1,12,1,1,0,0,44,15010
Pedro Baez,Dodgers,0,0,1.19,22,0,0,0,0,6,1,22.2,90,11,3,3,2,12,1,0,0,0,22,5420
Tommy Kahnle,White Sox,0,1,1.29,22,0,0,0,0,5,1,21.0,76,10,3,3,2,5,0,0,0,0,39,11384
Matt Albers,Nationals,2,0,1.29,20,0,0,0,2,4,1,21.0,82,13,4,3,2,4,0,2,0,0,21,4300
Kenley Jansen,Dodgers,2,0,1.35,20,0,0,0,8,1,0,20.0,73,13,4,3,1,0,0,0,1,0,35,3096
Archie Bradley,Diamondbacks,1,1,1.50,17,0,0,0,0,7,0,24.0,90,15,4,4,3,5,0,1,0,1,29,12918
Juan Nicasio,Pirates,1,2,1.50,25,0,0,0,0,7,2,24.0,97,19,4,4,0,7,1,1,1,0,23,7731
Joe Kelly,Red Sox,2,0,1.54,20,0,0,0,0,3,1,23.1,92,15,4,4,0,10,0,0,2,0,17,9761
Tyler Clippard,Yankees,0,2,1.64,24,0,0,0,1,6,2,22.0,89,12,5,4,2,9,0,1,2,0,29,5640
Jake McGee,Rockies,0,0,1.74,21,0,0,0,1,3,1,20.2,82,14,4,4,1,5,0,0,1,0,29,7550
Cory Gearrin,Giants,1,1,1.74,21,0,0,0,0,1,0,20.2,95,18,5,4,0,14,1,5,2,0,15,7947
Brad Hand,Padres,1,3,1.76,26,0,0,0,2,6,1,30.2,123,17,7,6,2,11,0,4,2,0,39,9111
Ryan Madson,Athletics,1,3,1.77,22,0,0,0,1,7,2,20.1,78,16,4,4,1,4,1,0,0,0,20,1852
Shane Greene,Tigers,1,0,1.82,26,0,0,0,0,8,1,24.2,105,18,5,5,1,11,1,3,1,0,28,10756
Alex Wilson,Tigers,1,2,1.88,25,0,0,0,2,10,1,24.0,96,16,8,5,2,6,2,1,2,0,14,9239
James Pazos,Mariners,1,1,1.93,22,0,0,0,0,4,2,23.1,97,17,7,5,1,8,0,2,2,0,28,13323
Jose Ramirez,Braves,2,1,1.99,23,0,0,0,0,9,3,22.2,81,12,6,5,1,6,1,0,0,0,19,10171
Alex Colome,Rays,1,2,2.05,25,0,0,0,15,1,2,26.1,103,17,8,6,1,9,2,0,0,0,23,6661
Zach McAllister,Indians,0,0,2.14,15,0,0,0,0,0,0,21.0,82,13,5,5,2,10,0,0,3,0,30,2895
Alex Claudio,Rangers,1,0,2.18,22,0,0,0,1,4,1,20.2,80,17,5,5,2,6,0,1,0,1,11,12890
Yusmeiro Petit,Angels,1,0,2.20,19,0,0,0,0,4,1,32.2,130,23,11,8,3,10,2,1,0,0,38,4020
Paul Sewald,Mets,0,0,2.21,14,0,0,0,0,2,0,20.1,82,20,5,5,0,4,0,0,1,1,24,13892
Mike Minor,Royals,2,1,2.22,22,0,0,0,0,5,0,28.1,107,19,7,7,1,7,0,1,1,0,30,10021
Chris Rusin,Rockies,2,0,2.25,18,0,0,0,1,4,0,28.0,108,19,8,7,2,5,0,1,0,0,24,9895
Nick Vincent,Mariners,2,1,2.28,24,0,0,0,0,4,0,23.2,91,19,6,6,1,4,1,0,0,0,17,7555
Michael Feliz,Astros,2,0,2.31,21,0,0,0,0,1,1,23.1,94,15,6,6,3,9,0,0,2,0,31,11903
Josh Edgin,Mets,0,1,2.31,26,0,0,0,1,3,0,23.1,94,18,6,6,1,7,1,4,0,0,14,10796
Arodys Vizcaino,Braves,2,2,2.42,24,0,0,0,0,11,1,22.1,89,14,7,6,4,7,0,2,3,0,26,5498
Mike Montgomery,Cubs,0,3,2.43,17,0,0,0,1,0,0,33.1,136,23,10,9,1,20,2,2,2,0,23,4869
Drew Storen,Reds,1,1,2.45,22,0,0,0,1,3,2,22.0,98,19,8,6,1,9,3,6,1,0,19,6983
Will Harris,Astros,1,1,2.49,21,0,0,0,2,10,1,21.2,85,18,6,6,2,3,0,0,1,0,22,3192
Danny Barnes,Blue Jays,1,2,2.53,16,0,0,0,0,1,1,21.1,85,16,6,6,3,6,0,0,0,0,26,11388
Wade LeBlanc,Pirates,3,0,2.56,20,0,0,0,1,2,2,31.2,126,26,9,9,2,6,0,0,1,0,27,5221
Adam Ottavino,Rockies,0,0,2.57,23,0,0,0,0,15,1,21.0,91,15,6,6,1,15,1,1,3,0,24,1247
Blake Parker,Angels,1,2,2.59,26,0,0,0,0,6,1,24.1,98,18,8,7,0,7,0,0,3,0,38,5224
Anthony Swarzak,White Sox,2,1,2.59,20,0,0,0,0,4,1,24.1,89,14,7,7,1,6,1,0,1,0,26,7466
Cody Allen,Indians,0,2,2.61,21,0,0,0,14,0,1,20.2,91,22,6,6,2,8,0,1,0,0,32,12183
Ross Stripling,Dodgers,0,3,2.67,17,0,0,0,1,2,1,30.1,121,29,9,9,1,6,2,0,2,0,34,13273
Bryan Shaw,Indians,1,1,2.70,23,0,0,0,1,9,1,23.1,96,20,11,7,1,11,1,0,1,0,21,8110
Adam Warren,Yankees,1,1,2.70,19,0,0,0,1,4,3,26.2,104,14,11,8,1,8,1,1,3,0,24,9029
Jacob Barnes,Brewers,1,0,2.77,27,0,0,0,2,6,1,26.0,105,18,9,8,1,11,0,0,1,0,26,12323
Brandon Kintzler,Twins,2,0,2.78,22,0,0,0,13,0,2,22.2,92,22,7,7,2,7,1,1,1,0,16,9939
Bud Norris,Angels,1,2,2.84,25,0,0,0,10,3,2,25.1,102,16,8,8,2,10,0,2,1,0,33,9492
Justin Wilson,Tigers,1,1,2.86,23,0,0,0,5,8,1,22.0,86,13,7,7,3,6,0,0,2,0,35,4301
Seung Hwan Oh,Cardinals,1,2,2.88,22,0,0,0,12,0,2,25.0,112,25,11,8,3,10,5,2,1,0,24,18719
Chris Devenski,Astros,3,3,2.90,18,0,0,0,2,6,1,31.0,120,19,10,10,3,8,2,1,0,0,47,12763
Hector Neris,Phillies,2,2,2.96,24,0,0,0,4,3,1,24.1,98,19,8,8,4,8,1,2,0,1,27,11804
Mychal Givens,Orioles,5,0,2.96,24,0,0,0,0,9,3,27.1,116,22,9,9,4,10,1,3,1,0,26,10430
Ryan Tepera,Blue Jays,3,1,2.97,23,0,0,0,1,3,1,30.1,118,18,10,10,1,12,2,4,1,0,31,10291
Ryan Buchter,Padres,3,2,3.00,22,0,0,0,1,8,2,21.0,89,13,9,7,4,13,0,0,0,1,23,9456
Nick Wittgren,Marlins,0,0,3.00,16,0,0,0,0,2,0,21.0,83,18,7,7,2,4,0,0,0,0,21,15594
Brian Duensing,Cubs,0,0,3.04,19,0,0,0,0,2,0,23.2,99,23,8,8,3,6,0,1,1,0,29,4064
Roberto Osuna,Blue Jays,2,0,3.05,22,0,0,0,11,0,3,20.2,80,17,7,7,2,2,0,0,0,0,25,13764
Erasmo Ramirez,Rays,1,0,3.05,12,0,0,0,1,6,0,20.2,76,14,7,7,2,4,0,0,0,0,15,10314
Derek Law,Giants,3,0,3.09,25,0,0,0,4,4,1,23.1,102,25,8,8,2,9,0,1,2,0,21,13133
Ken Giles,Astros,1,1,3.10,22,0,0,0,14,1,1,20.1,81,13,7,7,0,7,0,1,2,0,25,12910
Chase Whitley,Rays,1,1,3.13,16,0,0,0,1,5,0,23.0,90,14,8,8,0,9,2,0,0,0,16,10982
Keone Kela,Rangers,2,1,3.15,19,0,0,0,1,5,1,20.0,78,8,7,7,2,10,1,1,1,0,26,14696
David Phelps,Marlins,2,2,3.16,23,0,0,0,0,4,3,25.2,105,23,11,9,3,8,2,0,0,0,27,6316
Joe Smith,Blue Jays,1,0,3.16,28,0,0,0,0,9,0,25.2,103,22,9,9,2,7,1,1,0,0,39,3281
Michael Lorenzen,Reds,3,1,3.18,22,0,0,0,1,4,1,28.1,121,24,10,10,2,11,1,3,7,1,26,14843
Joakim Soria,Royals,2,2,3.18,23,0,0,0,0,8,4,22.2,99,22,9,8,0,11,1,0,3,0,28,6941
Wandy Peralta,Reds,2,1,3.18,23,0,0,0,0,3,0,22.2,87,12,8,8,3,8,0,0,2,0,27,14295
Carlos Torres,Brewers,2,3,3.21,27,0,0,0,1,9,2,28.0,123,31,11,10,3,11,0,1,3,0,22,7624
Edubray Ramos,Phillies,0,3,3.22,23,0,0,0,0,1,2,22.1,101,22,9,8,3,13,2,0,4,0,27,16086
Addison Reed,Mets,0,2,3.25,28,0,0,0,7,4,2,27.2,113,28,10,10,5,3,0,0,1,0,32,10586
Jonathan Holder,Yankees,1,0,3.27,23,0,0,0,0,3,1,22.0,94,24,8,8,2,3,0,1,0,0,24,16588
Jim Johnson,Braves,2,1,3.32,22,0,0,0,11,0,3,21.2,86,17,8,8,1,4,0,1,0,0,24,3656
Brad Brach,Orioles,0,1,3.38,24,0,0,0,10,6,3,24.0,92,15,9,9,3,9,1,0,1,0,26,6627
Liam Hendriks,Athletics,1,0,3.38,20,0,0,0,0,4,1,21.1,89,18,9,8,1,5,0,0,3,0,25,3548
Tony Watson,Pirates,4,1,3.47,21,0,0,0,10,0,3,23.1,109,28,10,9,4,8,2,3,0,0,18,3132
Michael Ynoa,White Sox,1,0,3.48,15,0,0,0,0,0,0,20.2,92,16,11,8,3,11,0,3,1,0,19,14093
Tyler Duffey,Twins,0,1,3.51,18,0,0,0,0,3,0,25.2,108,23,11,10,2,6,2,1,1,0,27,13758
Chris Hatcher,Dodgers,0,1,3.54,19,0,0,0,0,1,0,28.0,117,30,12,11,5,5,0,0,0,0,32,3299
Danny Farquhar,Rays,2,2,3.60,28,0,0,0,0,8,1,25.0,105,16,10,10,2,16,3,2,2,0,25,8501
Kyle Barraclough,Marlins,1,0,3.63,22,0,0,0,0,6,0,22.1,107,19,12,9,2,19,3,0,3,1,23,13713
Kelvin Herrera,Royals,1,1,3.68,22,0,0,0,12,0,2,22.0,91,22,9,9,5,4,0,0,1,0,24,6033
Joaquin Benoit,Phillies,1,2,3.68,23,0,0,0,1,8,2,22.0,87,11,9,9,2,12,1,0,0,0,19,1437
Jose Torres,Padres,3,2,3.71,25,0,0,0,1,2,1,26.2,107,20,12,11,3,6,0,3,0,2,28,14957
George Kontos,Giants,0,2,3.75,24,0,0,0,0,2,3,24.0,104,21,10,10,3,10,2,0,1,0,21,9486
Heath Hembree,Red Sox,0,2,3.76,26,0,0,0,0,11,0,26.1,116,31,15,11,3,5,0,1,0,0,27,11632
Darren O'Day,Orioles,1,1,3.80,22,0,0,0,2,8,1,21.1,88,16,10,9,1,10,1,0,0,1,25,3321
Edwin Diaz,Mariners,1,2,3.80,21,0,0,0,9,1,2,21.1,93,14,9,9,4,12,1,1,3,0,27,14710
Matt Barnes,Red Sox,3,2,3.80,24,0,0,0,0,7,1,23.2,97,18,10,10,3,10,0,0,1,0,26,12863
Dustin McGowan,Marlins,2,0,3.86,17,0,0,0,0,0,0,25.2,113,22,11,11,3,11,3,2,0,0,24,8600
Blake Wood,Reds,0,3,4.01,23,0,0,0,0,2,1,24.2,109,25,14,11,1,13,1,0,1,1,23,1345
Dominic Leone,Blue Jays,1,0,4.01,21,0,0,0,0,0,1,24.2,103,20,13,11,3,10,2,0,5,0,25,13763
Randall Delgado,Diamondbacks,1,0,4.05,15,0,0,0,1,1,0,26.2,113,26,13,12,4,5,0,0,1,0,24,5985
Jared Hughes,Brewers,1,1,4.05,21,0,0,0,1,1,1,20.0,87,22,10,9,1,10,2,2,3,0,12,9325
Jose Alvarez,Angels,0,1,4.43,28,0,0,0,1,10,1,20.1,78,15,10,10,5,4,2,0,0,0,17,5358
Jhan Marinez,- - -,0,3,4.56,20,0,0,0,0,3,0,25.2,123,34,15,13,3,15,3,1,2,0,23,5830
Tom Wilhelmsen,Diamondbacks,1,1,4.70,24,0,0,0,0,3,0,23.0,97,20,12,12,3,11,0,1,7,0,15,9975
Frankie Montas,Athletics,1,0,4.73,18,0,0,0,0,1,0,26.2,118,28,14,14,5,13,0,2,1,0,29,14309
Craig Stammen,Padres,0,1,5.02,17,0,0,0,0,0,1,28.2,128,30,17,16,7,9,0,1,0,0,29,7274
Scott Oberg,Rockies,0,1,5.06,25,0,0,0,0,4,0,21.1,96,22,14,12,1,12,2,1,3,0,21,13911
Neftali Feliz,Brewers,1,4,5.09,24,0,0,0,8,0,1,23.0,92,17,15,13,5,10,1,0,0,0,17,18
Enny Romero,Nationals,2,2,5.32,22,0,0,0,1,4,2,22.0,100,26,15,13,4,7,0,2,0,1,23,4001
Matt Bowman,Cardinals,1,1,5.32,25,0,0,0,0,9,1,22.0,93,19,15,13,2,6,0,1,1,0,19,13528
Oliver Drake,- - -,2,1,5.56,25,0,0,0,0,3,1,22.2,104,26,16,14,2,14,1,0,2,0,27,8823
Luke Gregerson,Astros,2,1,5.66,23,0,0,0,0,9,2,20.2,93,24,13,13,5,8,1,0,4,0,23,4090
Fernando Salas,Mets,0,1,5.70,27,0,0,0,0,9,1,23.2,111,26,18,15,3,14,4,0,2,0,20,4971
Brandon Maurer,Padres,0,3,5.73,23,0,0,0,8,2,2,22.0,90,22,14,14,2,4,1,0,1,0,24,4878
Jeremy Jeffress,Rangers,1,2,5.73,25,0,0,0,0,3,0,22.0,103,30,15,14,2,13,2,0,3,0,12,9490
Joely Rodriguez,Phillies,1,2,5.96,23,0,0,0,0,3,2,25.2,121,33,21,17,4,12,3,3,0,1,15,11487
Daniel Hudson,Pirates,0,2,6.04,25,0,0,0,0,8,0,22.1,100,27,16,15,3,9,0,1,1,0,22,7146
Tony Barnette,Rangers,1,1,6.10,20,0,0,0,0,2,3,20.2,91,26,15,14,2,5,2,0,2,0,21,3555
Hansel Robles,Mets,4,1,6.23,21,0,0,0,0,5,1,21.2,99,21,15,15,5,13,1,3,0,0,23,11801
Ian Krol,Braves,1,1,6.30,20,0,0,0,0,1,0,20.0,87,15,15,14,4,14,0,1,0,0,17,10066
Brad Ziegler,Marlins,1,2,6.65,25,0,0,0,0,5,1,21.2,100,27,17,16,0,11,4,4,1,0,13,7293
Blake Treinen,Nationals,0,1,6.85,23,0,0,0,3,4,1,22.1,108,33,17,17,2,11,1,1,0,0,20,12572
Josh Smoker,Mets,1,2,6.86,18,0,0,0,0,1,0,21.0,100,23,17,16,5,11,2,2,0,0,26,10285
Jordan Lyles,Rockies,0,1,6.93,17,0,0,0,0,0,0,24.2,109,32,20,19,5,5,0,2,1,0,18,7593
Miguel Diaz,Padres,1,1,7.15,19,0,0,0,0,0,0,22.2,100,21,18,18,5,12,0,2,5,1,16,18815
Robert Stephenson,Reds,0,2,8.03,13,0,0,0,1,0,0,24.2,121,33,24,22,7,16,1,0,1,2,27,13594
Anibal Sanchez,Tigers,0,0,9.00,11,0,0,0,0,0,0,21.0,106,34,26,21,9,9,0,0,3,0,22,3284
