"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"FF","2017-06-11","93.6","2.6592","5.8835","Robbie Ray",519299,592662,"strikeout","called_strike",,,,,"6","Eric Sogard called out on strikes.  ","R","L","L","ARI","MIL","S","null","null",1,2,2017,"-0.9549","1.2635","0.3648","2.1418","null","null","null",1,7,"Top","null","null",,,543302,,"170611_221252",,,,,,,"3.2850","1.4870","null","null","null","93.4320","2262","6.2990",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.2003","0.000","0.000","0.00",1,0,0,"null",491044,47,"4"
"FF","2017-06-11","95.1","2.6167","6.1137","Robbie Ray",519299,592662,"null","ball",,,,,"11","null","R","L","L","ARI","MIL","B","null","null",0,2,2017,"-0.7195","1.4941","-0.2494","4.0093","null","null","null",1,7,"Top","null","null",,,543302,,"170611_221233",,,,,,,"3.4900","1.6010","null","null","null","94.8020","2323","6.2840",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.2151","0.000","0.000","null","null","null","null","null",491044,47,"3"
"SL","2017-06-11","81.8","2.4005","6.3096","Robbie Ray",519299,592662,"null","swinging_strike",,,,,"13","null","R","L","L","ARI","MIL","S","null","null",0,1,2017,"-0.3442","0.1696","-0.0441","1.0178","null","null","null",1,7,"Top","null","null",,,543302,,"170611_221218",,,,,,,"3.4900","1.6010","null","null","null","80.8320","2056","5.7230",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.7769","0.000","0.000","null","null","null","null","null",491044,47,"2"
"CU","2017-06-11","78.5","2.9692","5.9210","Robbie Ray",519299,592662,"null","called_strike",,,,,"8","null","R","L","L","ARI","MIL","S","null","null",0,0,2017,"0.1347","-0.4792","-0.2245","2.0096","null","null","null",1,7,"Top","null","null",,,543302,,"170611_221207",,,,,,,"3.4900","1.6010","null","null","null","77.0540","1955","5.2810",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"55.2183","0.000","0.000","null","null","null","null","null",491044,47,"1"
"CU","2017-06-11","79.6","3.1037","6.0260","Robbie Ray",542979,592662,"strikeout","swinging_strike",,,,,"8","Keon Broxton strikes out swinging.  ","R","R","L","ARI","MIL","S","null","null",2,2,2017,"-0.0184","-0.2416","-0.2649","1.9915","null","null","null",0,7,"Top","null","null",,,543302,,"170611_221142",,,,,,,"3.4900","1.6010","null","null","null","77.8340","1957","5.3450",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"55.1543","0.000","0.000","0.00",1,0,0,"null",491044,46,"6"
"FF","2017-06-11","93.1","2.7453","5.9965","Robbie Ray",542979,592662,"null","foul",,,,,"11","null","R","R","L","ARI","MIL","S","null","null",2,2,2017,"-0.8902","1.4904","-0.2460","3.7056","null","null","null",0,7,"Top","null","null",,,543302,,"170611_221106",,,,,,,"3.4900","1.6010","null","null","null","92.8840","2298","6.0700",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.4296","0.000","0.000","null","null","null","null","null",491044,46,"5"
"CU","2017-06-11","77.5","2.9502","5.9953","Robbie Ray",542979,592662,"null","ball",,,,,"14","null","R","R","L","ARI","MIL","B","null","null",1,2,2017,"0.1353","-0.7337","0.0764","1.4253","null","null","null",0,7,"Top","null","null",,,543302,,"170611_221051",,,,,,,"3.4900","1.6010","null","null","null","76.4420","2179","5.3240",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"55.1752","0.000","0.000","null","null","null","null","null",491044,46,"4"
"FF","2017-06-11","91.2","2.8172","6.0353","Robbie Ray",542979,592662,"null","swinging_strike",,,,,"1","null","R","R","L","ARI","MIL","S","null","null",1,1,2017,"-0.6816","1.3964","-0.2780","3.5040","null","null","null",0,7,"Top","null","null",,,543302,,"170611_221033",,,,,,,"3.4900","1.6010","null","null","null","90.8590","2255","5.9510",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.5487","0.000","0.000","null","null","null","null","null",491044,46,"3"
"SL","2017-06-11","78.7","2.6219","6.5671","Robbie Ray",542979,592662,"null","ball",,,,,"13","null","R","R","L","ARI","MIL","B","null","null",0,1,2017,"0.0218","0.4079","-1.4864","1.9298","null","null","null",0,7,"Top","null","null",,,543302,,"170611_221018",,,,,,,"3.4900","1.6010","null","null","null","76.5970","2230","4.9870",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"55.5122","0.000","0.000","null","null","null","null","null",491044,46,"2"
"CU","2017-06-11","74.5","2.8334","6.0383","Robbie Ray",542979,592662,"null","swinging_strike",,,,,"5","null","R","R","L","ARI","MIL","S","null","null",0,0,2017,"0.3532","-0.7197","0.1805","2.2315","null","null","null",0,7,"Top","null","null",,,543302,,"170611_221004",,,,,,,"3.4900","1.6010","null","null","null","73.2560","2090","5.1410",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"55.3581","0.000","0.000","null","null","null","null","null",491044,46,"1"
"FF","2017-06-11","95.6","2.4489","5.9553","Robbie Ray",542908,592662,"field_out","hit_into_play",,,,,"11","Jett Bandy pops out to shortstop Nick Ahmed.  ","R","R","L","ARI","MIL","X","6","popup",0,2,2017,"-0.6977","1.3776","-1.0222","2.9015","null","null","null",2,6,"Top","119.57","132.82",,,543302,,"170611_215326",,,,,,,"3.4110","1.5650","null","57.1","32.2590","95.5230","2380","6.2970",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.2084","0.275","0.258","0.00",1,0,0,1,491044,41,"3"
"FF","2017-06-11","95.3","2.6402","5.8894","Robbie Ray",542908,592662,"null","called_strike",,,,,"2","null","R","R","L","ARI","MIL","S","null","null",0,1,2017,"-0.7478","1.3412","-0.0436","3.1830","null","null","null",2,6,"Top","null","null",,,543302,,"170611_215246",,,,,,,"3.4110","1.5650","null","null","null","95.1210","2376","6.2580",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.2411","0.000","0.000","null","null","null","null","null",491044,41,"2"
