"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"FT","2017-06-09","94.3","-2.7436","5.9464","Tanner Roark",462101,543699,"null","called_strike",,,,,"5","null","R","R","R","WSH","TEX","S","null","null",0,1,2017,"0.9382","1.3073","0.2684","2.1278","608336.00","592261.00","425783.00",1,6,"Top","null","null",,,446308,,"170610_004342",,,,,,,"3.3681","1.5078","null","null","null","94.1400","2173","6.2390",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.2583","0.000","0.000","null","null","null","null","null",491018,49,"2"
"FT","2017-06-09","93.5","-2.6870","6.0332","Tanner Roark",462101,543699,"null","foul",,,,,"11","null","R","R","R","WSH","TEX","S","null","null",0,0,2017,"0.8637","1.3727","-0.8549","2.9044","608336.00","592261.00","425783.00",1,6,"Top","null","null",,,446308,,"170610_004317",,,,,,,"3.0568","1.2286","null","null","null","93.2400","2069","6.2090",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.2878","0.000","0.000","null","null","null","null","null",491018,49,"1"
"SL","2017-06-09","86.4","-2.9228","6.0875","Tanner Roark",425783,543699,"walk","ball",,,,,"12","Shin-Soo Choo walks.  ","R","L","R","WSH","TEX","B","null","null",3,0,2017,"-0.4189","1.0048","1.1097","2.8833","608336.00","592261.00","null",1,6,"Top","null","null",,,446308,,"170610_004245",,,,,,,"3.1382","1.6028","null","null","null","85.7590","2224","5.9220",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.5754","0.000","0.000","0.70",1,0,0,"null",491018,48,"4"
"CH","2017-06-09","85.5","-3.1978","5.8012","Tanner Roark",425783,543699,"null","blocked_ball",,,,,"13","null","R","L","R","WSH","TEX","B","null","null",2,0,2017,"0.8633","0.5782","-0.9094","0.2959","608336.00","592261.00","null",1,6,"Top","null","null",,,446308,,"170610_004215",,,,,,,"3.2231","1.5664","null","null","null","84.9170","1734","6.0990",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.3984","0.000","0.000","null","null","null","null","null",491018,48,"3"
"FT","2017-06-09","93.5","-2.7079","5.9815","Tanner Roark",425783,543699,"null","ball",,,,,"14","null","R","L","R","WSH","TEX","B","null","null",1,0,2017,"1.4859","1.2168","1.4318","2.2900","608336.00","592261.00","null",1,6,"Top","null","null",,,446308,,"170610_004154",,,,,,,"3.1261","1.6393","null","null","null","92.4100","2054","6.0070",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.4901","0.000","0.000","null","null","null","null","null",491018,48,"2"
"SL","2017-06-09","86.4","-3.0201","5.9543","Tanner Roark",425783,543699,"null","ball",,,,,"14","null","R","L","R","WSH","TEX","B","null","null",0,0,2017,"-0.4154","0.9246","1.3291","2.2350","608336.00","592261.00","null",1,6,"Top","null","null",,,446308,,"170610_004135",,,,,,,"3.1625","1.5422","null","null","null","85.8310","2464","5.9920",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.5050","0.000","0.000","null","null","null","null","null",491018,48,"1"
"SL","2017-06-09","83.2","-2.7643","5.9839","Tanner Roark",488768,543699,"sac_bunt","hit_into_play",,,,,"5","Andrew Cashner out on a sacrifice bunt, third baseman Anthony Rendon to second baseman Daniel Murphy.   Joey Gallo to 3rd.    Delino DeShields to 2nd.  ","R","R","R","WSH","TEX","X","5","ground_ball",0,0,2017,"-0.7055","0.3262","0.1187","2.3673","null","608336.00","592261.00",0,6,"Top","116.69","190.43",,,446308,,"170610_004045",,,,,,,"3.1875","1.3091","null","41.0","-39.0000","83.4370","2366","6.1970",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.3003","0.139","0.128","0.00",1,0,0,1,491018,47,"1"
"FT","2017-06-09","94.0","-2.6260","6.1429","Tanner Roark",592261,543699,"single","hit_into_play_no_out",,,,,"2","Delino DeShields singles on a ground ball to shortstop Trea Turner.   Joey Gallo to 2nd.  ","R","R","R","WSH","TEX","X","null","ground_ball",1,2,2017,"1.2479","1.2974","0.1192","3.0118","null","null","608336.00",0,6,"Top","122.96","138.66",,,"null",,"170610_003955",,,,,,,"3.1171","1.2085","40","86.3","-0.7214","null","2099","5.9480",491018,"null","null","null","null","null","null","null","null","null","54.5496","0.282","0.268","0.90",1,1,0,2,491018,46,"4"
"SL","2017-06-09","85.4","-2.9684","6.0065","Tanner Roark",592261,543699,"null","called_strike",,,,,"6","null","R","R","R","WSH","TEX","S","null","null",1,1,2017,"-0.3481","0.4354","0.3899","2.4897","null","null","608336.00",0,6,"Top","null","null",,,446308,,"170610_003924",,,,,,,"3.4467","1.6798","null","null","null","85.0950","2419","5.9880",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.5090","0.000","0.000","null","null","null","null","null",491018,46,"3"
"SL","2017-06-09","84.2","-3.0859","6.0152","Tanner Roark",592261,543699,"null","ball",,,,,"11","null","R","R","R","WSH","TEX","B","null","null",0,1,2017,"-0.3937","0.2639","-0.9680","3.2385","null","null","608336.00",0,6,"Top","null","null",,,446308,,"170610_003900",,,,,,,"3.4467","1.6191","null","null","null","83.9200","2404","5.9490",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.5477","0.000","0.000","null","null","null","null","null",491018,46,"2"
"SL","2017-06-09","85.2","-2.9491","6.0675","Tanner Roark",592261,543699,"null","foul_bunt",,,,,"6","null","R","R","R","WSH","TEX","S","null","null",0,0,2017,"-0.2592","0.7973","0.5806","2.0629","null","null","608336.00",0,6,"Top","null","null",,,446308,,"170610_003828",,,,,,,"3.1171","1.2085","null","null","null","84.9950","2425","5.9490",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.5486","0.000","0.000","null","null","null","null","null",491018,46,"1"
"FT","2017-06-09","91.1","-3.1122","6.0491","Tanner Roark",608336,543699,"field_error","hit_into_play_no_out",,,,,"11","Joey Gallo reaches on a fielding error by shortstop Trea Turner.  ","R","L","R","WSH","TEX","X","6","ground_ball",0,0,2017,"1.1689","0.8568","-1.2185","2.4610","null","null","null",0,6,"Top","143.15","146.15",,,446308,,"170610_003738",,,,,,,"3.4188","1.4297","8","74.4","-17.1580","90.7570","1981","5.9230",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.5742","0.050","0.047","0.00",1,0,0,2,491018,45,"1"
"CH","2017-06-09","84.5","-3.2256","5.8831","Tanner Roark",595777,543699,"field_out","hit_into_play",,,,,"13","Jurickson Profar lines out to center fielder Michael Taylor.  ","R","L","R","WSH","TEX","X","8","line_drive",1,0,2017,"1.1429","0.8687","-1.1908","2.0866","null","null","596059.00",2,5,"Top","132.19","60.64",,,446308,,"170610_002625",,,,,,,"3.0467","1.3292","337","91.8","22.0370","84.5850","1850","6.2780",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.2192","0.222","0.271","0.00",1,0,0,3,491018,40,"2"
"FT","2017-06-09","91.2","-2.8285","6.0075","Tanner Roark",595777,543699,"null","ball",,,,,"11","null","R","L","R","WSH","TEX","B","null","null",0,0,2017,"0.9586","1.0539","-1.0718","3.7989","null","null","596059.00",2,5,"Top","null","null",,,446308,,"170610_002606",,,,,,,"3.4269","1.7318","null","null","null","91.3360","2030","6.3590",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.1380","0.000","0.000","null","null","null","null","null",491018,40,"1"
"CH","2017-06-09","84.3","-3.2161","5.8222","Tanner Roark",596059,543699,"single","hit_into_play_no_out",,,,,"11","Rougned Odor singles on a line drive to center fielder Michael Taylor.  ","R","L","R","WSH","TEX","X","null","line_drive",0,0,2017,"1.0137","0.6251","-0.9478","2.7516","null","null","null",2,5,"Top","117.15","81.52",,,446308,,"170610_002531",,,,,,,"2.8456","1.0878","245","99.0","12.8030","84.2380","1861","6.1510",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.3457","0.770","0.777","0.90",1,1,0,4,491018,39,"1"
"SL","2017-06-09","86.3","-2.8064","6.1423","Tanner Roark",518960,543699,"home_run","hit_into_play_score",,,,,"2","Jonathan Lucroy homers (4) on a fly ball to left field.   Shin-Soo Choo scores.  ","R","R","R","WSH","TEX","X","null","fly_ball",0,1,2017,"-0.4195","1.0150","-0.2322","3.0099","null","null","425783.00",2,5,"Top","32.96","72.97",,,446308,,"170610_002433",,,,,,,"3.3786","1.3694","391","101.0","30.1370","85.7970","2499","5.8410",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.6565","0.654","1.228","2.00",1,0,3,6,491018,38,"2"
"FT","2017-06-09","93.4","-2.6987","5.9868","Tanner Roark",518960,543699,"null","foul",,,,,"11","null","R","R","R","WSH","TEX","S","null","null",0,0,2017,"0.8385","1.2568","-0.0075","3.7912","null","null","425783.00",2,5,"Top","null","null",,,446308,,"170610_002357",,,,,,,"3.3786","1.3694","null","null","null","92.9460","2064","6.0590",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.4385","0.000","0.000","null","null","null","null","null",491018,38,"1"
