"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"CH","2017-05-14","76.8","-2.6972","6.0843","Jered Weaver",544725,450308,"field_out","hit_into_play",,,,,"4","Leury Garcia grounds out, second baseman Yangervis Solarte to first baseman Wil Myers.   Omar Narvaez to 3rd.    Willy Garcia to 2nd.  ","R","L","R","CWS","SD","X","4","ground_ball",1,1,2017,"1.1008","1.9055","-0.3948","2.5965","null","553882.00","591994.00",1,5,"Bot","153.73","160.86",,,620443,,"170514_193841",,,,,,,"3.6344","1.4805","30","98.1","-4.0336","null","1899","6.3214",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.1778","0.358","0.336","0.00",1,0,0,2,490666,37,"3"
"CU","2017-05-14","71.4","-2.7237","6.2195","Jered Weaver",573135,450308,"field_out","hit_into_play",,,,,"6","Tyler Saladino flies out to left fielder Matt Szczur.  ","R","R","R","CWS","SD","X","7","fly_ball",0,0,2017,"-0.3994","1.2272","0.6373","2.3026","null","null","null",0,5,"Bot","91.53","110.61",,,620443,,"170514_193203",,,,,,,"3.7198","1.5090","229","74.7","43.1542","null","2548","5.5764",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.9228","0.088","0.088","0.00",1,0,0,3,490666,34,"1"
"SL","2017-05-14","78.6","-2.5973","6.0049","Jered Weaver",453943,450308,"grounded_into_double_play","hit_into_play",,,,,"5","Todd Frazier grounds into a double play, third baseman Cory Spangenberg to second baseman Yangervis Solarte to first baseman Wil Myers.   Avisail Garcia out at 2nd.  ","R","R","R","CWS","SD","X","5","ground_ball",1,0,2017,"0.2927","1.2214","-0.0827","2.3174","null","null","541645.00",0,4,"Bot","101.58","171.78",,,620443,,"170514_191903",,,,,,,"3.8644","1.6005","8","77.4","-22.0452","null","2349","5.7690",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.7302","0.052","0.052","0.00",1,0,0,2,490666,29,"2"
"SL","2017-05-14","78.1","-3.1876","6.0698","Jered Weaver",541645,450308,"field_error","hit_into_play_no_out",,,,,"9","Avisail Garcia reaches on a fielding error by third baseman Cory Spangenberg.  ","R","R","R","CWS","SD","X","5","ground_ball",3,2,2017,"0.2246","1.0282","0.7797","1.8970","null","null","null",0,4,"Bot","103.39","169.96",,,620443,,"170514_191748",,,,,,,"3.5894","1.7195","7","69.1","-22.0547","null","2368","5.9271",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.5721","0.044","0.041","0.00",1,0,0,2,490666,28,"7"
"FF","2017-05-14","83.9","-2.4825","6.1494","Jered Weaver",547989,450308,"field_out","hit_into_play",,,,,"4","Jose Abreu grounds out sharply, third baseman Cory Spangenberg to first baseman Wil Myers.  ","R","R","R","CWS","SD","X","5","ground_ball",2,0,2017,"0.6486","1.8701","-0.5409","2.5748","null","null","570560.00",2,3,"Bot","97.33","169.96",,,620443,,"170514_190005",,,,,,,"3.9234","1.6265","28","76.2","-3.2451","null","2106","6.0199",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.4793","0.126","0.120","0.00",1,0,0,2,490666,23,"3"
"FT","2017-05-14","82.4","-2.9895","6.2881","Jered Weaver",570560,450308,"single","hit_into_play_no_out",,,,,"8","Yolmer Sanchez singles on a line drive to right fielder Hunter Renfroe.  ","R","L","R","CWS","SD","X","null","line_drive",2,0,2017,"1.2077","1.3072","-0.2437","1.4493","null","null","null",2,3,"Bot","170.81","103.45",,,620443,,"170514_185807",,,,,,,"3.2694","1.5295","253","91.3","16.0245","null","1989","5.9217",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.5775","0.690","0.681","0.90",1,1,0,4,490666,22,"3"
"CU","2017-05-14","69.6","-2.8920","6.0834","Jered Weaver",544725,450308,"field_out","hit_into_play",,,,,"14","Leury Garcia flies out to center fielder Manuel Margot.  ","R","L","R","CWS","SD","X","8","fly_ball",2,2,2017,"-0.0555","0.2967","0.8051","1.0092","null","null","null",1,3,"Bot","141.65","87.16",,,620443,,"170514_185649",,,,,,,"3.6934","1.5125","271","77.1","30.6733","null","2344","5.5927",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.9065","0.124","0.128","0.00",1,0,0,3,490666,21,"5"
"FF","2017-05-14","83.3","-2.9910","6.2912","Jered Weaver",591994,450308,"field_out","hit_into_play",,,,,"11","Willy Garcia flies out to left fielder Matt Szczur.  ","R","R","R","CWS","SD","X","7","fly_ball",2,1,2017,"0.9480","1.7311","-1.4140","2.8289","null","null","null",0,3,"Bot","83.90","118.79",,,620443,,"170514_185506",,,,,,,"3.8414","1.5885","218","80.3","52.5713","null","2187","6.1083",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.3909","0.029","0.032","0.00",1,0,0,3,490666,20,"4"
"FT","2017-05-14","81.5","-3.0318","6.2345","Jered Weaver",553882,450308,"field_out","hit_into_play",,,,,"4","Omar Narvaez flies out to left fielder Matt Szczur.  ","R","L","R","CWS","SD","X","7","fly_ball",3,1,2017,"1.4451","1.4136","-0.5454","2.5083","null","null","null",2,2,"Bot","76.51","116.11",,,620443,,"170514_184242",,,,,,,"3.8414","1.5885","232","79.3","49.9258","null","1979","5.9967",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.5026","0.036","0.040","0.00",1,0,0,3,490666,15,"5"
"CU","2017-05-14","71.0","-2.9247","6.1083","Jered Weaver",573135,450308,"field_out","hit_into_play",,,,,"8","Tyler Saladino flies out to left fielder Matt Szczur.  ","R","R","R","CWS","SD","X","7","fly_ball",2,2,2017,"-0.5336","0.3270","0.2253","1.8261","null","null","null",1,2,"Bot","27.11","101.59",,,620443,,"170514_184049",,,,,,,"3.6934","1.5125","326","85.0","31.2760","null","2435","5.9286",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.5706","0.031","0.038","0.00",1,0,0,3,490666,14,"5"
