Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
Zach Britton,Orioles,2,1,0.54,69,0,0,0,47,0,0,67.0,254,38,7,4,1,18,3,0,10,0,74,3240
Andrew Miller,- - -,10,1,1.45,70,0,0,0,12,25,2,74.1,275,42,13,12,8,9,0,2,1,0,123,6785
Dan Otero,Indians,5,1,1.53,62,0,0,0,1,3,1,70.2,269,54,14,12,2,10,1,0,2,0,57,7385
Aroldis Chapman,- - -,4,1,1.55,59,0,0,0,36,0,3,58.0,222,32,12,10,2,18,0,0,8,1,90,10233
Chris Devenski,Astros,3,2,1.61,43,0,0,0,1,5,0,83.2,304,56,15,15,3,12,0,2,2,0,83,12763
Mark Melancon,- - -,2,2,1.64,75,0,0,0,47,0,4,71.1,270,52,16,13,3,12,0,1,4,0,65,4264
Kenley Jansen,Dodgers,3,2,1.83,71,0,0,0,47,0,6,68.2,251,35,14,14,4,11,2,2,1,0,104,3096
Alex Colome,Rays,2,4,1.91,57,0,0,0,37,1,3,56.2,226,43,12,12,6,15,1,2,1,0,71,6661
Seung Hwan Oh,Cardinals,6,3,1.92,76,0,0,0,19,14,4,79.2,313,55,20,17,5,18,3,2,3,0,103,18719
Addison Reed,Mets,4,2,1.97,80,0,0,0,1,40,4,77.2,304,60,18,17,4,13,4,0,4,0,91,10586
Raisel Iglesias,Reds,2,1,1.98,32,0,0,0,6,7,2,50.0,202,29,11,11,3,19,1,5,3,1,54,17130
Brad Brach,Orioles,10,4,2.05,71,0,0,0,2,24,5,79.0,311,57,23,18,7,25,1,0,4,1,92,6627
Dan Jennings,White Sox,4,3,2.08,64,0,0,0,1,10,2,60.2,259,57,18,14,1,28,0,3,4,0,46,8073
Tony Barnette,Rangers,7,3,2.09,53,0,0,0,0,15,1,60.1,246,54,16,14,4,16,1,4,6,0,49,3555
Mike Montgomery,- - -,3,4,2.10,42,0,0,0,0,5,0,64.1,267,51,16,15,2,24,2,7,6,0,58,4869
Derek Law,Giants,4,2,2.13,61,0,0,0,1,14,1,55.0,214,44,13,13,3,9,0,0,1,0,50,13133
Tyler Thornburg,Brewers,8,5,2.15,67,0,0,0,13,20,8,67.0,263,38,19,16,6,25,1,2,4,0,90,10688
Brian Flynn,Royals,1,1,2.21,35,0,0,0,0,2,0,53.0,209,34,16,13,4,22,0,1,8,0,43,12027
Brad Ziegler,- - -,4,7,2.25,69,0,0,0,22,8,6,68.0,289,67,21,17,2,26,7,3,1,0,58,7293
Will Harris,Astros,1,2,2.25,66,0,0,0,12,28,3,64.0,255,52,17,16,3,15,1,1,4,0,69,3192
Blake Treinen,Nationals,4,1,2.28,73,0,0,0,1,22,2,67.0,263,51,19,17,5,31,6,0,1,0,63,12572
Nate Jones,White Sox,5,3,2.29,71,0,0,0,3,28,9,70.2,274,48,20,18,7,15,3,3,7,0,80,4696
David Phelps,Marlins,5,5,2.31,59,0,0,0,4,25,6,62.1,254,45,16,16,4,28,6,1,0,1,82,6316
Jeremy Jeffress,- - -,3,2,2.33,59,0,0,0,27,6,1,58.0,241,55,17,15,2,18,3,4,3,0,42,9490
Zach Duke,- - -,2,1,2.36,81,0,0,0,2,26,3,61.0,258,48,16,16,2,29,3,4,4,0,68,3840
Ryan Dull,Athletics,5,5,2.42,70,0,0,0,3,15,3,74.1,290,50,23,20,10,15,4,1,6,0,73,13974
Sam Dyson,Rangers,3,2,2.43,73,0,0,0,38,10,5,70.1,285,63,19,19,5,23,0,3,3,0,55,11710
Joe Blanton,Dodgers,7,2,2.48,75,0,0,0,0,28,1,80.0,315,55,23,22,7,26,4,2,3,0,80,4849
Matt Bush,Rangers,7,2,2.48,58,0,0,0,1,22,3,61.2,243,44,18,17,4,14,0,1,2,0,61,1246
Cody Allen,Indians,3,5,2.51,67,0,0,0,32,0,3,68.0,264,41,23,19,8,27,2,0,3,0,87,12183
George Kontos,Giants,3,2,2.53,57,0,0,0,0,9,2,53.1,216,42,19,15,3,20,3,2,1,0,35,9486
Jeurys Familia,Mets,3,4,2.55,78,0,0,0,51,0,5,77.2,321,63,25,22,1,31,6,1,3,0,84,5114
Hector Neris,Phillies,4,4,2.58,79,0,0,0,2,28,4,80.1,328,59,26,23,9,30,3,3,4,1,102,11804
Shawn Kelley,Nationals,3,2,2.64,67,0,0,0,7,13,2,58.0,224,41,19,17,9,11,2,0,2,0,80,7773
Heath Hembree,Red Sox,4,1,2.65,38,0,0,0,0,5,2,51.0,223,51,23,15,6,17,1,0,0,0,47,11632
Roberto Osuna,Blue Jays,4,3,2.68,72,0,0,0,36,0,6,74.0,288,55,23,22,9,14,4,3,4,1,82,13764
Carlos Torres,Brewers,3,3,2.73,72,0,0,0,2,20,3,82.1,339,65,26,25,8,30,3,4,1,1,78,7624
Kelvin Herrera,Royals,2,6,2.75,72,0,0,0,12,26,3,72.0,283,57,23,22,6,12,0,3,3,0,86,6033
Kevin Siegrist,Cardinals,6,3,2.77,67,0,0,0,3,17,5,61.2,248,42,20,19,10,26,2,1,5,0,66,8180
Edwin Diaz,Mariners,0,4,2.79,49,0,0,0,18,13,3,51.2,217,45,16,16,5,15,2,3,6,1,88,14710
Alex Claudio,Rangers,4,1,2.79,39,0,0,0,0,2,0,51.2,217,55,19,16,2,10,0,1,0,0,34,12890
A.J. Ramos,Marlins,1,4,2.81,67,0,0,0,40,2,3,64.0,278,52,21,20,1,35,3,4,6,0,73,8350
Steve Cishek,Mariners,4,6,2.81,62,0,0,0,25,9,7,64.0,258,44,21,20,8,21,2,4,4,0,76,6483
Dustin McGowan,Marlins,1,3,2.82,55,0,0,0,1,3,1,67.0,279,49,26,21,7,33,7,2,4,0,63,8600
Kyle Barraclough,Marlins,6,3,2.85,75,0,0,0,0,29,4,72.2,306,45,24,23,1,44,1,2,8,0,113,13713
Ryan Buchter,Padres,3,0,2.86,67,0,0,0,1,20,1,63.0,247,34,20,20,4,31,3,2,3,0,78,9456
Michael Lorenzen,Reds,2,1,2.88,35,0,0,0,0,10,2,50.0,202,41,16,16,5,13,0,6,2,2,48,14843
Brad Hand,Padres,4,4,2.92,82,0,0,0,1,21,6,89.1,364,63,32,29,8,36,4,1,7,0,111,9111
Travis Wood,Cubs,4,0,2.95,77,0,0,0,0,12,1,61.0,252,45,24,20,8,24,2,1,0,0,47,9884
Alex Wilson,Tigers,4,0,2.96,62,0,0,0,0,14,4,73.0,297,68,26,24,5,21,5,1,2,0,49,9239
Trevor Cahill,Cubs,3,4,2.97,49,0,0,0,0,4,1,60.2,267,47,22,20,7,33,3,5,3,0,63,6249
Jared Hughes,Pirates,1,1,3.03,67,0,0,0,1,4,2,59.1,257,62,24,20,6,22,3,5,5,0,34,9325
Pedro Baez,Dodgers,3,2,3.04,73,0,0,0,0,23,2,74.0,295,52,27,25,11,22,0,2,3,2,83,5420
Tony Watson,Pirates,2,5,3.06,70,0,0,0,15,23,5,67.2,272,52,26,23,10,20,1,3,0,0,58,3132
Joe Biagini,Blue Jays,4,3,3.06,60,0,0,0,1,8,2,67.2,295,69,28,23,3,19,1,5,3,0,62,13194
Jim Johnson,Braves,2,6,3.06,65,0,0,0,20,8,3,64.2,266,57,23,22,3,20,0,3,6,0,68,3656
Kyle Ryan,Tigers,4,2,3.07,56,0,0,0,0,4,1,55.2,226,48,21,19,2,15,5,3,1,0,35,11753
Dellin Betances,Yankees,3,6,3.08,73,0,0,0,12,28,5,73.0,299,54,31,25,5,28,0,1,6,0,126,6216
Vidal Nuno,Mariners,1,1,3.09,54,0,0,0,0,12,2,55.1,231,63,19,19,10,8,2,2,0,1,49,9674
Hunter Strickland,Giants,3,3,3.10,72,0,0,0,3,18,5,61.0,250,50,21,21,4,19,3,2,3,0,57,7836
Zach McAllister,Indians,3,2,3.10,51,0,0,0,0,7,1,49.1,219,51,18,17,5,20,2,1,3,0,51,2895
Mychal Givens,Orioles,8,2,3.13,66,0,0,0,0,13,1,74.2,313,59,28,26,6,36,2,6,3,0,96,10430
Nick Wittgren,Marlins,4,3,3.14,48,0,0,0,0,6,2,51.2,213,50,18,18,6,10,2,1,1,0,42,15594
Brandon Kintzler,Twins,0,2,3.15,54,0,0,0,17,1,3,54.1,224,59,22,19,5,8,1,2,0,0,35,9939
Jhan Marinez,- - -,0,1,3.18,46,0,0,0,0,5,0,62.1,269,62,25,22,4,21,3,6,4,0,50,5830
Ian Krol,Braves,2,0,3.18,63,0,0,0,0,10,2,51.0,217,54,19,18,4,13,3,3,5,0,56,10066
Vance Worley,Orioles,1,1,3.20,31,0,0,0,1,0,0,64.2,270,65,24,23,8,25,0,2,3,0,39,6435
Deolis Guerra,Angels,3,0,3.21,44,0,0,0,0,5,4,53.1,220,52,23,19,6,7,0,2,2,1,36,8410
Francisco Rodriguez,Tigers,3,4,3.24,61,0,0,0,44,0,5,58.1,235,45,24,21,6,21,1,1,4,0,52,1642
Bryan Shaw,Indians,2,5,3.24,75,0,0,0,1,25,3,66.2,275,56,26,24,8,28,3,1,2,0,69,8110
Robbie Ross Jr.,Red Sox,3,2,3.25,54,0,0,0,0,8,0,55.1,238,46,21,20,2,23,0,8,7,0,56,6819
Luke Gregerson,Astros,4,3,3.28,59,0,0,0,15,15,6,57.2,230,38,23,21,5,18,2,2,6,0,67,4090
Craig Kimbrel,Red Sox,2,6,3.40,57,0,0,0,31,1,2,53.0,220,28,22,20,4,30,0,4,6,0,83,6655
Jake Diekman,Rangers,4,2,3.40,66,0,0,0,4,26,1,53.0,221,36,22,20,4,26,1,3,3,0,59,5003
Fernando Rodney,- - -,2,4,3.44,67,0,0,0,25,8,3,65.1,283,54,27,25,5,37,3,5,5,1,74,494
Jose Alvarez,Angels,1,3,3.45,64,0,0,0,0,11,1,57.1,256,71,29,22,4,15,4,1,2,0,51,5358
Matt Bowman,Cardinals,2,5,3.46,59,0,0,0,0,13,1,67.2,281,59,31,26,4,20,2,1,0,0,52,13528
Dillon Gee,Royals,4,1,3.46,19,0,0,0,0,0,0,52.0,224,53,20,20,8,16,2,3,0,0,33,7396
Joe Smith,- - -,2,5,3.46,54,0,0,0,6,7,3,52.0,217,47,20,20,8,18,3,6,0,1,40,3281
David Robertson,White Sox,5,3,3.47,62,0,0,0,37,0,7,62.1,267,53,24,24,6,32,4,1,1,0,75,8241
Hansel Robles,Mets,6,4,3.48,68,0,0,0,1,13,2,77.2,331,69,32,30,7,36,4,1,3,0,85,11801
Jake Barrett,Diamondbacks,1,2,3.49,68,0,0,0,4,8,5,59.1,250,47,25,23,6,28,4,3,4,0,56,13322
Neftali Feliz,Pirates,4,2,3.52,62,0,0,0,2,29,2,53.2,218,40,21,21,10,21,1,1,3,0,61,18
Hector Rondon,Cubs,2,3,3.53,54,0,0,0,18,7,5,51.0,200,42,20,20,8,8,0,2,3,0,58,2391
Arquimedes Caminero,- - -,2,3,3.56,57,0,0,0,1,8,2,60.2,280,67,31,24,7,33,1,5,2,0,50,8992
