"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Nick Hundley","Giants","51","140","148","37","20","13","0","4","16","15","5","1","44","0","2","1","3","0","0",".264","3376"
"Tony Wolters","Rockies","59","178","206","47","39","7","1","0","28","14","25","7","39","2","0","1","9","0","1",".264","11470"
"Miguel Montero","- - -","48","108","123","28","21","3","0","4","13","8","12","1","27","2","1","0","4","1","0",".259","3364"
"Rene Rivera","Mets","42","135","145","35","25","4","0","6","12","20","7","3","43","2","1","0","2","0","1",".259","3648"
"Welington Castillo","Orioles","51","198","210","51","36","6","0","9","22","26","12","0","56","0","0","0","6","0","0",".258","3256"
"Omar Narvaez","White Sox","47","136","156","35","32","3","0","0","13","6","18","0","21","0","0","2","2","0","0",".257","13338"
"Jonathan Lucroy","Rangers","66","245","264","63","45","14","0","4","24","25","14","0","28","3","2","0","8","0","0",".257","7870"
"Jesus Sucre","Rays","36","110","118","28","20","4","0","4","12","23","4","0","20","0","3","1","5","1","0",".255","5942"
"Brian McCann","Astros","58","217","248","55","36","8","0","11","28","46","22","2","38","5","4","0","8","1","0",".253","4810"
"Francisco Cervelli","Pirates","59","192","223","48","31","12","1","4","23","27","25","0","42","5","1","0","4","0","2",".250","5275"
"Kurt Suzuki","Braves","42","132","154","33","20","6","0","7","17","25","11","2","21","8","2","1","4","0","0",".250","8259"
"Andrew Knapp","Phillies","40","124","146","31","22","5","1","3","20","11","21","2","41","0","1","0","3","1","0",".250","14942"
"Matt Wieters","Nationals","72","262","284","65","44","14","0","7","27","36","19","3","55","1","2","0","10","1","0",".248","4298"
"Martin Maldonado","Angels","78","251","277","62","42","10","1","9","25","26","11","1","65","11","0","4","9","0","2",".247","6887"
"Juan Graterol","Angels","24","53","55","13","12","1","0","0","4","6","1","0","8","0","1","0","2","0","0",".245","5398"
"Sandy Leon","Red Sox","50","164","177","39","27","7","0","5","21","22","11","1","37","0","1","1","5","0","0",".238","5273"
"Austin Romine","Yankees","50","149","166","35","28","5","0","2","14","18","13","0","36","0","3","1","4","0","0",".235","5491"
"Devin Mesoraco","Reds","40","111","129","26","14","5","1","6","15","14","13","0","30","4","1","0","2","1","0",".234","5666"
"Ryan Hanigan","Rockies","18","60","64","14","12","0","0","2","4","9","3","0","17","0","0","1","3","0","0",".233","4952"
"Carlos Ruiz","Mariners","35","78","93","18","11","6","0","1","10","9","9","0","22","4","1","1","3","0","0",".231","2579"
"Russell Martin","Blue Jays","61","204","250","47","32","6","0","9","35","20","40","0","53","6","0","0","8","0","2",".230","4616"
"Stephen Vogt","- - -","64","182","203","41","24","8","1","8","17","28","19","1","37","0","2","0","1","0","1",".225","5000"
"Mike Zunino","Mariners","65","205","226","46","23","11","0","12","26","36","16","0","87","4","1","0","4","0","0",".224","13265"
