"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"SL","2017-05-20","79.5","-1.8109","5.5642","DJ LeMahieu",518934,592879,"field_out","hit_into_play",,,,,"4","DJ LeMahieu flies out to center fielder Billy Hamilton.  ","R","R","R","CIN","COL","X","8","fly_ball",0,1,2017,"-0.9844","0.7124","-0.3084","2.7314","null","null","null",1,8,"Top","155.83","73.68",,,519023,,"170520_232232",,,,,,,"3.8633","1.5997","307","88.2","35.5490","78.8540","2077","6.2280",490737,592879,519023,458015,571697,553993,446359,594807,571740,594988,"54.2708","0.021","0.031","0.00",1,0,0
"FF","2017-05-20","91.6","-1.4794","5.6050","DJ LeMahieu",518934,592879,"null","called_strike",,,,,"6","null","R","R","R","CIN","COL","S","null","null",0,0,2017,"0.8541","1.6722","0.7800","2.6015","null","null","null",1,8,"Top","null","null",,,519023,,"170520_232213",,,,,,,"3.8380","1.8651","null","null","null","91.5300","2011","6.3840",490737,592879,519023,458015,571697,553993,446359,594807,571740,594988,"54.1152","0.000","0.000","null","null","null","null"
"FF","2017-05-20","90.2","-2.4590","5.0440","DJ LeMahieu",518934,519322,"hit_by_pitch","hit_by_pitch",,,,,"11","DJ LeMahieu hit by pitch.    Antonio Senzatela to 3rd.    Charlie Blackmon to 2nd.  ","R","R","R","CIN","COL","B","null","null",1,1,2017,"1.4404","1.1149","-2.8426","4.0299","null","622608.00","453568.00",2,5,"Top","null","null",,,519023,,"170520_221438",,,,,,,"3.5784","1.6487","null","null","null","88.4550","2073","5.7560",490737,519322,519023,458015,606299,553993,446359,594807,571740,594988,"54.7433","0.000","0.000","0.70",1,0,0
"SL","2017-05-20","80.4","-1.8045","5.6561","DJ LeMahieu",518934,519322,"null","foul",,,,,"5","null","R","R","R","CIN","COL","S","null","null",1,0,2017,"-0.6740","-0.1778","0.2244","2.3498","null","622608.00","453568.00",2,5,"Top","null","null",,,519023,,"170520_221416",,,,,,,"3.5684","1.6387","null","null","null","78.7570","2460","5.6440",490737,519322,519023,458015,606299,553993,446359,594807,571740,594988,"54.8553","0.000","0.000","null","null","null","null"
"SL","2017-05-20","80.8","-2.1904","5.3780","DJ LeMahieu",518934,519322,"null","ball",,,,,"13","null","R","R","R","CIN","COL","B","null","null",0,0,2017,"-0.9601","0.0716","-0.8460","2.0328","null","622608.00","453568.00",2,5,"Top","null","null",,,519023,,"170520_221355",,,,,,,"3.7366","1.8495","null","null","null","79.1480","2605","5.7010",490737,519322,519023,458015,606299,553993,446359,594807,571740,594988,"54.7977","0.000","0.000","null","null","null","null"
"FT","2017-05-20","88.9","-2.3594","5.9080","DJ LeMahieu",518934,534947,"field_out","hit_into_play_score",,,,,"7","DJ LeMahieu grounds out, shortstop Zack Cozart to first baseman Joey Votto.   Charlie Blackmon scores.  ","R","R","R","CIN","COL","X","6","ground_ball",2,0,2017,"1.1817","1.4058","-0.4908","2.2216","453568.00","null","null",0,5,"Top","112.67","151.72",,,519023,,"170520_215300",,,,,,,"3.5784","1.6387","12","103.6","-9.6050","89.1080","2217","6.5210",490737,534947,519023,458015,606299,553993,446359,594807,571740,594988,"53.9777","0.294","0.272","0.00",1,0,0
"FT","2017-05-20","89.9","-2.3354","6.0135","DJ LeMahieu",518934,534947,"null","ball",,,,,"11","null","R","R","R","CIN","COL","B","null","null",1,0,2017,"1.2224","1.0578","-1.6617","3.1539","null","null","453568.00",0,5,"Top","null","null",,,519023,,"170520_215209",,,,,,,"3.7366","1.9041","null","null","null","90.3490","2158","6.4190",490737,534947,519023,458015,606299,553993,446359,594807,571740,594988,"54.0795","0.000","0.000","null","null","null","null"
"FF","2017-05-20","89.1","-2.3327","6.0021","DJ LeMahieu",518934,534947,"null","ball",,,,,"13","null","R","R","R","CIN","COL","B","null","null",0,0,2017,"0.9436","1.5749","-0.8191","1.3275","null","null","453568.00",0,5,"Top","null","null",,,519023,,"170520_215140",,,,,,,"3.8458","1.8729","null","null","null","89.1730","2152","6.3980",490737,534947,519023,458015,606299,553993,446359,594807,571740,594988,"54.1009","0.000","0.000","null","null","null","null"
"FT","2017-05-20","89.9","-2.5120","6.0732","DJ LeMahieu",518934,534947,"field_out","hit_into_play",,,,,"7","DJ LeMahieu grounds out, first baseman Joey Votto to pitcher Tim Adleman.  ","R","R","R","CIN","COL","X","3","ground_ball",0,1,2017,"1.1721","1.6675","-0.8240","1.8448","null","null","null",1,3,"Top","154.48","159.60",,,519023,,"170520_210607",,,,,,,"3.9228","1.6262","39","82.6","-0.2990","89.9240","2191","6.5400",490737,534947,519023,458015,606299,553993,446359,594807,571740,594988,"53.9590","0.244","0.230","0.00",1,0,0
"FT","2017-05-20","90.3","-2.2017","5.9678","DJ LeMahieu",518934,534947,"null","called_strike",,,,,"9","null","R","R","R","CIN","COL","S","null","null",0,0,2017,"0.8579","1.4799","0.3605","1.8071","null","null","null",1,3,"Top","null","null",,,519023,,"170520_210552",,,,,,,"3.8619","1.8812","null","null","null","90.5070","2246","6.5190",490737,534947,519023,458015,606299,553993,446359,594807,571740,594988,"53.9802","0.000","0.000","null","null","null","null"
