Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,playerid
Dee Gordon,MIA,2B,153,146,1293.1,266,390,12,8,4,91,43,50,3,,,,,,.982,,8203
Hunter Pence,SFG,RF,125,120,1047.1,256,5,1,1,0,0,0,0,0,,,,,,.996,,8252
Denard Span,SFG,CF,123,116,1039.1,276,1,2,2,0,0,0,0,0,,,,,,.993,,8347
Elvis Andrus,TEX,SS,157,157,1365.1,245,493,17,9,8,103,55,48,6,,,,,,.978,,8709
Jason Castro,MIN,C,108,104,908.2,707,34,3,1,2,0,3,1,1,,42,15,5,33,.996,,8722
Justin Smoak,TOR,1B,151,145,1301.1,1244,66,2,2,0,118,9,2,120,21,,,,,.999,,9054
Lorenzo Cain,KCR,CF,151,151,1275.0,430,6,7,6,1,0,3,0,0,,,,,,.984,,9077
Khris Davis,OAK,LF,116,115,993.0,212,2,1,1,0,0,1,0,0,,,,,,.995,,9112
Logan Morrison,TBR,1B,126,119,1077.2,1015,59,8,7,1,83,5,1,88,24,,,,,.993,,9205
Paul Goldschmidt,ARI,1B,151,150,1292.0,1254,103,4,2,2,113,8,0,112,27,,,,,.997,,9218
Keon Broxton,MIL,CF,139,113,1028.2,231,5,7,7,0,0,0,0,0,,,,,,.971,,9253
Chris Davis,BAL,1B,125,124,1093.0,1015,80,7,5,1,113,14,0,116,23,,,,,.994,,9272
Evan Longoria,TBR,3B,142,142,1240.0,96,267,12,5,7,30,27,5,1,,,,,,.968,,9368
David Freese,PIT,3B,116,114,977.2,66,222,12,8,3,27,28,1,0,,,,,,.960,,9549
Nolan Arenado,COL,3B,157,156,1343.1,103,311,9,5,4,33,33,4,3,,,,,,.979,,9777
Kyle Seager,SEA,3B,154,153,1353.1,130,311,14,13,1,40,34,8,5,,,,,,.969,,9785
Brian Dozier,MIN,2B,152,151,1311.0,264,405,5,4,1,104,42,64,4,,,,,,.993,,9810
Andrew McCutchen,PIT,CF,139,139,1188.1,270,8,4,4,0,0,2,0,0,,,,,,.986,,9847
DJ LeMahieu,COL,2B,153,151,1302.0,251,470,8,4,4,99,39,59,9,,,,,,.989,,9874
