"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"FF","2017-05-20","95.8","-2.7310","6.0470","Justin Smoak",475253,592332,"null","foul_tip",,,,,"13","null","R","L","R","BAL","TOR","S","null","null",3,1,2017,"1.1409","1.2688","-0.8437","2.4243","485567.00","null","null",2,1,"Top","null","null",,,456078,,"170520_235147",,,,,,,"3.7034","1.8960","null","null","null","95.4850","2403","6.4040",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.0968","0.000","0.000","null","null","null","null"
"FF","2017-05-20","94.0","-2.7545","6.0108","Justin Smoak",475253,592332,"null","called_strike",,,,,"11","null","R","L","R","BAL","TOR","S","null","null",3,0,2017,"1.2817","1.5414","-0.8920","2.9021","485567.00","null","null",2,1,"Top","null","null",,,456078,,"170520_235123",,,,,,,"3.6709","1.9060","null","null","null","92.6710","2386","6.0020",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.4988","0.000","0.000","null","null","null","null"
"FF","2017-05-20","96.9","-2.6961","6.0967","Justin Smoak",475253,592332,"null","ball",,,,,"11","null","R","L","R","BAL","TOR","B","null","null",2,0,2017,"1.1042","1.5659","-1.1028","2.8236","485567.00","null","null",2,1,"Top","null","null",,,456078,,"170520_235059",,,,,,,"3.7458","1.7970","null","null","null","95.8380","2442","6.0010",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.4996","0.000","0.000","null","null","null","null"
"FF","2017-05-20","93.8","-2.7428","5.9888","Justin Smoak",475253,592332,"null","ball",,,,,"11","null","R","L","R","BAL","TOR","B","null","null",1,0,2017,"1.1686","0.6599","-1.3243","2.8939","485567.00","null","null",2,1,"Top","null","null",,,456078,,"170520_235036",,,,,,,"3.7891","1.8727","null","null","null","92.8010","2144","5.7670",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.7337","0.000","0.000","null","null","null","null"
"FF","2017-05-20","94.4","-2.7938","6.0947","Justin Smoak",475253,592332,"null","ball",,,,,"11","null","R","L","R","BAL","TOR","B","null","null",0,0,2017,"1.2783","1.2615","-1.3399","2.9014","485567.00","null","null",2,1,"Top","null","null",,,456078,,"170520_235015",,,,,,,"3.7675","1.8727","null","null","null","93.6850","2329","6.1760",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.3248","0.000","0.000","null","null","null","null"
"CH","2017-05-19","87.5","-3.0539","4.1977","Justin Smoak",475253,571710,"walk","ball",,,,,"14","Justin Smoak walks.  ","R","L","R","BAL","TOR","B","null","null",3,1,2017,"1.4760","-0.2618","0.1947","0.8197","null","null","null",2,10,"Top","null","null",,,456078,,"170520_025752",,,,,,,"3.7249","1.8407","null","null","null","85.5640","2111","5.6960",490731,571710,456078,448801,570731,592518,429666,547957,430945,444432,"54.8054","0.000","0.000","0.70",1,0,0
"FF","2017-05-19","96.8","-2.9696","4.5595","Justin Smoak",475253,571710,"null","foul",,,,,"7","null","R","L","R","BAL","TOR","S","null","null",3,0,2017,"1.1350","1.3243","-0.4607","2.2064","null","null","null",2,10,"Top","null","null",,,456078,,"170520_025726",,,,,,,"3.5513","1.7113","null","null","null","95.7520","2549","6.1160",490731,571710,456078,448801,570731,592518,429666,547957,430945,444432,"54.3853","0.000","0.000","null","null","null","null"
"FF","2017-05-19","96.8","-3.1015","4.6637","Justin Smoak",475253,571710,"null","ball",,,,,"13","null","R","L","R","BAL","TOR","B","null","null",2,0,2017,"1.0542","1.0046","-0.0228","1.5844","null","null","null",2,10,"Top","null","null",,,456078,,"170520_025705",,,,,,,"3.7683","1.8950","null","null","null","95.5510","2466","5.8880",490731,571710,456078,448801,570731,592518,429666,547957,430945,444432,"54.6132","0.000","0.000","null","null","null","null"
"FF","2017-05-19","96.8","-3.0689","4.7506","Justin Smoak",475253,571710,"null","ball",,,,,"11","null","R","L","R","BAL","TOR","B","null","null",1,0,2017,"0.6870","1.2510","-1.9180","3.0313","null","null","null",2,10,"Top","null","null",,,456078,,"170520_025646",,,,,,,"3.7900","1.7973","null","null","null","95.4730","2377","5.7530",490731,571710,456078,448801,570731,592518,429666,547957,430945,444432,"54.7485","0.000","0.000","null","null","null","null"
"FF","2017-05-19","97.1","-3.0213","4.6267","Justin Smoak",475253,571710,"null","ball",,,,,"13","null","R","L","R","BAL","TOR","B","null","null",0,0,2017,"0.9774","0.9120","-1.3231","2.1894","null","null","null",2,10,"Top","null","null",,,456078,,"170520_025630",,,,,,,"3.8008","1.8299","null","null","null","96.5900","2589","6.0870",490731,571710,456078,448801,570731,592518,429666,547957,430945,444432,"54.4138","0.000","0.000","null","null","null","null"
