Chaz Roe | 9866
Chase Anderson | 6895
Parker Bridwell | 11502
Roberto Osuna | 13764
Dylan Covey | 14825
Scott Oberg | 13911
Kyle Gibson | 10123
Jeremy Guthrie | 2072
Matt Belisle | 1837
Tony Watson | 3132
Rafael Montero | 12760
Emilio Pagan | 14771
Michael Wacha | 14078
Zack Greinke | 1943
Robbie Ray | 11486
Dustin McGowan | 8600
Jharel Cotton | 13654
Ian Krol | 10066
Joe Blanton | 4849
Justin Wilson | 4301
Drew Pomeranz | 11426
Jeff Hoffman | 17432
Paul Sewald | 13892
Jandel Gustave | 14665
Daniel Coulombe | 13293
Nate Jones | 4696
Dan Straily | 9460
Aaron Blair | 14934
Jhan Marinez | 5830
Ronald Herrera | 15688
Yusmeiro Petit | 4020
Steve Cishek | 6483
Alex Wood | 13781
Jason Wheeler | 13128
Tanner Scheppers | 10267
Matt Dermody | 14844
Leonel Campos | 12277
Drew Steckenrider | 18806
Alex Wimmers | 11394
Mat Latos | 3815
Miguel Montero | 3364
J.P. Howell | 8245
Tony Barnette | 3555
Daniel Stumpf | 13780
Jimmy Nelson | 10547
Fernando Abad | 4994
Derek Holland | 4141
Danny Duffy | 3542
Robert Gsellman | 13696
Justin Nicolino | 11754
Francis Martes | 17303
Fernando Salas | 4971
Felix Pena | 13403
Lance Lynn | 2520
Jerad Eickhoff | 12664
Jumbo Diaz | 3397
Edgar Santana | 17355
Jake Barrett | 13322
Rex Brothers | 9794
Antonio Bastardo | 8844
Nik Turley | 5530
Domingo German | 17149
Chris Hatcher | 3299
Blake Parker | 5224
Ryan Tepera | 10291
Adam Kolarek | 10843
Chris Heston | 10302
Sean Doolittle | 1581
Josh Smoker | 10285
Edwin Jackson | 1841
Edward Mujica | 3970
Shane Greene | 10756
Jose Ruiz | 14552
Julio Urias | 14765
Matt Shoemaker | 4776
Matt Garza | 3340
Jarlin Garcia | 18282
Justin Haley | 13572
Jake Arrieta | 4153
Jesse Hahn | 13287
Ben Taylor | 18114
Kyle Crockett | 15033
Joe Smith | 3281
Pat Neshek | 4682
Brandon Morrow | 9346
Francisco Rodriguez | 1642
Chris Tillman | 5279
Brad Peacock | 5401
Nick Vincent | 7555
Carlos Carrasco | 6632
Brad Goldberg | 14776
Mike Fiers | 7754
Hyun-Jin Ryu | 14444
Robbie Ross Jr. | 6819
Steven Okert | 13580
Joely Rodriguez | 11487
Jordan Jankowski | 13313
Danny Barnes | 11388
Alex Meyer | 12833
Jeremy Jeffress | 9490
Brandon Workman | 11428
Giovanny Gallegos | 14986
Danny Farquhar | 8501
Travis Wood | 9884
Matt Andriese | 12022
Corey Kluber | 2429
Hector Rondon | 2391
Tony Zych | 12876
