Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Maikel Franco,Phillies,7,23,26,7,3,1,1,2,4,11,3,0,3,0,0,0,0,0,0,.304,12179
Corey Dickerson,Pirates,8,33,34,10,4,4,1,1,6,7,0,0,6,1,0,0,1,1,0,.303,10762
Paul DeJong,Cardinals,9,33,35,10,7,0,0,3,5,5,1,0,15,1,0,0,0,0,0,.303,18015
Starlin Castro,Marlins,9,37,44,11,9,2,0,0,6,4,7,0,6,0,0,0,3,0,0,.297,4579
Yolmer Sanchez,White Sox,8,27,31,8,4,1,2,1,3,7,2,0,8,2,0,0,1,1,0,.296,11602
Miguel Sano,Twins,7,27,32,8,2,3,0,3,7,8,5,0,14,0,0,0,2,0,0,.296,12164
Eugenio Suarez,Reds,8,27,33,8,4,1,1,2,5,7,5,0,6,1,0,0,1,0,0,.296,12552
Yadier Molina,Cardinals,9,34,36,10,6,1,0,3,5,6,1,0,2,0,1,0,2,1,0,.294,7007
Jonathan Villar,Brewers,10,34,34,10,9,1,0,0,1,2,0,0,10,0,0,0,0,2,0,.294,10071
Lorenzo Cain,Brewers,10,41,45,12,7,4,0,1,4,5,3,0,7,0,1,0,0,3,1,.293,9077
Jon Jay,Royals,7,24,30,7,6,0,1,0,3,1,6,0,3,0,0,0,0,1,1,.292,5227
Brandon Belt,Giants,7,24,27,7,4,2,0,1,2,3,3,0,9,0,0,0,0,1,0,.292,10264
Brian Dozier,Twins,7,31,34,9,4,1,0,4,8,4,3,0,4,0,0,0,1,1,0,.290,9810
Adrian Beltre,Rangers,10,38,40,11,6,5,0,0,4,2,2,0,6,0,0,0,1,0,0,.289,639
DJ LeMahieu,Rockies,10,38,45,11,7,2,0,2,5,4,7,0,5,0,0,0,2,1,0,.289,9874
Anthony Rendon,Nationals,9,38,42,11,8,2,0,1,4,4,4,0,6,0,0,0,0,0,1,.289,12861
Aaron Judge,Yankees,10,38,48,11,7,2,0,2,8,7,9,1,13,1,0,0,4,1,1,.289,15640
Victor Martinez,Tigers,6,21,25,6,4,2,0,0,1,5,2,0,3,1,1,0,1,0,0,.286,393
Willson Contreras,Cubs,8,35,40,10,6,3,1,0,3,1,3,1,10,2,0,0,1,0,1,.286,11609
Brian Anderson,Marlins,9,35,43,10,6,3,0,1,7,8,7,0,6,1,0,0,2,0,1,.286,18289
Eric Hosmer,Padres,10,39,44,11,5,6,0,0,3,2,5,0,11,0,0,0,3,0,0,.282,3516
Justin Upton,Angels,10,39,45,11,5,3,0,3,7,9,3,0,8,1,2,0,0,0,0,.282,5222
Travis Shaw,Brewers,10,39,40,11,6,4,0,1,4,6,1,1,10,0,0,0,0,0,0,.282,11982
Dixon Machado,Tigers,8,32,34,9,3,6,0,0,4,7,2,0,4,0,0,0,0,0,1,.281,11472
Charlie Blackmon,Rockies,9,36,41,10,4,2,0,4,9,6,5,0,7,0,0,0,1,1,1,.278,7859
Miguel Cabrera,Tigers,8,29,34,8,4,3,0,1,4,9,4,1,7,0,1,0,1,0,0,.276,1744
Tim Anderson,White Sox,8,29,33,8,5,0,0,3,7,4,4,0,10,0,0,0,0,5,0,.276,15172
Jay Bruce,Mets,8,33,36,9,4,4,0,1,4,5,3,0,7,0,0,0,1,1,0,.273,9892
Scooter Gennett,Reds,8,33,34,9,7,2,0,0,1,1,1,0,4,0,0,0,2,0,0,.273,10339
Max Kepler,Twins,7,22,27,6,3,2,0,1,1,2,5,0,1,0,0,0,0,0,0,.273,12144
Jesse Winker,Reds,7,22,30,6,6,0,0,0,3,2,7,0,6,1,0,0,0,0,0,.273,13590
Jose Abreu,White Sox,8,33,36,9,6,1,0,2,4,3,1,0,3,2,0,0,2,0,0,.273,15676
Cody Bellinger,Dodgers,9,33,35,9,7,1,0,1,5,3,2,0,7,0,0,0,1,0,0,.273,15998
Kevin Pillar,Blue Jays,10,37,38,10,6,2,1,1,7,3,1,0,9,0,0,0,1,3,0,.270,12434
Christian Vazquez,Red Sox,7,26,28,7,6,1,0,0,1,3,0,0,3,1,0,1,1,0,0,.269,9774
Derek Dietrich,Marlins,9,41,45,11,9,0,1,1,4,3,2,0,9,2,0,0,0,0,0,.268,10542
Adam Jones,Orioles,10,45,47,12,8,1,0,3,4,7,2,0,13,0,0,0,2,0,0,.267,6368
Addison Russell,Cubs,9,30,36,8,5,3,0,0,4,2,5,0,4,1,0,0,1,1,0,.267,14106
Eduardo Nunez,Red Sox,8,34,35,9,4,4,0,1,5,3,1,0,3,0,0,0,0,0,1,.265,6848
Albert Pujols,Angels,10,42,44,11,8,2,0,1,5,4,2,1,7,0,0,0,1,0,0,.262,1177
Adrian Gonzalez,Mets,8,23,27,6,4,1,0,1,2,5,4,0,6,0,0,0,0,0,0,.261,1908
Amed Rosario,Mets,7,23,25,6,5,0,1,0,3,5,1,0,10,0,0,1,0,0,1,.261,15518
Tommy Pham,Cardinals,9,35,40,9,6,2,0,1,7,2,5,0,11,0,0,0,2,2,1,.257,2967
Starling Marte,Pirates,9,35,40,9,5,1,2,1,7,4,5,0,6,0,0,0,0,2,1,.257,9241
Matt Duffy,Rays,8,35,36,9,7,1,0,1,3,4,1,0,8,0,0,0,1,1,0,.257,13836
Matt Olson,Athletics,11,39,45,10,8,0,0,2,6,4,5,0,15,1,0,0,0,1,0,.256,14344
Marcus Semien,Athletics,11,47,52,12,9,2,0,1,5,5,4,0,14,0,1,0,0,0,0,.255,12533
Zack Cozart,Angels,10,44,48,11,5,3,1,2,7,4,2,0,5,2,0,0,1,0,0,.250,2616
Matt Davidson,White Sox,8,28,35,7,2,1,0,4,9,8,6,0,11,1,0,0,3,0,0,.250,7226
Carlos Gonzalez,Rockies,10,36,37,9,5,2,1,1,4,4,1,0,12,0,0,0,0,1,0,.250,7287
Domingo Santana,Brewers,9,32,36,8,7,1,0,0,0,1,3,0,9,1,0,0,0,0,0,.250,10348
Tyler Austin,Yankees,8,28,31,7,3,2,0,2,8,5,3,0,11,0,0,0,1,1,0,.250,11850
Carlos Asuaje,Padres,10,36,41,9,7,2,0,0,0,3,5,0,5,0,0,0,0,0,0,.250,15197
Scott Kingery,Phillies,7,24,26,6,3,3,0,0,3,1,2,0,6,0,0,0,0,1,0,.250,17975
