Rougned Odor | 12282
Chase Anderson | 6895
Craig Gentry | 9571
Johnny Field | 15048
Matt Joyce | 3353
Jorge Alfaro | 12180
Michael Wacha | 14078
Christian Vazquez | 9774
Zack Greinke | 1943
Robbie Ray | 11486
A.J. Pollock | 9256
Mitch Haniger | 14274
Albert Pujols | 1177
Paul Sewald | 13892
Robbie Grossman | 5254
J.P. Crawford | 15491
Sean Rodriguez | 6589
Jack Flaherty | 17479
Jake Thompson | 14371
Nick Ahmed | 12147
Steve Cishek | 6483
Josh Reddick | 3892
Matt Chapman | 16505
Brian Anderson | 18289
Teoscar Hernandez | 13066
Marcus Semien | 12533
Phillip Evans | 12950
Adam Eaton | 11205
Hernan Perez | 5751
Eugenio Suarez | 12552
Mike Trout | 10155
Miguel Montero | 3364
Leonys Martin | 11846
Tyler Austin | 11850
Tim Beckham | 7949
Derek Holland | 4141
Raisel Iglesias | 17130
Yolmer Sanchez | 11602
Robert Gsellman | 13696
Taylor Motter | 12399
Efren Navarro | 9854
James McCann | 12859
Lance Lynn | 2520
Jurickson Profar | 10815
Paulo Orlando | 8628
Christian Villanueva | 11738
Chad Wallach | 17161
Miguel Cabrera | 1744
Tyler Wade | 15730
John Hicks | 12547
Logan Forsythe | 7185
Rajai Davis | 3708
Trevor Richards | 19309
Edwin Encarnacion | 2151
J.D. Martinez | 6184
Ian Desmond | 6885
Pedro Florimon | 8385
Deven Marrero | 13325
Delino DeShields | 11379
Chris Iannetta | 8267
Jarlin Garcia | 18282
Christian Walker | 13419
Gregory Polanco | 12907
Kyle Seager | 9785
Martin Maldonado | 6887
Gregor Blanco | 3123
Aaron Altherr | 11270
Avisail Garcia | 5760
Trevor Williams | 16977
Hyun-Jin Ryu | 14444
Adam Jones | 6368
Dee Gordon | 8203
Luis Valbuena | 4969
Max Kepler | 12144
Albert Almora Jr. | 14109
Kelby Tomlinson | 13005
Zack Cozart | 2616
Freddie Freeman | 5361
Chase Headley | 4720
C.J. Cron | 12546
Cesar Hernandez | 10556
Cody Bellinger | 15998
Carlos Gomez | 4881
Freddy Galvis | 6609
Tucker Barnhart | 10200
Peter Bourjos | 2578
J.T. Chargois | 13767
Tony Wolters | 11470
Jose Reyes | 1736
Rich Hill | 4806
Logan Morrison | 9205
Mike Tauchman | 15274
Wilmer Flores | 5827
Curtis Granderson | 4747
Devin Mesoraco | 5666
Willson Contreras | 11609
Aledmys Diaz | 15937
Kevin Kiermaier | 11038
Reyes Moronta | 14966
Giancarlo Stanton | 4949
Johnny Cueto | 6893
Manny Machado | 11493
Pedro Alvarez | 2495
Shane Carle | 15258
Chris Taylor | 13757
Tyler Naquin | 13359
Antonio Senzatela | 15488
Franchy Cordero | 14567
Yan Gomes | 9627
Juan Lagares | 5384
Austin Hedges | 12976
Ryan McMahon | 15112
T.J. McFarland | 3237
Javier Baez | 12979
Buster Posey | 9166
Mike Mayers | 15451
Sandy Leon | 5273
Carlos Tocci | 14558
Christian Yelich | 11477
Cliff Pennington | 3395
Anibal Sanchez | 3284
Aaron Judge | 15640
Nolan Fontana | 13267
Ryan Rua | 12409
Jackie Bradley Jr. | 12984
Hunter Pence | 8252
Wilson Ramos | 1433
Jhoulys Chacin | 2608
Max Stassi | 10059
Jason Castro | 8722
Jose Urena | 11589
Evan Gattis | 11003
Matt Duffy | 13836
Lewis Brinson | 14352
Jose Ramirez | 13510
Xander Bogaerts | 12161
Niko Goodrum | 12092
Drew Butera | 3411
Kolten Wong | 12532
Clay Holmes | 13649
Clayton Kershaw | 2036
Neil Walker | 7539
Austin Brice | 17237
Francisco Lindor | 12916
Shin-Soo Choo | 3174
Joey Lucchesi | 19320
Jose Peraza | 13593
Wilmer Font | 5257
Evan Longoria | 9368
Eduardo Nunez | 6848
Preston Tucker | 13633
Brandon Belt | 10264
Danny Valencia | 6364
Justin Smoak | 9054
Ryon Healy | 15447
Ben Lively | 14932
Ryan LaMarre | 10700
Kenta Maeda | 18498
Brandon Guyer | 2636
Alex Wood | 13781
JaCoby Jones | 14818
Jace Peterson | 12325
Omar Narvaez | 13338
Colin Moran | 16909
Brandon Crawford | 5343
Daniel Descalso | 8392
Zack Godley | 14862
Michael Brantley | 4106
Jason Kipnis | 9776
Mitch Moreland | 3086
Alex Avila | 7476
Carlos Perez | 10642
