Hanley Ramirez | 8001
Cesar Hernandez | 10556
Cameron Maybin | 5223
Jon Jay | 5227
Brandon Belt | 10264
Cody Bellinger | 15998
Ryan Goins | 9807
Mark Reynolds | 7619
Nelson Cruz | 2434
Tommy Joseph | 10349
Ozzie Albies | 16556
Scott Schebler | 12225
Adam Rosales | 9682
Brandon Drury | 11615
Chris Carter | 9911
Austin Barnes | 12158
Steve Pearce | 9957
Freddy Galvis | 6609
Tucker Barnhart | 10200
Kendrys Morales | 8610
Jedd Gyorko | 10816
Starlin Castro | 4579
Danny Espinosa | 9219
Dansby Swanson | 18314
Mike Napoli | 3057
Jose Reyes | 1736
Joey Votto | 4314
J.J. Hardy | 3797
Logan Morrison | 9205
Nomar Mazara | 14553
Andrew McCutchen | 9847
Wilmer Flores | 5827
Erick Aybar | 4082
Curtis Granderson | 4747
Albert Almora Jr. | 14109
Chase Utley | 1679
Willson Contreras | 11609
Wil Myers | 10047
George Springer | 12856
Michael Taylor | 11489
Josh Bell | 13145
Aledmys Diaz | 15937
Domingo Santana | 10348
Chris Herrmann | 9284
Jose Osuna | 12937
Jayson Werth | 1327
Scooter Gennett | 10339
Bryce Harper | 11579
Kris Bryant | 15429
Carlos Beltran | 589
Kevin Kiermaier | 11038
Trevor Story | 12564
Gerardo Parra | 8553
Robbie Grossman | 5254
Nick Markakis | 5930
Eugenio Suarez | 12552
Steven Souza Jr. | 5667
Ben Revere | 4712
Brandon Nimmo | 12927
Seth Smith | 7331
Jonathan Lucroy | 7870
Chris Owings | 10030
Stephen Piscotty | 13367
Justin Turner | 5235
Brandon Phillips | 791
Joey Gallo | 14128
Giancarlo Stanton | 4949
Jose Martinez | 7996
A.J. Pollock | 9256
Matt Adams | 9393
Jesus Aguilar | 11342
Chris Taylor | 13757
Kyle Schwarber | 16478
Randal Grichuk | 10243
Joc Pederson | 11899
Mike Moustakas | 4892
Anthony Rendon | 12861
Zack Cozart | 2616
Mitch Moreland | 3086
Denard Span | 8347
Matt Kemp | 5631
Ian Happ | 17919
Jean Segura | 5933
Peter Bourjos | 2578
Anthony Rizzo | 3473
Jose Peraza | 13593
Tommy Pham | 2967
Juan Lagares | 5384
Austin Hedges | 12976
Didi Gregorius | 6012
Joe Mauer | 1857
Aaron Hicks | 5297
Andrew Romine | 1159
Kurt Suzuki | 8259
Darwin Barney | 2430
Salvador Perez | 7304
Tony Wolters | 11470
Adrian Beltre | 639
Buster Posey | 9166
Martin Maldonado | 6887
J.T. Riddle | 17642
Todd Frazier | 785
Chris Gimenez | 7324
Andrelton Simmons | 10847
Sandy Leon | 5273
Cliff Pennington | 3395
Eric Thames | 3711
Kennys Vargas | 12101
Brian Dozier | 9810
Alex Gordon | 5209
David Freese | 9549
Roberto Perez | 2900
Addison Russell | 14106
Christian Yelich | 11477
Manny Machado | 11493
Elvis Andrus | 8709
Adeiny Hechavarria | 10459
Brian Goodwin | 12858
Jonathan Villar | 10071
Manny Pina | 2829
