80 Proofers	3.93	1260	52	66	1.28
Dingers	3.76	1329	77	97	1.21
dodger blues	4.16	1683	58	115	1.28
Flatulent Fellas	4.12	1561	15	96	1.27
Free True Outcomes	3.88	1457	24	103	1.24
Magic Johnson	4.17	1296	27	79	1.37
Pack Attack	3.65	1585	95	110	1.23
Ryan's Rebuild	3.64	1503	93	87	1.22
The Clown Inquisition	2.87	1408	116	79	1.06
The Wiffleball Legends	3.91	1072	37	77	1.28
Visalia Mets	4.47	1406	48	115	1.38
Wrath of Khan	3.66	1673	104	135	1.23
